Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:08 Friday 24/9/2010. Processed 22:17 Sunday 26/9/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,99.50,103.00,103.00,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,100.00,103.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,6.6
102.50,100.00,101.00,101.00,BZAHA,Brookfield Bonds A 7.82%3m12,101.00,-,-,100.50,-,100.00,7.82,-,7/09/2012,-,-
105.25,100.00,103.55,103.55,BZBHA,Brookfield Bonds B 8.79%3m12,103.55,-,-,102.15,103.50,100.00,8.79,-,23/11/2012,-,-
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
109.00,102.00,108.25,107.00,HBSHA,Heritage Bld Soc 10%3mth19,108.00,3.13,336.834,108.00,108.10,100.00,10.000q,17/11/10,27/10/14i,100,2.6
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,965.66,n/a,1/11/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,3543.00,n/a,1/11/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,3743.00,n/a,1/11/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,102.70,102.00,LEPHC,ALE Prop Grp frn3mth14,102.00,0.875,89.276,102.20,103.25,100.00,8.7,-,20/8/2014,-,-
40.00,10.196,40.00,36.00,AFPHA,Alpha Financial Prod ser1frn12,37.50,0.991,37.786,38.10,38.00,100.00,7.48sa,20/03/11,20/03/12m,100,80.6
114.00,106.10,110.75,109.60,AQNHA,AMP Grp Finance frn apr19,110.00,2.387,262.616,110.00,110.25,100.00,9.490q,17/11/10,15/05/14i,100,2.0
72.00,62.00,68.00,65.22,BENHB,Bendigo & Adelaide cap. note,68.00,1.54,102.237,66.01,68.00,100.00,.00q,30/11/10,undated,100,3.9
83.06,44.00,83.06,83.00,GINHA,Generator Income gennote2,83.00,6.587,546.999,82.55,84.989,100.00,6.840q,8/10/10,8/10/11m,100,23.5
83.00,67.10,75.05,73.05,MBLHB,Macq Bank Ltd inc sec,74.00,15.509,1155.92,73.60,74.00,100.00,6.58q,15/10/10,undated,100,4.2
0.231,0.15,0.17,0.163,MFNHA,Macq Fortress frn aug35,0.17,60.065,10.026,0.17,0.212,1.00,n/a,30/09/10,31/08/35m,1,n/a
86.65,73.20,80.00,78.80,NABHA,National Aust Bank natincsec,79.85,66.459,5289.76,79.80,79.90,100.00,6.00q,15/11/10,undated,100,3.1
98.00,62.50,97.00,97.00,NXBHC,Nexus Bonds Ltd nexus3,97.00,-,-,97.60,98.00,100.00,7.61q,14/12/10,14/12/10m,100,19.5
66.00,55.00,66.00,65.50,NXBHD,  nexus4,66.00,0.919,60.274,65.50,66.00,100.00,7.00q,20/11/10,23/06/15m,100,n/a
97.35,82.10,97.35,95.05,SAKHA,Sthn Cross Air skies,95.33,31.496,3010.82,95.05,97.00,100.00,6.640q,27/10/10,1/01/12i,100,7.3
72.00,61.05,68.50,66.40,SUNHB,Suncorp-Metway cap. note,67.80,1.209,82.21,67.90,69.00,100.00,5.50q,15/11/10,undated,100,3.8
107.95,102.20,105.20,104.46,TAHHA,Tabcorp Hldgs Ltd bondmay14,105.14,5.404,567.702,105.01,105.14,100.00,8.990q,17/11/10,1/05/14i,100,2.9
99.25,95.00,99.00,98.55,WOWHB,Woolworths Ltd perp.frn,98.70,19.318,1908.61,98.70,99.00,100.00,5.920q,15/12/10,15/09/11i,100,2.7
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,1.07,1.07,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.07,1.00,0.1,-,1/04/2015,-,-
1.03,0.73,1.03,1.00,AGIG,Ainsworth Game Tech 10% cn11,1.00,83,85.25,1.00,1.04,1.30,8.0sa,31/12/10,31/12/11m,1.3,34.1
2.07,1.91,1.98,1.98,AZZG,Antares Energy 10% cn13,1.98,-,-,1.98,2.03,2.00,10.0q,31/10/10,31/10/13h,-,n/a
0.58,0.195,0.20,0.20,BECG,Becton Prop Grp 9.5% cn12,0.20,-,-,0.20,0.26,0.65,9.5sa,31/12/10,30/06/12m,0.65,79.9
0.23,0.10,0.16,0.12,BPKG,Bremer Park Ltd 7% cn10,0.16,196.7,30.804,0.11,0.16,1.00,7.0sa,23/12/10,23/12/10m,1,n/a
0.19,0.12,0.145,0.145,CBDG,CBD Energy Ltd 12.5% cn,0.145,-,-,0.145,-,0.10,0.13,-,28/1/2011,-,-
0.95,0.64,0.90,0.90,CCYG,China Century Capitl 12%  cn12,0.90,-,-,0.76,0.83,1.00,12.0q,30/09/10,30/09/10m,1,n/a
1.07,0.911,1.07,1.06,DRAG,Dragon Min Ltd 10% cn11,1.07,210,223.75,1.00,-,1.05,10.0q,30/09/10,10/02/11m,1.05,4.7
0.60,0.60,0.60,0.60,FARGA,FAR Ltd 15% cn12,0.60,-,-,-,-,0.45,0.15,-,31/1/2012,-,-
2.76,2.20,2.75,2.70,HSKG,Heemskirk Cons 8% cn11,2.70,51,138.9,2.72,2.77,3.00,12.0q,30/09/10,29/04/11m,3,27.9
103.50,88.00,102.40,101.25,IANG,IAG Finance (Nz) exch.note,101.50,14.251,1450.41,101.50,101.60,100.00,6.174q,15/12/10,15/12/19h,100,3.8
0.14,0.08,0.08,0.08,MSTG,Metal Storm Ltd 10% cn11,0.08,-,-,0.074,0.10,0.14,12.0q,22/12/10,1/09/11m,0.14,77.0
0.15,0.071,0.072,0.072,MSTGA,  sec cn11,0.072,-,-,0.071,0.145,0.135,-,-,9/01/2011,-,-
95.50,50.00,63.00,58.00,NFNG,Nufarm Finance (Nz) exc.nov11,63.00,99.112,5918.79,62.50,63.00,100.00,6.710sa,15/10/10,24/11/11i,100,54.8
0.12,0.06,0.09,0.06,RSNG,Renison Cons 12% cn12,0.07,30.126,2.108,0.07,-,0.33,0.12,-,31/3/2012,-,-
1.35,0.675,1.35,1.29,RSGG,Resolute Min 12% cn12,1.29,425.95,570.826,0.50,1.40,0.50,12.0q,21/12/10,31/12/12m,-,n/a
100.00,94.99,99.50,99.25,SKAG,Skycity Invest aces,99.25,10,992.5,99.20,100.10,100.00,4.949q,15/12/10,15/12/10h,100,7.2
0.55,0.45,0.45,0.45,SURG,Sun Res NL 12%  cn11,0.45,-,-,-,-,0.55,12.0q,23/10/10,30/6/11m,0.55,42.1
0.27,0.08,0.10,0.10,VHLG,Virax Hldgs cn dec11,0.10,-,-,0.02,0.10,0.10,-,-,8/12/11m,0.12,n/a
Hybrid Securities ,,,,,,,,,,,,,,,,
106.00,99.00,105.20,104.002,ANZPA,ANZ Banking Grp pref,104.35,48.12,5027.23,104.34,104.36,100.00,5.544q,15/12/10,15/12/16i,100,2.3
103.58,95.50,103.58,101.87,ANZPB,  pref,102.35,22.086,2262.3,102.35,102.60,100.00,5.124q,15/12/10,15/06/14i,100,1.9
91.20,75.997,91.20,89.90,AAZPB,Australand Assets assets,89.95,3.63,329.118,88.00,89.95,100.00,9.640q,30/09/10,undated,100,n/a
104.95,97.50,104.95,100.70,BOQPA,Bank of Qld reset prf,101.25,13.35,1368.36,101.25,101.50,100.00,5.124sa,15/10/10,15/10/10h,100,n/a
95.25,81.50,95.25,91.50,BOQPC,  pref,92.00,5.086,471.648,92.00,92.60,100.00,4.767sa,15/10/10,17/12/12i,100,5.5
105.00,95.00,105.00,103.50,BENPA,Bendigo & Adelaide pref,103.70,1.694,177.039,103.70,104.80,100.00,6.16sa,1/11/10,1/11/12h,100,8.8
93.50,81.01,93.00,91.611,BENPB,  pref,93.00,1.094,101.4,91.115,92.99,100.00,4.424q,15/12/10,15/06/15h,100,2.7
