Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:06 Friday 15/1/2010. Processed 19:30 Friday 15/1/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,86.00,102.49,101.60,LEPHB,ALE Prop Grp 7.265un11,102.49,0.55,56.159,102.00,102.49,100.00,7.265sa,31/03/10,30/09/11m,102.5,8.5
100.00,96.00,99.50,99.50,ACDHC,Aust Central 9% un15,99.50,-,-,94.50,-,100.00,9.0q,1/04/10,31/07/10i,100,11.0
105.00,100.00,102.00,102.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,0.25,25.5,102.00,-,100.00,7.82,-,7/09/2012,-,-
103.00,100.50,103.00,102.50,BZBHA,Brookfield Bonds B 8.79%3m12,102.50,0.033,3.382,102.50,103.50,100.00,8.79,-,23/11/2012,-,-
755.00,200.00,755.00,585.00,CBHGA,CBH Res Ltd 7.25%cn12,750.00,0.501,372.01,700.00,755.00,1000.00,7.25sa,15/03/10,3/05/12m,-,23.5
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,1200.00,-,500.00,50,-,14/7/2011,-,-
106.00,102.00,105.75,102.50,HBSHA,Heritage Bld Soc 10%3mth19,103.50,3,310.67,103.80,-,100.00,10.000q,17/02/10,27/10/14i,100,3.1
0.80,0.80,0.80,0.80,MSCHF,Minerals Corp 10.5%db11,0.80,7.6,6.08,0.70,0.80,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1650.00,n/a,1/03/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,4031.00,n/a,1/03/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,4294.00,n/a,1/03/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.00,5.25,16.00,14.00,AFPHA,Alpha Financial Prod ser1frn12,16.00,0.35,5.6,16.00,19.00,100.00,6.18sa,20/03/10,20/03/12m,100,123.6
114.00,100.00,110.73,108.90,AQNHA,AMP Grp Finance frn apr19,110.00,13.703,1502.22,109.10,110.00,100.00,8.755q,17/02/10,15/05/14i,100,1.4
72.00,47.20,68.50,67.00,BENHB,Bendigo & Adelaide cap. note,67.10,1.818,122.123,67.00,68.50,100.00,4.80q,2/03/10,undated,100,4.5
57.25,13.00,57.25,53.50,GINHA,Generator Income gennote2,57.25,2,109.685,55.10,61.55,100.00,6.130q,8/04/10,8/10/11m,100,38.7
98.00,92.75,97.75,97.75,HLCHA,Halcyon Sec hlcnte10,97.75,-,-,97.51,97.75,100.00,7.37q,3/02/10,3/08/10m,100,11.3
83.00,29.00,75.00,74.00,MBLHB,Macq Bank Ltd inc sec,74.25,7.136,533.04,74.25,75.35,100.00,5.41q,15/01/10,undated,100,4.5
0.231,0.021,0.225,0.195,MFNHA,Macq Fortress frn aug35,0.20,161.027,33.73,0.195,0.224,1.00,n/a,31/03/10,31/08/35m,1,n/a
86.65,58.00,80.70,78.86,NABHA,National Aust Bank natincsec,80.25,53.76,4287.66,80.30,80.69,100.00,5.255q,15/02/10,undated,100,3.2
85.00,45.00,85.00,84.00,NXBHC,Nexus Bonds Ltd nexus3,85.00,0.67,56.58,82.00,89.00,100.00,7.00q,14/03/10,14/12/10m,100,23.2
59.80,40.00,58.00,58.00,NXBHD,  nexus4,58.00,-,-,59.60,61.999,100.00,6.70q,20/05/10,23/06/15m,100,n/a
92.00,58.00,92.00,90.05,SAKHA,Sthn Cross Air skies,90.20,2.829,257.239,90.20,90.50,100.00,5.910q,27/01/10,1/01/12i,100,7.7
72.00,35.00,68.00,67.20,SUNHB,Suncorp-Metway cap. note,68.00,2.037,138.059,68.00,68.50,100.00,4.80q,15/02/10,undated,100,4.1
107.85,101.20,106.75,106.00,TAHHA,Tabcorp Hldgs Ltd bondmay14,106.75,2.126,226.147,106.00,106.75,100.00,8.255q,17/02/10,1/05/14i,100,1.1
98.80,84.20,98.05,97.00,WOWHB,Woolworths Ltd perp.frn,97.00,12.049,1178.54,97.20,97.50,100.00,5.350q,15/03/10,15/09/11i,100,3.4
Convertible Notes ,,,,,,,,,,,,,,,,
-,-,-,-,AVDG,Advance Energy 9.5% cn15,-,-,-,-,-,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,0.83,0.80,AGIG,Ainsworth Game Tech 10% cn11,0.83,11.87,9.681,0.76,0.90,1.30,8.0sa,31/12/09,31/12/09m,-,n/a
2.07,1.11,2.06,2.04,AZZG,Antares Energy 10% cn13,2.05,28.5,58.57,2.02,2.05,2.00,10.0q,31/10/09,31/10/09h,-,n/a
0.86,0.14,0.86,0.817,AXOG,Aurox Res 7%cnjun10,0.837,385,320.615,0.83,0.845,0.95,7.0sa,30/06/10,30/06/10m,0.95,40.1
0.58,0.11,0.565,0.56,BECG,Becton Prop Grp 9.5% cn10,0.56,212.7,119.827,0.551,0.565,0.65,9.5sa,30/06/10,30/06/10m,0.65,49.6
0.23,0.13,0.13,0.13,BPKG,Bremer Park Ltd 7% cn10,0.13,-,-,0.12,-,1.00,7.0sa,30/06/10,23/12/10m,1,n/a
0.19,0.105,0.18,0.18,CBDG,CBD Energy Ltd 12.5% cn,0.18,-,-,-,-,0.10,0.13,-,28/1/2011,-,-
0.90,0.64,0.82,0.82,CCYG,China Century Capitl 12%  cn10,0.82,-,-,0.825,-,1.00,12.0q,31/03/10,30/09/10m,1,53.0
1.048,0.75,1.00,0.99,DRAG,Dragon Min Ltd 10% cn11,1.00,73,72.5,0.995,1.038,1.05,10.0q,31/03/10,10/02/11m,1.05,15.5
0.60,0.60,0.60,0.60,FARGA,First Aust Res 15% cn12,0.60,-,-,0.32,-,0.45,0.15,-,31/1/2012,-,-
2.50,2.15,2.42,2.40,HSKG,Heemskirk Cons 8% cn11,2.40,3,7.202,2.40,2.45,3.00,12.0q,31/03/10,29/04/11m,3,30.6
100.00,51.00,100.00,98.60,IANG,IAG Finance (Nz) exch.note,99.40,35.721,3531.2,99.00,99.40,100.00,5.775q,15/03/10,15/12/19h,100,4.2
0.12,0.06,0.102,0.102,MSTG,Metal Storm Ltd 10% cn11,0.102,-,-,0.104,0.14,0.14,12.0q,1/09/09,1/09/09m,-,n/a
0.12,0.12,0.12,0.12,MSTGA,  sec cn11,0.12,-,-,0.013,0.12,0.135,-,-,9/01/2011,-,-
95.50,61.00,87.83,86.60,NFNG,Nufarm Finance (Nz) exc.nov11,87.00,19.39,1692.05,87.00,87.40,100.00,6.190sa,15/04/10,24/11/11i,100,11.3
0.10,0.04,0.10,0.10,RSNG,Renison Cons 12% cn12,0.10,-,-,0.071,0.085,0.33,0.12,-,31/3/2012,-,-
1.25,0.50,1.20,1.20,RSGG,Resolute Min 12% cn12,1.20,8,9.6,1.01,1.24,0.50,12.0q,21/06/10,31/12/12m,-,n/a
99.75,71.50,99.75,97.25,SKAG,Skycity Invest aces,98.00,11.378,1116.07,97.55,98.00,100.00,4.55q,15/03/10,15/12/10h,100,5.4
0.55,0.50,0.55,0.55,SURG,Sun Res NL 12%  cn11,0.55,-,-,0.50,-,0.55,12.0q,23/01/10,30/6/11m,0.55,14.6
0.16,0.04,0.10,0.10,VHLG,Virax Hldgs cn dec11,0.10,4.063,-,0.10,0.14,0.10,-,-,8/12/09m,0.12,n/a
Hybrid Securities ,,,,,,,,,,,,,,,,
100.00,99.00,100.00,99.65,ANZPA,ANZ Banking Grp pref,99.80,123,12286.7,99.75,99.90,100.00,5.023q,15/03/10,15/12/16i,100,1.3
103.00,85.50,99.80,98.601,ANZPB,  pref,99.299,21.045,2090.06,98.63,99.30,100.00,4.725q,15/03/10,15/06/14i,100,1.4
86.50,31.20,85.00,84.10,AAZPB,Australand Assets assets,84.99,3.887,329.58,84.51,84.99,100.00,8.910q,31/03/10,undated,100,n/a
102.95,96.05,100.25,99.80,BOQPA,Bank of Qld reset prf,99.90,1.138,113.901,100.00,-,100.00,5.124sa,15/04/10,15/10/10h,100,10.2
93.50,64.60,90.00,88.50,BOQPC,  pref,90.00,4.711,418.751,88.50,90.00,100.00,4.403sa,15/04/10,17/12/12i,100,6.4
102.60,91.55,97.00,95.25,BENPA,Bendigo & Adelaide pref,97.00,1.581,152.495,97.00,98.95,100.00,6.16sa,1/05/10,1/11/12h,100,10.9
88.50,55.00,85.00,82.55,BENPB,  pref,83.50,2.085,172.942,82.55,83.50,100.00,4.025q,15/03/10,15/06/15h,100,4.0
90.99,55.00,85.25,84.50,BENPC,  pref,84.50,2.951,250.303,84.51,85.99,100.00,4.129q,10/04/10,10/10/14i,100,6.1
1.90,0.95,1.80,1.76,CAMPA,Clime Capital 7.5% pref,1.76,3,5.28,1.76,1.78,2.40,5.250q,6/04/10,30/04/17i,2.4,6.3
0.59,0.26,0.49,0.43,CMIPC,CMI Ltd pref.cl.a,0.49,86,37.973,0.435,0.55,1.20,11.67q,3/03/08,undated,-,n/a
208.90,202.50,208.90,207.10,CBAPA,C'wlth Bank  of Aust  perls v,208.20,14.596,3035.93,207.70,208.20,200.00,5.086q,1/02/10,31/10/14i,200,1.0
194.80,160.50,191.90,190.00,CBAPB,  perls iv,191.50,46.928,8973.19,191.00,191.50,200.00,3.492q,31/01/10,31/10/12i,200,1.7
86.00,41.00,85.00,83.50,DXRPA,Dexus Rents Tr rents,84.20,4.987,419.009,84.20,84.50,100.00,5.410q,18/01/10,1/07/12i,100,9.2
63.75,19.65,62.50,60.031,ELDPA,Elders Ltd hybrids,62.00,4.422,273.55,60.55,62.00,100.00,4.417q,31/03/10,30/06/11i,100,39.5
89.00,48.001,88.25,87.00,FXJPB,Fairfax Media Ltd pref,88.25,17.861,1567.8,87.70,88.25,100.00,5.930sa,30/04/10,30/04/11i,100,13.4
70.50,12.01,70.50,66.00,GMPPA,Goodman Plus Tr stepup pf,70.50,10.642,723.603,70.00,73.00,100.00,5.940q,21/03/10,21/03/13i,100,14.9
81.00,46.00,81.00,79.65,GNSPA,Gunns Ltd forests,80.50,5.318,425.972,80.00,80.50,100.00,6.456q,14/04/10,undated,100,n/a
102.54,93.00,99.10,97.50,IAGPA,Insurance Aust Grp 5.63%pref,98.25,8.479,836.411,98.25,99.00,100.00,5.63sa,15/06/10,15/06/12h,100,9.2
