Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4842.6 at 16:47 16/10/2009 Report at 19:36 Friday 16/10/2009. Processed 17:34 Sunday 18/10/2009.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,81.00,100.60,100.20,LEPHB,ALE Prop Grp 7.265un11,100.60,0.512,51.502,100.60,101.74,100.00,7.265sa,31/03/10,30/09/11m,102.5,8.4
100.00,96.00,99.50,99.50,ACDHC,Aust Central 9% un15,99.50,-,-,94.50,-,100.00,9.0q,1/01/10,31/07/10i,100,10.4
105.00,100.00,101.00,101.00,BZAHA,Brookfield Bonds A 7.82%3m12,101.00,-,-,100.00,101.00,100.00,7.82,-,7/09/2012,-,-
530.00,200.00,530.00,530.00,CBHGA,CBH Res Ltd 7.25%cn12,530.00,0.012,6.36,500.00,530.00,1000.00,7.25sa,15/03/10,3/05/12m,-,38.3
-,-,-,-,GOAG,Gold Aura Ltd 10% cn11,-,-,-,-,-,500.00,50,-,14/7/2011,-,-
-,-,-,-,MSCHE,Minerals Corp 10.5%db09,-,-,-,0.74,1.00,1.00,10.5,-,31/12/2009,-,-
-,-,-,-,LSBHB,Pentagon Capital lsbfr10,5697.365,-,-,-,-,4209.00,n/a,2/12/09,1/10/14m,-,n/a
-,-,-,-,LSBHA, lsbfr7,3905.657,-,-,-,-,1871.00,n/a,2/12/09,1/10/11m,-,n/a
6441.94,5905.21,5905.21,5905.21,LSBHF, lsbml10,5905.21,-,-,-,-,4497.00,n/a,2/12/09,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
50.00,5.25,20.00,16.00,AFPHA,Alpha Financial Prod ser1frn12,17.00,0.91,15.68,17.00,19.00,100.00,6.18sa,20/03/10,20/03/12m,100,100.2
112.20,100.00,112.00,110.50,AQNHA,AMP Grp Finance frn apr19,111.95,8.08,903.545,111.00,111.95,100.00,8.030q,17/11/09,15/05/14i,100,-0.8
72.60,47.20,72.00,69.50,BENHB,Bendigo & Adelaide cap. note,70.00,1.483,103.309,70.30,72.00,100.00,4.03q,30/11/09,undated,100,4.1
52.00,13.00,51.80,50.00,GINHA,Generator Income gennote2,51.60,1.675,85.305,51.50,51.60,100.00,5.670q,8/01/10,8/10/11m,100,40.6
98.00,86.00,97.50,96.497,HLCHA,Halcyon Sec hlcnte10,96.497,0.5,48.389,96.50,98.00,100.00,6.66q,3/11/09,3/08/10m,100,10.6
78.50,29.00,78.50,73.331,MBLHB,Macq Bank Ltd inc sec,77.00,13.86,1035.13,76.60,77.00,100.00,5.41q,15/01/10,undated,100,4.1
0.22,0.021,0.22,0.185,MFNHA,Macq Fortress frn aug35,0.213,421.955,88.77,0.213,0.243,1.00,n/a,31/12/09,31/08/35m,1,n/a
85.99,56.00,85.85,84.50,NABHA,National Aust Bank natincsec,85.78,41.733,3551.97,85.50,85.78,100.00,4.53q,16/11/09,undated,100,2.6
95.40,60.00,95.40,95.00,NXBHB,Nexus Bonds Ltd frn dec09,95.10,0.8,76.067,95.10,99.499,100.00,6.61q,16/12/09,16/12/09m,100,42.8
75.50,45.00,75.50,75.50,NXBHC, nexus3,75.50,-,-,69.00,82.00,100.00,6.11q,14/12/09,14/12/10m,100,30.5
59.80,39.00,59.00,59.00,NXBHD, nexus4,59.00,-,-,56.10,-,100.00,5.79q,20/11/09,23/06/15m,100,n/a
88.50,58.00,88.50,84.30,SAKHA,Sthn Cross Air skies,88.50,8.977,780.481,88.60,90.00,100.00,5.170q,27/10/09,1/01/12i,100,8.0
72.85,35.00,71.00,69.00,SUNHB,Suncorp-Metway cap. note,70.503,2.861,200.653,70.10,71.00,100.00,4.03q,15/11/09,undated,100,3.7
107.50,101.20,107.50,106.30,TAHHA,Tabcorp Hldgs Ltd bondmay14,107.50,12.8,1369.33,107.00,107.50,100.00,7.288q,17/11/09,1/05/14i,100,-0.2
98.75,84.20,98.75,97.50,WOWHB,Woolworths Ltd perp.frn,98.00,9.218,905.477,98.00,98.30,100.00,4.555q,15/12/09,15/09/11i,100,2.5
Convertible Notes ,,,,,,,,,,,,,,,,
0.85,0.50,0.82,0.79,AGIG,Ainsworth Game Tech 8% cn11,0.79,36.867,29.814,0.79,0.89,1.30,8.0sa,31/12/09,31/12/09m,1.3,595.9
2.02,0.73,2.02,2.02,AZZG,Antares Energy 10% cn13,2.02,-,-,2.03,2.05,2.00,10.0q,31/10/09,31/10/09h,2,n/a
0.815,0.14,0.81,0.80,AXOG,Aurox Res 7%cnjun10,0.80,29.8,23.854,0.80,0.84,0.95,7.0sa,31/12/09,30/06/10m,0.95,39.0
