Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4671.9 at 16:47 18/12/2009  Report at 19:06 Friday 18/12/2009. Processed 20:48 Saturday 19/12/2009.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,81.00,101.60,101.60,LEPHB,ALE Prop Grp 7.265un11,101.60,-,-,101.10,102.25,100.00,7.265sa,31/03/10,30/09/11m,102.5,8.6
100.00,96.00,99.50,99.50,ACDHC,Aust Central 9% un15,99.50,-,-,-,-,100.00,9.0q,1/01/10,31/07/10i,100,9.6
105.00,100.00,102.00,102.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,102.00,-,100.00,7.82,-,7/09/2012,-,-
102.00,100.50,102.00,101.50,BZBHA,Brookfield Bonds B 8.79%3m12,102.00,0.958,97.339,101.50,102.00,100.00,8.79,-,23/11/2012,-,-
570.00,200.00,570.00,560.00,CBHGA,CBH Res Ltd 7.25%cn12,570.00,0.075,42.75,565.00,590.00,1000.00,7.25sa,15/03/10,3/05/12m,-,37.6
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,1200.00,-,500.00,50,-,14/7/2011,-,-
105.70,102.00,104.75,103.00,HBSHA,Heritage Bld Soc 10%3mth19,104.70,2.776,288.347,104.01,104.70,100.00,10,-,25/10/2019,-,-
0.90,0.80,0.85,0.80,MSCHE,Minerals Corp 10.5%db09,0.80,98.922,81.163,0.80,0.83,1.00,10.5,-,31/12/2009,-,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1724.00,n/a,31/01/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,4091.00,n/a,31/01/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,4362.00,n/a,31/01/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.00,5.25,13.50,13.50,AFPHA,Alpha Financial Prod ser1frn12,13.50,-,-,15.00,18.00,100.00,6.18sa,20/03/10,20/03/12m,100,129.9
114.00,100.00,109.00,107.50,AQNHA,AMP Grp Finance frn apr19,109.00,5.855,637.108,108.50,109.00,100.00,8.755q,17/02/10,15/05/14i,100,1.6
72.00,47.20,67.50,64.25,BENHB,Bendigo & Adelaide cap. note,67.50,1.955,128.787,65.10,67.50,100.00,4.80q,2/03/10,undated,100,4.3
