Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4882.7 at 14:54 31/12/2009  Report at 14:03 Sunday 3/1/2010. Processed 14:15 Sunday 3/1/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,81.00,101.60,101.60,LEPHB,ALE Prop Grp 7.265un11,101.60,-,-,101.60,102.45,100.00,7.265sa,31/03/10,30/09/11m,102.5,8.8
100.00,96.00,99.50,99.50,ACDHC,Aust Central 9% un15,99.50,-,-,-,-,100.00,9.0q,1/01/10,31/07/10i,100,10.2
105.00,100.00,102.00,102.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,-,-,100.00,7.82,-,7/09/2012,-,-
103.00,100.50,103.00,103.00,BZBHA,Brookfield Bonds B 8.79%3m12,103.00,0.25,25.75,101.50,103.00,100.00,8.79,-,23/11/2012,-,-
570.00,200.00,570.00,570.00,CBHGA,CBH Res Ltd 7.25%cn12,570.00,-,-,566.00,590.00,1000.00,7.25sa,15/03/10,3/05/12m,-,38.3
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,1200.00,-,500.00,50,-,14/7/2011,-,-
105.70,102.00,105.00,104.75,HBSHA,Heritage Bld Soc 10%3mth19,105.00,0.58,60.835,104.85,105.00,100.00,10,-,25/10/2019,-,-
0.90,0.80,0.80,0.80,MSCHE,Minerals Corp 10.5%db09,0.80,-,-,-,-,1.00,10.5,-,31/12/2009,-,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1724.00,n/a,31/01/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,4091.00,n/a,31/01/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,4362.00,n/a,31/01/10,1/10/14m,-,n/a
25.00,5.25,15.00,14.50,AFPHA,Alpha Financial Prod ser1frn12,14.50,0.35,5.075,12.50,18.00,100.00,6.18sa,20/03/10,20/03/12m,100,127.9
114.00,100.00,109.00,108.80,AQNHA,AMP Grp Finance frn apr19,108.80,1.654,180.226,108.80,109.00,100.00,8.755q,17/02/10,15/05/14i,100,1.4
72.00,47.20,65.25,65.25,BENHB,Bendigo & Adelaide cap. note,65.25,-,-,65.40,67.40,100.00,4.80q,2/03/10,undated,100,4.8
