Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 5007.3 at 16:34 16/4/2010  Report at 19:07 Friday 16/4/2010. Processed 19:49 Friday 16/4/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,88.00,103.00,103.00,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,100.10,102.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,7.0
100.00,99.50,99.80,99.80,ACDHC,Aust Central 9% un15,99.80,-,-,-,-,100.00,9.0q,1/07/10,31/07/10i,100,11.6
105.00,100.00,102.00,102.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,90.00,101.50,100.00,7.82,-,7/09/2012,-,-
103.50,100.00,102.00,102.00,BZBHA,Brookfield Bonds B 8.79%3m12,102.00,-,-,100.11,101.75,100.00,8.79,-,23/11/2012,-,-
900.00,240.00,900.00,880.00,CBHGA,CBH Res Ltd 7.25%cn12,900.00,0.95,854.5,900.00,950.00,1000.00,7.25sa,15/09/10,3/05/12m,-,13.4
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,107.50,105.50,HBSHA,Heritage Bld Soc 10%3mth19,106.00,1.769,187.461,106.00,-,100.00,10.000q,17/05/10,27/10/14i,100,2.4
0.80,0.45,0.64,0.45,MSCHF,Minerals Corp 10.5%db11,0.45,121,60.562,0.41,0.45,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1426.00,n/a,3/06/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,3851.00,n/a,3/06/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,4089.00,n/a,3/06/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
28.50,5.25,28.50,25.13,AFPHA,Alpha Financial Prod ser1frn12,28.50,2.617,68.007,28.50,31.50,100.00,7.14sa,20/09/10,20/03/12m,100,83.0
114.00,102.85,111.32,110.50,AQNHA,AMP Grp Finance frn apr19,111.10,4.93,547.439,111.10,111.32,100.00,8.977q,17/05/10,15/05/14i,100,3.2
72.00,54.00,68.00,67.00,BENHB,Bendigo & Adelaide cap. note,67.00,1.422,95.424,66.50,70.00,100.00,4.98q,31/05/10,undated,100,4.6
80.00,20.50,78.00,75.00,GINHA,Generator Income gennote2,75.00,2.26,172.245,75.00,77.50,100.00,6.468q,8/07/10,8/10/11m,100,23.6
98.75,92.75,98.75,98.01,HLCHA,Halcyon Sec hlcnte10,98.07,1.6,157.325,98.341,98.99,100.00,7.51q,3/05/10,3/08/10m,100,16.9
83.00,52.00,72.50,71.30,MBLHB,Macq Bank Ltd inc sec,71.30,6.083,438.248,71.30,71.85,100.00,6.24q,15/07/10,undated,100,4.9
0.231,0.06,0.205,0.187,MFNHA,Macq Fortress frn aug35,0.191,97.125,18.903,0.191,0.22,1.00,n/a,30/06/10,31/08/35m,1,n/a
86.65,65.10,78.80,77.12,NABHA,National Aust Bank natincsec,78.21,65.884,5135.67,78.25,78.80,100.00,5.48q,17/05/10,undated,100,3.5
94.999,47.00,94.999,92.00,NXBHC,Nexus Bonds Ltd nexus3,94.999,0.81,75.127,93.00,94.999,100.00,7.18q,14/06/10,14/12/10m,100,12.3
62.50,44.00,62.50,61.50,NXBHD,  nexus4,61.50,0.65,40.125,61.50,70.00,100.00,6.70q,20/05/10,23/06/15m,100,n/a
95.00,61.75,92.00,90.30,SAKHA,Sthn Cross Air skies,90.30,4.071,372.388,90.30,90.75,100.00,6.218q,27/04/10,1/01/12i,100,8.5
72.00,51.00,66.19,64.70,SUNHB,Suncorp-Metway cap. note,66.00,2.502,164.384,66.00,66.15,100.00,4.98q,15/05/10,undated,100,4.5
107.95,101.20,107.50,106.50,TAHHA,Tabcorp Hldgs Ltd bondmay14,107.45,5.824,623.115,107.00,107.45,100.00,8.477q,17/05/10,1/05/14i,100,2.6
98.80,90.60,97.75,96.50,WOWHB,Woolworths Ltd perp.frn,97.12,10.964,1063.54,97.12,97.60,100.00,5.530q,15/06/10,15/09/11i,100,3.7
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,1.07,1.07,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.05,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,0.85,0.84,AGIG,Ainsworth Game Tech 10% cn11,0.84,1.715,1.44,0.845,0.91,1.30,8.0sa,30/06/10,31/12/11m,1.3,41.0
2.07,1.25,2.05,2.02,AZZG,Antares Energy 10% cn13,2.05,3,6.15,2.00,2.06,2.00,10.0q,30/04/10,31/10/13h,-,n/a
