Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:18 Thursday 1/4/2010. Processed 18:10 Thursday 1/4/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,87.00,103.00,103.00,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,99.30,103.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,6.8
100.00,99.50,99.80,99.80,ACDHC,Aust Central 9% un15,99.80,0.05,4.99,-,-,100.00,9.0q,1/07/10,31/07/10i,100,10.1
105.00,100.00,102.00,100.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,0.392,39.984,98.50,101.00,100.00,7.82,-,7/09/2012,-,-
103.50,100.00,103.00,100.00,BZBHA,Brookfield Bonds B 8.79%3m12,102.00,0.778,79.367,100.10,102.00,100.00,8.79,-,23/11/2012,-,-
855.00,226.00,850.00,850.00,CBHGA,CBH Res Ltd 7.25%cn12,850.00,-,-,850.00,900.00,1000.00,7.25sa,15/09/10,3/05/12m,-,16.3
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,107.20,105.10,HBSHA,Heritage Bld Soc 10%3mth19,105.10,1.24,131.808,105.10,106.98,100.00,10.000q,17/05/10,27/10/14i,100,3.2
0.80,0.64,0.66,0.64,MSCHF,Minerals Corp 10.5%db11,0.64,50,32,0.52,0.69,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1501.00,n/a,1/05/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,3911.00,n/a,1/05/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,4158.00,n/a,1/05/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.50,5.25,25.50,24.00,AFPHA,Alpha Financial Prod ser1frn12,24.00,0.101,2.424,24.00,-,100.00,7.14sa,20/09/10,20/03/12m,100,93.1
114.00,100.00,109.94,109.50,AQNHA,AMP Grp Finance frn apr19,109.94,4.809,527.617,109.60,110.20,100.00,8.977q,17/05/10,15/05/14i,100,3.3
72.00,50.20,66.00,65.00,BENHB,Bendigo & Adelaide cap. note,65.00,0.2,13.07,65.50,66.50,100.00,4.98q,31/05/10,undated,100,4.9
80.00,20.50,80.00,69.90,GINHA,Generator Income gennote2,80.00,2.5,185.803,74.00,77.45,100.00,6.130q,8/04/10,8/10/11m,100,19.5
98.20,92.75,98.00,98.00,HLCHA,Halcyon Sec hlcnte10,98.00,1.987,194.726,97.70,98.489,100.00,7.51q,3/05/10,3/08/10m,100,14.3
83.00,46.50,72.80,70.01,MBLHB,Macq Bank Ltd inc sec,71.45,3.052,216.2,71.00,72.78,100.00,5.97q,15/04/10,undated,100,4.9
0.231,0.05,0.215,0.19,MFNHA,Macq Fortress frn aug35,0.21,50,10.2,0.20,0.22,1.00,n/a,30/06/10,31/08/35m,1,n/a
86.65,64.01,77.48,76.601,NABHA,National Aust Bank natincsec,76.999,24.079,1851.99,76.802,77.00,100.00,5.48q,17/05/10,undated,100,3.6
93.00,45.00,92.25,91.50,NXBHC,Nexus Bonds Ltd nexus3,92.25,1.45,133.457,92.00,93.399,100.00,7.18q,14/06/10,14/12/10m,100,15.8
61.00,42.00,61.00,61.00,NXBHD,  nexus4,61.00,-,-,60.50,62.50,100.00,6.70q,20/05/10,23/06/15m,100,n/a
95.00,59.40,92.05,91.35,SAKHA,Sthn Cross Air skies,91.35,7.625,700.469,90.01,92.39,100.00,6.218q,27/04/10,1/01/12i,100,7.5
72.00,48.75,65.00,64.60,SUNHB,Suncorp-Metway cap. note,65.00,3.41,220.685,64.50,65.00,100.00,4.98q,15/05/10,undated,100,4.6
107.95,101.20,107.10,106.50,TAHHA,Tabcorp Hldgs Ltd bondmay14,106.50,31.07,3295.77,106.50,107.05,100.00,8.477q,17/05/10,1/05/14i,100,2.7
98.80,87.00,96.70,95.90,WOWHB,Woolworths Ltd perp.frn,96.70,17.655,1703.43,96.50,96.70,100.00,5.530q,15/06/10,15/09/11i,100,3.8
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,1.07,1.07,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.05,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,0.80,0.80,AGIG,Ainsworth Game Tech 10% cn11,0.80,-,-,0.80,0.85,1.30,8.0sa,30/06/10,31/12/11m,1.3,43.6
2.07,1.25,2.02,2.02,AZZG,Antares Energy 10% cn13,2.02,-,-,2.02,2.05,2.00,10.0q,30/04/10,31/10/13h,-,n/a
0.95,0.34,0.95,0.945,AXOG,Aurox Res 7%cnjun10,0.95,41.713,39.552,0.946,0.955,0.95,7.0sa,30/06/10,30/06/10m,0.95,15.3
0.58,0.20,0.50,0.50,BECG,Becton Prop Grp 9.5% cn10,0.50,-,-,0.515,0.53,0.65,9.5sa,30/06/10,30/06/10m,0.65,188.1
0.23,0.12,0.12,0.12,BPKG,Bremer Park Ltd 7% cn10,0.12,-,-,0.12,-,1.00,7.0sa,30/06/10,23/12/10m,1,n/a
0.19,0.105,0.135,0.135,CBDG,CBD Energy Ltd 12.5% cn,0.135,-,-,0.12,0.15,0.10,0.13,-,28/1/2011,-,-
0.95,0.64,0.92,0.92,CCYG,China Century Capitl 12%  cn10,0.92,-,-,-,-,1.00,12.0q,30/09/10,30/09/10m,1,18.0
1.048,0.83,1.034,1.01,DRAG,Dragon Min Ltd 10% cn11,1.01,10.9,11.246,1.01,1.038,1.05,10.0q,30/06/10,10/02/11m,1.05,12.0
0.60,0.60,0.60,0.60,FARGA,First Aust Res 15% cn12,0.60,-,-,-,-,0.45,0.15,-,31/1/2012,-,-
2.50,2.15,2.41,2.32,HSKG,Heemskirk Cons 8% cn11,2.32,24.625,57.13,2.32,2.45,3.00,12.0q,30/09/10,29/04/11m,3,35.6
101.20,58.00,100.50,99.90,IANG,IAG Finance (Nz) exch.note,100.00,39.423,3942.54,100.00,100.50,100.00,5.901q,15/06/10,15/12/19h,100,4.0
