Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:07 Friday 23/7/2010. Processed 19:32 Saturday 24/7/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,97.00,104.50,104.50,LEPHB,ALE Prop Grp 7.265un11,104.50,-,-,104.50,105.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,-
100.00,99.50,99.80,99.80,ACDHC,Aust Central 9% un15,99.80,-,-,-,-,100.00,9.0q,31/07/10,31/07/10i,100,-
105.00,100.00,100.00,100.00,BZAHA,Brookfield Bonds A 7.82%3m12,100.00,0.6,60,100.00,101.50,100.00,7.82,-,7/09/2012,-,-
103.50,100.00,103.00,102.00,BZBHA,Brookfield Bonds B 8.79%3m12,103.00,0.373,38.419,102.00,103.00,100.00,8.79,-,23/11/2012,-,-
970.00,450.00,970.00,970.00,CBHGA,CBH Res Ltd 7.25%cn12,970.00,-,-,990.10,-,1000.00,7.25sa,15/09/10,3/05/12m,-,-
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,107.50,106.00,HBSHA,Heritage Bld Soc 10%3mth19,106.00,1.1,116.997,106.00,106.00,100.00,10.000q,17/08/10,27/10/14i,100,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1198.00,n/a,2/09/10,1/10/11m,-,-
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,3667.00,n/a,2/09/10,1/10/14m,-,-
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,3882.00,n/a,2/09/10,1/10/14m,-,-
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,102.00,102.00,LEPHC,ALE Prop Grp frn3mth14,102.00,0.183,18.666,101.35,102.00,100.00,8.64,-,20/8/2014,-,-
34.15,8.00,31.00,30.00,AFPHA,Alpha Financial Prod ser1frn12,30.00,2.441,73.809,30.001,39.50,100.00,7.14sa,20/09/10,20/03/12m,100,-
114.00,106.10,109.60,108.25,AQNHA,AMP Grp Finance frn apr19,109.20,7.923,862.146,108.35,109.20,100.00,9.600q,17/08/10,15/05/14i,100,-
72.00,60.00,64.30,63.50,BENHB,Bendigo & Adelaide cap. note,63.60,3.495,222.829,63.02,66.90,100.00,5.66q,30/08/10,undated,100,-
80.00,34.00,76.00,75.50,GINHA,Generator Income gennote2,75.65,2.435,184.249,75.65,76.00,100.00,6.840q,8/10/10,8/10/11m,100,-
