Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4606.1 at 16:47 2/10/2009 Report at 19:35 Friday 2/10/2009. Processed 21:08 Sunday 4/10/2009.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,81.00,101.30,99.50,LEPHB,ALE Prop Grp 7.265un11,100.00,8.383,839.724,100.00,101.50,100.00,7.265sa,31/03/10,30/09/11m,102.5,8.5
100.00,96.00,99.50,99.50,ACDHC,Aust Central 9% un15,99.50,-,-,91.50,-,100.00,9.0q,1/01/10,31/07/10i,100,9.9
105.00,100.00,102.50,102.50,BZAHA,Brookfield Bonds A 7.82%3m12,102.50,-,-,100.10,-,100.00,7.82,-,7/09/2012,-,-
530.00,200.00,530.00,515.00,CBHGA,CBH Res Ltd 7.25%cn12,530.00,0.05,26.5,520.00,530.00,1000.00,7.25sa,15/03/10,3/05/12m,-,37.6
1.00,0.53,0.97,0.97,MSCHD,Minerals Corp 10.5%db09,0.97,-,-,0.55,0.99,1.00,10.5,-,30/9/2009,-,-
-,-,-,-,LSBHB,Pentagon Capital lsbfr10,5697.365,-,-,-,-,4209.00,n/a,1/11/09,1/10/14m,-,n/a
-,-,-,-,LSBHA, lsbfr7,3905.657,-,-,-,-,1871.00,n/a,1/11/09,1/10/11m,-,n/a
6441.94,5905.21,5905.21,5905.21,LSBHF, lsbml10,5905.21,-,-,-,-,4497.00,n/a,1/11/09,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
50.00,5.25,22.90,22.90,AFPHA,Alpha Financial Prod ser1frn12,22.90,-,-,10.20,20.00,100.00,6.18sa,20/03/10,20/03/12m,100,78.2
112.20,100.00,112.20,109.00,AQNHA,AMP Grp Finance frn apr19,110.20,4.634,509.965,110.20,110.80,100.00,8.030q,17/11/09,15/05/14i,100,0.0
74.00,47.20,70.00,68.00,BENHB,Bendigo & Adelaide cap. note,70.00,0.457,31.729,70.00,74.00,100.00,4.03q,30/11/09,undated,100,3.9
52.00,13.00,50.00,48.40,GINHA,Generator Income gennote2,50.00,2.943,145.986,50.00,56.10,100.00,5.137q,8/10/09,8/10/11m,100,43.3
98.00,86.00,97.00,95.51,HLCHA,Halcyon Sec hlcnte10,97.00,0.767,73.702,95.80,97.00,100.00,6.66q,3/11/09,3/08/10m,100,9.0
73.49,29.00,73.49,71.50,MBLHB,Macq Bank Ltd inc sec,72.45,7.107,518.185,72.52,72.99,100.00,4.82q,15/10/09,undated,100,4.6
0.20,0.021,0.18,0.175,MFNHA,Macq Fortress frn aug35,0.18,60,10.797,0.18,0.215,1.00,n/a,31/12/09,31/08/35m,1,n/a
86.00,56.00,82.00,78.00,NABHA,National Aust Bank natincsec,81.50,63.292,5056.58,81.50,82.00,100.00,4.53q,16/11/09,undated,100,2.9
95.40,60.00,95.40,93.00,NXBHB,Nexus Bonds Ltd frn dec09,95.00,1.47,138.55,90.50,94.00,100.00,6.61q,16/12/09,16/12/09m,100,33.5
75.05,45.00,73.00,73.00,NXBHC, nexus3,73.00,-,-,73.00,75.00,100.00,6.11q,14/12/09,14/12/10m,100,32.3
60.00,39.00,59.80,59.80,NXBHD, nexus4,59.80,-,-,57.50,59.80,100.00,5.79q,20/11/09,23/06/15m,100,n/a
89.00,58.00,83.90,82.10,SAKHA,Sthn Cross Air skies,83.10,6.51,539.056,83.06,84.20,100.00,5.170q,27/10/09,1/01/12i,100,10.9
74.47,35.00,64.00,63.20,SUNHB,Suncorp-Metway cap. note,63.99,7.871,502.405,63.50,63.99,100.00,4.03q,15/11/09,undated,100,4.5
107.30,101.20,106.70,105.31,TAHHA,Tabcorp Hldgs Ltd bondmay14,106.10,7.228,769.42,106.10,106.46,100.00,7.288q,17/11/09,1/05/14i,100,0.5
99.99,84.20,97.90,96.60,WOWHB,Woolworths Ltd perp.frn,97.90,8.365,813.752,97.65,97.90,100.00,4.555q,15/12/09,15/09/11i,100,2.4
Convertible Notes ,,,,,,,,,,,,,,,,
0.85,0.50,0.75,0.73,AGIG,Ainsworth Game Tech 8% cn11,0.73,14,10.309,0.70,0.80,1.30,8.0sa,31/12/09,31/12/09m,1.3,551.1
1.95,0.64,1.95,1.91,AZZG,Antares Energy 10% cn13,1.95,97.75,187.952,1.95,1.98,2.00,10.0q,31/10/09,31/10/09h,2,n/a
0.815,0.14,0.815,0.77,AXOG,Aurox Res 7%cnjun10,0.77,58.5,47.028,0.775,0.84,0.95,7.0sa,31/12/09,30/06/10m,0.95,43.1
0.55,0.11,0.425,0.40,BECG,Becton Prop Grp 9.5% cn10,0.40,44.62,18.368,0.40,0.485,0.65,9.5sa,31/12/09,30/06/10m,0.65,101.4
0.25,0.23,0.23,0.23,BPKG,Bremer Park Ltd 7% cn10,0.23,-,-,0.13,0.23,1.00,7.0sa,31/12/09,23/12/10m,1,n/a
72.50,58.00,72.50,61.50,CAAG,Capral Ltd 10% cn 12,65.00,0.686,44.235,65.00,90.00,100.00,10.0sa,31/03/10,29/03/12m,100,31.5
0.12,0.105,0.12,0.12,CBDG,CBD Energy Ltd 12.5% cn,0.12,-,-,0.10,0.145,0.10,0.13,-,28/1/2011,-,-
0.90,0.64,0.70,0.64,CCYG,China Century Capitl 12% cn10,0.64,37.783,26.323,0.645,-,1.00,12.0q,31/03/10,30/09/10m,1,58.7
1.029,0.65,1.029,1.029,DRAG,Dragon Min Ltd 10% cn11,1.029,-,-,0.951,1.00,1.05,10.0q,31/12/09,10/02/11m,1.05,11.8
0.60,0.60,0.60,0.60,FARGA,First Aust Res 15% cn12,0.60,-,-,-,-,0.45,0.15,-,31/1/2012,-,-
2.65,2.15,2.21,2.21,HSKG,Heemskirk Cons 8% cn11,2.21,4,8.84,2.18,2.21,3.00,12.0q,31/03/10,29/04/11m,3,30.6
92.00,51.00,92.00,88.00,IANG,IAG Finance (Nz) exch.note,91.00,43.81,3927.13,91.00,91.50,100.00,3.259q,15/12/09,15/03/10i,100,24.5
0.12,0.06,0.081,0.08,MSTG,Metal Storm Ltd 10% cn11,0.081,4.6,-,0.081,0.14,0.14,12.0q,1/09/09,1/09/09m,-,n/a
-,-,-,-,MSTGA, sec cn11,-,-,-,0.008,0.90,0.135,-,-,9/01/2011,-,-
107.50,59.50,105.90,103.10,MYFG,Myer Grp Finance exc.nte13,104.05,96.167,10038.5,104.01,104.30,100.00,10.19sa,15/01/10,15/03/13m,100,9.6
95.50,60.00,95.50,90.00,NFNG,Nufarm Finance (Nz) exc.nov11,90.50,48.941,4510.8,90.10,90.50,100.00,5.017sa,15/10/09,24/11/11i,100,7.0
0.10,0.04,0.075,0.075,RSNG,Renison Cons 12% cn12,0.075,-,-,0.052,0.14,0.33,0.12,-,31/3/2012,-,-
0.89,0.50,0.70,0.70,RSGG,Resolute Min 12% cn12,0.70,-,-,0.62,0.70,0.50,12.0q,21/12/09,31/12/12m,-,n/a
98.00,68.00,97.099,95.00,SKAG,Skycity Invest aces,95.001,1.305,124.002,95.001,96.999,100.00,3.994q,15/12/09,15/12/10h,100,7.2
