ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:42 Thursday 24/12/2009. Processed 16:18 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,1238.82,70.809,123.026,0.072,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.365,2,0.36,0.365,0.375,0.34,2.98,0.375,0.07
DDD,30,15.024,8.076,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.019,0.3,0.018,0.025,0.019,0.016,15.94,0.026,0.007
AAO,110.066,19.079,6.317,0.008,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.075,-0.5,0.075,0.08,0.076,0.075,-9.06,0.12,0.018
ARH,150.66,23.223,45.094,0.21,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.475,2.5,0.465,0.475,0.475,0.44,2.74,0.70,0.29
AAM,3272,112.857,39.689,0.065,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.38,6.5,0.375,0.38,0.38,0.29,17.82,0.42,0.076
ABU,11466.3,449.539,85.011,0.032,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.036,-0.1,0.035,0.036,0.04,0.034,-5.52,0.07,0.006
AII,-,2.945,18.901,0.025,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.18,,0.185,0.24,0.18,0.18,-2.81,0.25,0.13
ACB,349.882,85.316,65.249,0.059,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.365,-0.5,0.365,0.38,0.375,0.365,-4.16,0.60,0.085
ACS,285.15,39.046,68.645,0.02,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.16,,0.16,0.165,0.17,0.16,-2.81,0.27,0.055
AEX,29230.8,646.101,509.36,0.003,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.004,-0.2,0.004,0.005,0.005,0.004,-36.15,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.02,0.003,0.003,-2.81,0.003,0.003
AIV,105.433,18.865,7.669,0.006,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.085,,0.085,0.09,0.098,0.085,-2.81,0.12,0.032
AIVO,17.79,1.075,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.023,-0.3,0.023,0.035,0.026,0.023,-14.35,0.06,0.001
