50 Leading Mining & Oil Stocks,,,,,,,,,,,,
,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
9.5,7.61,Alacer Gold Corp cdi,8.26,7,8.1,8.47,,,,,,
2.67,1.45,Alumina Ltd,2.23,,2.22,2.23,6.17,f,0.22,1.13,2.77,161.6
1.365,1.14,Aneka Tambang cdi,1.25,,,,1.42,,1.35,0.11,1.14,65.4
10.5,8.1,Anglogold Ashanti cdi,9.07,,8.55,8.9,4.29,,,8.69,0.47,
7.66,3.89,Aquarius Platinum,5.6,,5.54,5.78,8.27,,3.18,,1.48,21.3
10.31,6.26,Aquila Res,7.77,-2,7.68,7.9,,,,,,
9.3,5.49,Aston Res Ltd,8.91,14,8.75,8.95,,,,,,24.8
4.09,1.68,Atlas Iron Ltd,3.26,-6,3.25,3.28,,,,,,163
3.37,0.41,Aurora Oil & Gas,2.99,-5,2.94,3,,,,,,
2.89,1.455,AWE Ltd,1.57,1,1.56,1.595,,,,1.59,,
1.97,0.49,Bandanna Energy,1.835,-5.5,1.82,1.87,,,,,,
0.955,0.595,Beach Energy Ltd,0.885,,0.88,0.89,1.75,f,,1.2,1.98,
47.63,35.58,BHP Billiton Ltd,44.5,-6,44.48,44.5,94.58,f,3.5,9.91,2.13,13.4
6.24,2.55,Brockman Res,6,-10,5.82,6.03,,,,,,
3.53,2.02,CGA Min Ltd,3.01,1,2.8,3.06,,,,,,20.4
134.99,83.25,Coal & Allied,115,-236,115,117,588,f,1.38,0.17,5.11,14.2
2.38,0.47,Coalspur Mines,1.9,7,1.82,1.9,,,,,,
20.1,6.76,Energy Res,8.12,12,8.11,8.12,8,,3.07,5,0.99,33
6.83,3.4,Equinox Min Ltd cdi,5.34,3,5.33,5.35,,,,,,14.3
10.8,5.96,Extract Res,8.01,101,8,8.02,,,,,,
7.34,3.28,Fortescue Metals Grp,5.95,1,5.92,5.96,3,,10.35,0.29,0.5,19.2
1.485,0.86,Gindalbie Metals,1.03,-1.5,1.025,1.035,,,,,,
6.19,1.66,Giralia Res NL,5.43,,,,,,,,,271.5
13.71,7.758,Gloucester Coal,11.38,-17,11.14,11.87,,,,4.02,,29.5
10.99,4.02,Iluka Res,10.86,9,10.77,10.9,8,,1.08,2.54,0.74,126.3
8.35,3.862,Independence Grp,6.3,4,6.27,6.38,7,f,4.74,2.36,1.11,19
2.28,0.315,Intrepid Mines,1.945,4.5,1.88,1.95,,,,0.38,,
3.741,2.45,Ivanhoe Aust,3.34,2,3.16,3.38,,,,,,
0.89,0.2,Jupiter Mines,0.5,-1,0.49,0.51,,,,,,
11,5.56,Karoon Gas Aust,6.55,-16,6.5,6.59,,,,,,
12.3,7.4,Kingsgate Cons,8.58,8,8.56,8.69,30,,1.74,3.12,3.5,16.4
2.35,0.375,Lynas Corp,1.935,1.5,1.935,1.94,,,,,,
17.17,9.5,Macarthur Coal,11.3,-18,11.26,11.32,41,f,2.03,5.73,3.63,13.6
7.75,3.63,Medusa Min Ltd,7.24,46,7.15,7.26,10,,5.61,1.22,1.38,12.9
0.98,0.523,Minara Res,0.765,0.5,0.765,0.77,5,f,1.01,0.7,6.54,15.2
2.85,1.54,Mirabela Nickel,2.04,,2.03,2.06,,,,1.24,,
2.42,1.16,Mount Gibson Iron,1.955,0.5,1.95,1.97,,,,0.99,,9.1
5.354,3.933,NEW Hope Corp,4.9,-3,4.89,4.97,9.5,f,2.35,2.82,1.94,22
43.71,29.73,Newcrest Min,36.94,29,36.94,37,30,,4.8,13.16,0.81,25.6
7.2,5.11,OIL Search Ltd,6.98,-1,6.96,6.99,4.16,,3.36,,0.6,50
1.825,0.945,OZ Min,1.55,2,1.535,1.55,7,,2.67,1.02,4.52,8.3
5.61,3.01,Paladin Energy,3.69,9,3.68,3.69,,,,1.49,,
0.91,0.4,Panaust Ltd,0.77,,0.765,0.77,,,,0.23,,16.1
3.55,1.67,Perseus Min Ltd,2.89,9,2.85,2.94,,,,,,
2.46,0.755,Regis Res,2.22,-5,2.17,2.22,,,,,,53.2
89.04,58.86,RIO Tinto Ltd,81,50,80.95,81.01,111.21,f,6.46,18.72,1.37,11.3
17.14,7.447,Riversdale Min,15.75,4,15.72,15.83,,,,2.9,,
8.31,2.777,Sandfire Res,6.8,2,6.75,6.85,,,,,,
15.585,11.24,Santos Ltd,15.22,17,15.22,15.3,37,f,1.62,,2.43,25.5
0.665,0.105,Sundance Res,0.47,-2,0.47,0.475,,,,,,
7.06,3.52,Western Areas NL,6.05,2,6.03,6.08,13,,3.05,1.33,2.15,15.3
4.27,2.36,White Energy Co,2.87,6,2.82,2.88,,,,,,
7.35,4.01,Whitehaven Coal,6.68,-11,6.65,6.7,6.1,f,,2,0.91,
48.25,39.63,Woodside Pet,45.2,79,45.18,45.22,110.84,f,1.81,13.93,2.45,22.5
16.74,9.5,Zimplats Hldgs,14.01,2,14,14.01,,,,,,7.7
