S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4118.3 at 2012-06-12T16:52:36. Report at Tuesday, June 12, 2012. Processed Wednesday at 2012-06-13T09:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
Abacus Prop stp,,ABP,.855,1.965,+6.5,1.95,1.965,5820,1.965,1.90,1.965,1.90,+6.5,+3.42,2.34,1.78,16.50,,.15,2.43,8.40,2.52,78.0,,
Acrux,,ACR,.738,4.43,+5,4.42,4.43,14767,4.45,4.34,4.45,4.34,+5,+1.14,4.47,2.59,,,,.16,,2.73,162.3,,
Adelaide Brighton,50c,ABC,1.912,3.00,+1,3.00,3.01,25768,3.03,2.96,3.03,2.96,+1,+.33,3.27,2.22,16.50,f,1.41,1.22,5.50,23.30,12.9,,
AGL Energy,,AGK,7.521,15.07,+20,15.02,15.07,43235,15.10,14.56,15.10,14.56,+20,+1.34,15.45,12.101,60.00,f,1.58,6.98,3.98,94.90,15.9,,
Alacer Gold cdi,,AQG,.599,6.49,-3,6.49,6.52,4228,6.54,6.34,6.54,6.34,-3,-.46,12.30,4.95,,,,,,28.59,22.7,,
Alumina,,AWC,2.306,.945,,.945,.95,66224,.965,.94,.965,.94,,Stdy,2.29,.89,5.68,f,.90,1.04,6.01,5.12,18.5,,
Amcor,,AMC,9.086,7.53,+6,7.52,7.53,45014,7.55,7.43,7.55,7.43,+6,+.80,7.80,5.87,36.00,,.76,1.20,4.78,27.40,27.5,,
AMP,,AMP,11.319,3.91,+10,3.90,3.91,94782,3.95,3.81,3.95,3.81,+10,+2.62,4.98,3.61,29.00,p,.91,.89,7.42,26.30,14.9,,
Ansell,,ANN,1.834,14.04,-14,14.02,14.04,11964,14.17,14.00,14.17,14.00,-14,-.99,15.36,11.82,34.00,,2.74,2.31,2.42,93.30,15.0,,
ANZ Banking Grp,,ANZ,58.337,21.77,+21,21.77,21.78,61117,21.83,21.63,21.83,21.63,+21,+.97,24.05,17.63,142.00,f,1.51,,6.52,214.80,10.1,,
APA Grp stp,20c,APA,3.280,5.09,+9,5.07,5.09,22390,5.10,4.93,5.10,4.93,+9,+1.80,5.34,3.53,34.90,,.50,1.64,6.86,17.30,29.4,,
APN News & Media,40c,APN,.454,.70,+1,.70,.715,14212,.715,.675,.715,.675,+1,+1.45,1.35,.675,8.50,p,,-.57,12.14,-7.30,,,
Aquarius Platinum,15c,AQP,.470,1.00,-9,.995,1.00,25122,1.015,.97,1.015,.97,-9,-8.26,5.04,.915,3.76,,,,3.76,-46.14,,,
Aquila Res,20c,AQA,1.223,2.97,+11,2.97,2.98,4223,3.05,2.90,3.05,2.90,+11,+3.85,7.073,2.75,,,,,,-20.60,,,
Ardent Leisure Grp stp,,AAD,.428,1.28,+.5,1.275,1.28,2830,1.29,1.27,1.29,1.27,+.5,+.39,1.385,1.005,11.50,,.90,.92,8.98,10.32,12.4,,
Aristocrat Leisure,,ALL,1.596,2.90,+3,2.90,2.91,7696,2.92,2.84,2.92,2.84,+3,+1.05,3.25,1.88,6.50,,1.89,.26,2.24,12.30,23.6,,
Asciano,,AIO,4.243,4.35,+3,4.33,4.35,19220,4.39,4.31,4.39,4.31,+3,+.69,5.145,3.99,6.50,f,2.57,.51,1.49,16.70,26.0,,
ASX,,ASX,5.210,29.75,+21,29.72,29.76,5909,29.89,29.50,29.89,29.50,+21,+.71,33.49,25.83,185.80,f,1.09,3.91,6.25,203.20,14.6,,
Atlas Iron,,AGO,1.872,2.07,+2,2.06,2.07,51125,2.10,2.02,2.10,2.02,+2,+.98,4.34,1.975,3.00,,7.20,.02,1.45,21.60,9.6,,
Aurora Oil & Gas,20c,AUT,1.417,3.18,-18,3.17,3.18,17114,3.34,3.145,3.34,3.145,-18,-5.36,4.26,2.11,,,,,,7.38,43.1,,
Ausdrill,,ASL,.992,3.26,+8,3.25,3.26,4882,3.27,3.17,3.27,3.17,+8,+2.52,4.34,2.52,13.00,f,2.41,2.19,3.99,31.35,10.4,,
Aust Infrastructure Fd unt,,AIX,1.446,2.33,-3,2.33,2.34,10534,2.39,2.33,2.39,2.33,-3,-1.27,2.43,1.62,10.00,p,3.11,2.92,4.29,31.08,7.5,,
Australand Prop stp,,ALZ,1.465,2.54,+3,2.54,2.55,6826,2.55,2.51,2.55,2.51,+3,+1.20,2.96,2.17,21.50,,1.13,3.46,8.46,24.40,10.4,,
AWE,20c,AWE,.798,1.53,-7,1.525,1.53,12435,1.595,1.517,1.595,1.517,-7,-4.38,1.995,.872,,f,,1.65,,-7.27,,,
Bank of Qld,,BOQ,2.057,6.66,+14,6.65,6.66,11024,6.675,6.47,6.675,6.47,+14,+2.15,8.61,6.13,54.00,f,.08,7.30,8.11,4.30,154.9,,
Bathurst Res,,BTU,.299,.43,+1.5,.43,.435,30772,.437,.40,.437,.40,+1.5,+3.61,1.215,.372,,,,,,-.69,,,
Beach Energy,,BPT,1.293,1.03,-5.5,1.03,1.035,103619,1.08,1.02,1.08,1.02,-5.5,-5.07,1.763,.815,1.75,f,2.43,1.19,1.70,4.25,24.2,,
Beadell Resources,,BDR,.451,.63,+1,.63,.635,19769,.665,.615,.665,.615,+1,+1.61,.995,.52,,,,,,-5.40,,,
Bendigo & Adelaide Bk,$1,BEN,2.887,7.28,+9,7.27,7.28,11175,7.30,7.19,7.30,7.19,+9,+1.25,9.87,6.82,60.00,f,.99,,8.24,59.30,12.3,,
BHP Billiton,$1,BHP,101.875,31.72,-19,31.72,31.73,97955,31.80,31.51,31.80,31.51,-19,-.60,45.00,30.71,103.08,f,3.85,11.69,3.25,397.33,8.0,,
Billabong Int'l,20c,BBG,.491,1.905,+2,1.90,1.905,9783,1.94,1.875,1.94,1.875,+2,+1.06,6.42,1.70,16.00,,1.94,-.46,8.40,31.00,6.1,,
BlueScope Steel,20c,BSL,.955,.285,+2.5,.28,.285,420705,.29,.265,.29,.265,+2.5,+9.62,1.215,.255,2.00,,,1.00,7.02,-81.00,,,
Boart Longyear,,BLY,1.374,2.98,-5,2.97,2.98,43256,3.025,2.91,3.025,2.91,-5,-1.65,4.42,2.34,9.88,p,3.50,1.54,3.32,34.56,8.6,,
Boral,20c,BLD,2.503,3.30,+3,3.29,3.30,23423,3.305,3.21,3.305,3.21,+3,+.92,4.68,3.13,14.50,f,2.14,3.27,4.39,31.00,10.6,,
Bradken,,BKN,.965,5.72,+22,5.71,5.72,53126,5.74,5.52,5.74,5.52,+22,+4.00,8.74,5.33,40.50,f,1.36,2.03,7.08,55.10,10.4,,
Brambles,,BXB,9.212,6.22,-6,6.21,6.22,64887,6.33,6.15,6.33,6.15,-6,-.96,7.551,5.760,26.00,p,1.21,2.05,4.18,31.45,19.8,,
BWP Trust unt,20c,BWP,.998,1.90,+1,1.90,1.905,11230,1.92,1.89,1.92,1.89,+1,+.53,1.95,1.555,12.43,,.91,1.87,6.54,11.36,16.7,,
Cabcharge Aust,,CAB,.676,5.61,-1,5.61,5.62,3285,5.70,5.58,5.70,5.58,-1,-.18,6.57,3.95,37.00,f,1.25,,6.60,46.20,12.1,,
