100 Leading Industrial Stocks,,,,,,,,,,,,
,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.692,2.473,Adelaide Brighton,3.2,-1,3.19,3.25,16.5,f,1.45,1.19,5.16,13.4
16.92,13.51,AGL Energy Ltd,13.73,-3,13.72,13.74,59,,1.54,6.4,4.3,15.1
7.18,5.79,Amcor Ltd,6.96,-1,6.95,6.96,34,,0.76,1.48,4.89,27.1
6.56,4.85,AMP Ltd,5.31,3,5.3,5.33,30,p,1.26,0.98,5.65,14
13.98,11.68,Ansell Ltd,13.08,5,13,13.08,31.5,,2.93,2.29,2.41,14.2
26.23,19.95,ANZ Banking Grp,23.04,34,23.01,23.06,126,f,1.42,10.38,5.47,12.9
4.21,3.35,APA Grp stp,4,,3.99,4.03,33.5,,0.59,1.34,8.38,20.4
6.6,5.51,Argo Invest,5.97,2,5.94,6,26,f,1.03,6.3,4.36,22.4
4.73,2.52,Aristocrat Leisure,3.22,-3,3.19,3.3,5,,2.9,0.14,1.55,22.2
1.915,1.44,Asciano Ltd,1.625,0.5,1.62,1.625,1,f,-,0.13,0.62,
43.89,28.02,ASX Ltd,34.18,-64,34.16,34.18,174.2,f,1.1,3.85,5.1,17.9
5.3,4.52,Aust Foundat,4.64,,4.62,4.64,21,f,1.01,4.93,4.53,21.9
1.46,0.835,Austar United,1.245,-0.5,1.225,1.25,,,-,-0.21,,15.8
3.17,2.25,Australand Prop stp,2.99,5,2.87,2.99,20.5,,1.4,3.52,6.86,10.4
6.46,4.86,AXA Asia Pacific,6.42,,,,18.5,,1.58,1.01,2.88,22
13.03,9.16,Bank Of Queensland,9.74,18,9.69,9.75,52,f,1.55,7.55,5.34,12.1
10.45,7.72,Bendigo And Adelaide,9.08,19,9.06,9.1,60,f,1.41,5.44,6.61,10.8
12.32,7.27,Billabong,7.72,-10,7.55,7.79,34,p,1.56,-0.44,4.4,14.5
3.02,1.83,Bluescope Steel,1.975,2.5,1.97,1.98,7,f,0.78,2.47,3.54,36.1
4.93,2.43,Boart Longyear,4.31,3,4.31,4.35,5.61,p,3.24,1.42,1.3,23.7
5.98,4.15,Boral Ltd,5.08,6,5.06,5.09,14,f,-,3.89,2.76,
7.75,5.11,Brambles Ltd,6.83,-1,6.78,6.84,25.5,p,1.4,8.25,3.73,19.2
13.55,10.2,Brickworks Ltd,10.62,9,10.6,10.68,40,f,2.42,9.28,3.77,11
16.16,8.95,Caltex Aust,15.96,12,15.92,16,60,f,1.96,11.08,3.76,13.6
44.9,26.5,Campbell Brothers,44.05,63,44,44.07,120,p,1.37,4.4,2.72,26.8
2.03,1.74,CFS Retail Prop unt,1.835,-0.5,1.83,1.835,12.6,p,1.74,2.05,6.87,8.4
5.21,3.24,Challenger Ltd,4.73,8,4.73,4.74,15.5,,3.01,2.52,3.28,10.1
