100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:05 Friday 3/9/2010. Processed 17:34 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.435,2.293,Adelaide Brighton,3.28,,3.28,3.29,15.5,f,1.52,1.16,4.73,13.9
15.69,13.37,AGL Energy Ltd,15.40,6,15.31,15.45,59,,1.34,5.89,3.83,19.4
7.04,5.27,Amcor Ltd,6.80,-2,6.78,6.81,29.5,,0.54,1.49,4.34,43.0
6.97,4.85,AMP Ltd,5.21,6,5.20,5.21,31,p,1.28,0.90,5.95,13.1
13.73,9.07,Ansell Ltd,13.43,19,13.15,13.45,30.5,,2.94,2.22,2.27,15.0
26.23,19.95,ANZ Banking Grp,23.29,-14,23.29,23.30,108,f,1.34,9.99,4.64,16.1
3.99,2.93,APA Grp stp,3.89,13,3.88,3.92,32.75,,0.59,1.28,8.42,20.1
7.05,5.51,Argo Invest,5.81,-5,5.81,5.84,25,f,1.04,6.03,4.30,22.3
5.75,3.34,Aristocrat Leisure,3.64,-19,3.63,3.70,3.5,,-,0.15,0.96,-
1.94,1.435,Asciano Grp stp,1.72,2,1.705,1.73,-,,-,0.08,-,-
37.16,28.02,ASX Ltd,29.36,4,29.34,29.40,173.1,f,1.10,3.49,5.90,15.4
5.41,4.52,Aust Foundation,4.74,4,4.72,4.74,21,f,0.89,4.70,4.43,25.5
3.05,2.20,Australand Prop stp,2.86,-4,2.75,2.87,12,,1.24,3.44,4.20,19.2
6.72,4.05,AXA Asia Pacific,5.75,7,5.70,5.75,18.5,p,1.66,1.01,3.22,18.7
13.49,9.68,Bank of Qld,10.36,-8,10.31,10.36,52,f,1.78,7.20,5.02,11.2
10.48,7.72,Bendigo & Adelaide,8.86,-6,8.78,8.87,58,f,1.16,5.27,6.55,13.1
12.32,7.31,Billabong Intl,7.90,2,7.86,7.95,36,p,1.62,0.40,4.56,13.6
3.40,2.03,BlueScope Steel,2.24,2,2.23,2.24,5,f,1.38,2.53,2.23,32.5
4.10,2.43,Boart Longyear,3.10,6,3.10,3.11,2.29,p,3.56,1.50,0.74,38.0
6.40,4.15,Boral Ltd,4.65,2,4.64,4.68,13.5,f,-,3.92,2.90,-
8.37,5.11,Brambles Ltd,5.96,2,5.94,5.97,25,p,1.48,0.88,4.19,16.1
16.80,11.03,Brickworks Ltd,11.39,7,11.25,11.48,39.5,f,2.54,9.06,3.47,11.3
12.75,8.01,Caltex Aust,11.39,5,11.25,11.40,55,f,0.63,10.76,4.83,33.1
32.50,23.22,Campbell Brothers,32.18,-26,31.53,32.18,100,p,1.29,3.76,3.11,24.9
2.12,1.81,CFS Retail Prop unt,1.99,,1.985,2.01,12.5,,1.01,2.02,6.28,15.7
4.50,3.00,Challenger FSG Ltd,3.91,5,3.90,3.92,14.5,,3.81,-,3.71,7.1
