Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-14T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,Q3,0.0901,-,0.2401,-,4,-,-,-,25 Mar,31 Mar,20 Jun,0,,
Alliance Aviation,ordinary,AQZ,I,3.6,-,3.6,100,3,-,4.8,-,3 Jun,5 Jun,25 Jun,0,,
ALS,ordinary,ALQ,F,20.0,-,39.0,50.00,3,-,21.0,27.0,11 Jun,13 Jun,2 Jul,0,,
ANZ Banking Grp,ordinary,ANZ,I,83.0,-,83.0,100,3,3,73.0,-,9 May,13 May,1 Jul,0,,
ANZ Banking Grp,pref share cps2,ANZPA,F,100.26,-,302.16,100,-,-,341.25,112.3,27 May,29 May,16 Jun,0,,
ANZ Banking Grp,pref share cps1,ANZPB,F,89.79,-,270.75,100,-,-,309.84,101.48,27 May,29 May,16 Jun,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,200.23,-,397.73,100,-,-,227.2,214.3,13 Aug,15 Aug,1 Sep,0,,
ANZ Banking Grp,cap note,ANZPD,F,210.71,-,448.46,100,-,-,-,-,20 Aug,22 Aug,1 Sep,0,,
ANZ Banking Grp,cap note 2,ANZPE,F,202.99,-,202.99,100,-,-,-,-,12 Sep,16 Sep,24 Sep,0,,
Aquaint Capital,ordinary,AQU,F,1.0,-,1.0,-,-,-,-,-,30 May,3 Jun,30 Jun,0,,
Aristocrat Leisure,ordinary,ALL,I,8.0,-,8.0,-,4,-,7.0,-,2 Jun,4 Jun,27 Jun,0,,
Arowana Internat,ordinary,AWN,I,2.0,-,2.0,100,-,-,-,-,11 Jun,13 Jun,19 Jun,0,,
Aspen Grp,ord/units stapled,APZ,F,4.0,-,11.5,-,4,-,0.75,0.75,26 Jun,30 Jun,25 Aug,1,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.51,-,0.51,-,3,-,2.8,1.45,28 May,30 May,20 Jun,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,F,72.34,-,289.6,100,-,-,256.98,83.45,21 May,23 May,16 Jun,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,F,78.0,-,312.0,100,-,-,264.0,85.0,23 Jun,25 Jun,10 Jul,0,,
BetaSharesHighIntCash,etf units,AAA,I,14.1142,-,14.1142,-,3,-,15.37,-,2 Jun,4 Jun,18 Jun,0,,
BT Invest Mgt,ordinary,BTT,I,16.0,-,16.0,35.00,3,-,8.0,-,14 May,16 May,2 Jul,0,,
Clime Capital,ordinary,CAM,F,1.15,-,4.3,100,3,-,3.0,1.0,30 Jun,2 Jul,22 Jul,0,,
