Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 19/12/2009|. Processed 20:23 Saturday 19/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aberdeen Leaders,ordinary,ALR,Q3,2,-,3.75,100,3,-,8,2,5/1/10,11/1/10,29/1/10,,,,,,,,,
Adelaide Managed,units,AYT,I,-,3.85,3.8,-,-,-,6.35,-,23/12/09,31/12/09,14/1/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,I,-,1.1,-,-,3,-,-,2.05,23/12/09,31/12/09,26/3/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,I,-,12,-,-,3,-,-,16.85,23/12/09,31/12/09,26/2/10,,,,,,,,,
Allied Brands Ltd,ordinary,ABQ,F,0.5,-,0.5,100,-,-,-,1,11/1/10,15/1/10,29/1/10,,,,,,,,,
AMP Capital China,ordinary units,AGF,F,-,6,-,-,3,-,-,-,23/12/09,31/12/09,30/4/10,,,,,,,,,
Anglo Pacific Grp,ordinary,AGP,I,6.8506,-,6.8506,-,3,-,8.8055,-,9/11/09,13/11/09,13/1/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q3,116.51,-,322.69,100,-,-,-,143.15,19/2/10,25/2/10,15/3/10,,,,,,,,,
APA Grp,stapled securities,APA,I,-,15.75,-,-,3,-,-,15,23/12/09,31/12/09,17/3/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,I,-,6.5,-,-,3,-,-,-,23/12/09,31/12/09,25/2/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,I,1.05,-,2.1,-,4,-,9.79,-,23/12/09,31/12/09,18/2/10
Astro Jap Prop Grp,unit/ord stapled,AJA,I,-,3.5,-,-,-,-,-,-,23/12/09,31/12/09,26/2/10
Aurora Buy-Write,ordinary units,ABW,I,4.5,-,4.5,-,3,-,-,35.14,23/12/09,31/12/09,16/2/10
Aurora Global Tr,ordinary units,AIB,I,2.5,-,18.5,-,3,-,-,39.75,23/12/09,31/12/09,26/2/10
Aurora Prop,ordinary units,AUP,I,30,-,30,-,3,-,-,47.805,23/12/09,31/12/09,26/2/10
Aurora Sandringham,ordinary units,AOD,I,-,3,-,-,3,-,-,4.171,23/12/09,31/12/09,12/2/10
Australand Prop,stapled security,ALZ,F,2,-,5,-,4,-,4,4,23/12/09,31/12/09,8/2/10
Aust Enhanced,units,AYF,I,12.5,-,25,35.82,3,-,52.5,17.5,23/12/09,31/12/09,22/1/10
Aust Infrastr,units/ordinary,AIX,I,-,5,-,-,4,-,-,8.5,23/12/09,31/12/09,26/2/10
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,12/4/10,16/4/10,3/5/10
Bendigo & Adelaide,reset preference,BENPB,Q3,99.25,-,270.32,100,-,-,162.85,152.98,15/2/10,19/2/10,15/3/10
Bendigo & Adelaide,step up non-cum pref,BENPC,I,98,-,184,100,-,-,490,86,16/12/09,22/12/09,11/1/10
Bunnings Warehouse,ordinary units,BWP,I,-,6.09,-,-,3,-,-,-,23/12/09,31/12/09,26/2/10
Canada Land Ltd,chess depositary int,CDL,I,0.08,-,0.08,-,-,-,-,0.28,7/12/09,11/12/09,6/1/10
Carindale Prop,unit,CDP,I,-,13.59,-,-,-,-,-,12.92,23/12/09,31/12/09,26/2/10
Challenger Div Pro,stapled units,CDI,I,-,2.05,-,-,3,-,-,4.23,23/12/09,31/12/09,26/2/10
Challenger Infrast,a stapled units,CIF,I,-,7,-,-,-,-,-,19.5,23/12/09,31/12/09,25/2/10
Challenger Kenedix,ordinary units,CKT,I,-,3,-,-,4,-,-,7.55,23/12/09,31/12/09,26/2/10
Challenger Winetr,ordinary units,CWT,I,-,3.25,1.2,-,3,-,3.564,1.2,23/12/09,31/12/09,9/2/10
Commonwealth Bank,perp.exc.(perls v),CBAPA,Q3,306.57,-,306.57,100,-,-,-,-,19/1/10,25/1/10,1/2/10
Commonwealth Bank,perp.exc.(perls iv),CBAPB,Q3,172.54,-,471.63,100,-,-,312.12,247.22,19/1/10,25/1/10,1/2/10
CSR Ltd,ordinary,CSR,I,2.5,-,2.5,100,4,-,6,-,4/11/09,10/11/09,23/12/09
Dexus Prop Grp,stapled units,DXS,I,2.65,-,2.65,-,3,-,-,6,23/12/09,31/12/09,26/2/10
Dexus Rents Tr,rents,DXRPA,I,117,-,229,-,-,-,666,110,23/12/09,31/12/09,18/1/10
Duet Grp,stapled us prohibit.,DUE,I,10,-,10,-,3,-,-,13.5,23/12/09,31/12/09,16/2/10
E & A Ltd,ordinary,EAL,F,1,-,1,100,3,-,3,4.5,4/12/09,10/12/09,23/12/09
Environmental Grp,ordinary,EGL,F,0.2,-,0.2,100,3,-,-,0.3,11/1/10,15/1/10,29/1/10
Ethane Pipeline,stapled securities,EPX,I,3.39,-,6.78,-,-,-,3.08,3.1,23/12/09,31/12/09,15/1/10
Goodman Grp,stapled us prohibit.,GMG,I,-,1.5,-,-,4,-,-,8.5,23/12/09,31/12/09,26/2/10
Goodman Plus Tr,step-up units,GMPPA,I,129.2275,-,257.2508,-,-,-,720.7777,124.5753,8/12/09,14/12/09,21/12/09
Growthpoint Prop,ord/unit stapled sec,GOZ,I,-,5.5,-,-,4,-,-,-,23/12/09,31/12/09,26/2/10
Gunns Ltd,forests,GNSPA,I,155.62,-,299.36,100,-,-,556.15,142.15,22/12/09,30/12/09,14/1/10
Hastings Diversified,stapled security,HDF,I,3,-,6,-,3,-,17,3,23/12/09,31/12/09,29/1/10
Hastings High Yield,ordinary units,HHY,I,3.7,-,7.2,-,4,-,14.2,4.1,23/12/09,31/12/09,10/2/10
ING Office Fund,stapled securities,IOF,I,0.975,-,1.95,-,4,-,7.525,2.125,23/12/09,31/12/09,26/2/10
ING Real Estate,units,IHF,I,3.825,-,3.825,-,3,-,-,4.35,23/12/09,31/12/09,26/2/10
KFM Diversified Inf,ordinary units,KIL,I,-,2,-,-,3,-,-,-,23/12/09,31/12/09,26/2/10
MacarthurCook Ind Pr,ordinary units,MIF,I,0.4,-,0.8,-,3,-,-,1.8125,23/12/09,31/12/09,21/1/10
Macq Countrywid,units,MCW,I,-,3,-,-,3,-,-,-,23/12/09,31/12/09,19/2/10
