Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 17/4/2010|. Processed 15:05 Saturday 17/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aberdeen Leaders,ordinary,ALR,F,2,-,5.75,100,3,-,6,2,6/4/10,12/4/10,6/5/10,,,,,,,,,
Ammtec Ltd,ordinary,AEC,I,6.5,-,6.5,100,3,-,-,14,1/4/10,9/4/10,30/4/10,,,,,,,,,
Anglo Pacific Grp,ordinary,AGP,F,-,-,6.8506,-,-,-,8.8055,9.0212,3/5/10,7/5/10,7/7/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,F,132.86,-,253.95,100,-,-,-,219.02,24/5/10,28/5/10,15/6/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,F,122.27,-,444.96,100,-,-,-,143.15,24/5/10,28/5/10,15/6/10,,,,,,,,,
ARB Corp,ordinary,ARP,I,7.5,-,7.5,100,4,4,-,9,1/4/10,9/4/10,23/4/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,Q3,1.05,-,3.15,-,4,-,9.79,-,25/3/10,31/3/10,20/5/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,Q3,2.5,-,21,-,3,-,-,39.75,25/3/10,31/3/10,21/4/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,Q3,11,-,41,-,3,-,-,47.805,25/3/10,31/3/10,21/4/10,,,,,,,,,
Aurora Sand Au Tr,ordinary units,ABW,Q3,2.5,-,7,-,3,-,-,35.14,25/3/10,31/3/10,21/4/10,,,,,,,,,
Aurora Sandringham,ordinary units,AOD,Q3,-,1.6,3,-,3,-,-,4.171,25/3/10,31/3/10,21/4/10,,,,,,,,,
Ausdrill Ltd,ordinary,ASL,I,5,-,5,100,3,-,-,6,15/4/10,21/4/10,30/4/10,,,,,,,,,
