Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 26/6/2010|. Processed 22:09 Sunday 27/6/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aberdeen Leaders,ordinary,ALR,F,3.75,-,9.5,100,3,-,3.75,3.25,29/6/10,5/7/10,30/7/10,,,,,,,,,
Adelaide Managed,units,AYT,F,-,4,-,-,-,-,-,4.574,24/6/10,30/6/10,14/8/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,F,-,0.847,1.1,-,3,-,-,1.027,24/6/10,30/6/10,27/9/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,F,-,12,12,-,-,-,-,15,24/6/10,30/6/10,31/8/10,,,,,,,,,
Aneka Tambang,cdi  1:5,ATM,F,1.3713,-,1.3713,-,-,-,-,2.9705,25/6/10,1/7/10,15/7/10,,,,,,,,,
Anglo Pacific Grp,ordinary,AGP,F,7.7981,-,14.6487,-,3,-,8.8055,9.0212,3/5/10,7/5/10,7/7/10,,,,,,,,,
ANZ Banking Grp,ordinary,ANZ,I,52,-,52,100,3,3,46,-,6/5/10,12/5/10,1/7/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,Q1,141.3,-,141.3,100,-,-,121.09,132.86,25/8/10,31/8/10,15/9/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q1,130.71,-,130.71,100,-,-,322.69,122.27,25/8/10,31/8/10,15/9/10,,,,,,,,,
APA Grp,stapled securities,APA,F,-,17,15.75,-,3,-,-,16,24/6/10,30/6/10,15/9/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,F,-,4.25,6.5,-,3,-,-,-,24/6/10,30/6/10,26/8/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,F,1.05,-,4.2,-,3,-,2.04,-,24/6/10,30/6/10,25/8/10,,,,,,,,,
Astro Jap Prop Grp,stapled securities,AJA,F,-,3.5,3.5,-,-,-,-,5,24/6/10,30/6/10,30/8/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,F,2.5,-,7.5,-,3,-,-,33,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,F,11,-,52,-,3,-,-,25,24/6/10,30/6/10,17/9/10,,,,,,,,,
Aurora Sand Au Tr,ordinary units,ABW,F,-,2.5,7,-,3,-,-,16,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aurora Sandringham,ordinary units,AOD,F,-,1.6,3,-,3,-,-,1,24/6/10,30/6/10,25/8/10,,,,,,,,,
Australand Assets,assets,AAZPB,F,229.83,-,855.68,-,-,-,468.09,197.29,24/6/10,30/6/10,15/7/10,,,,,,,,,
Australand Prop,stapled security,ALZ,I,10,-,10,-,4,-,-,3,24/6/10,30/6/10,5/8/10,,,,,,,,,
Aust Enhanced,units,AYF,F,12.5,-,50,35.74,3,-,35,17.5,24/6/10,30/6/10,16/7/10,,,,,,,,,
Aust Infrastr,units/ordinary,AIX,F,-,5,5,-,4,-,-,5,24/6/10,30/6/10,30/8/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,F,310.53,-,616,100,-,-,305.47,310.53,11/10/10,15/10/10,1/11/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q1,113.07,-,113.07,100,-,-,270.32,104.63,19/8/10,25/8/10,15/9/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,F,110,-,396,100,-,-,167,86,21/6/10,25/6/10,12/7/10,,,,,,,,,
BT Invest Mngmnt,ordinary,BTT,I,5.5,-,5.5,100,-,-,3,-,17/5/10,21/5/10,1/7/10,,,,,,,,,
Bunnings Warehouse,ordinary units,BWP,F,-,5.98,6.1,-,3,-,-,4.87,24/6/10,30/6/10,27/8/10,,,,,,,,,
Campbell Brothers,ordinary,CPB,F,55,-,100,50,3,-,-,50,7/6/10,11/6/10,1/7/10,,,,,,,,,
Canada Land Ltd,chess depositary int,CDL,F,-,-,0.08,-,-,-,-,0.29,16/8/10,20/8/10,10/9/10,,,,,,,,,
Cape Lambert Res,ordinary,CFE,I,7,-,7,100,-,-,-,14.9,24/6/10,30/6/10,16/7/10,,,,,,,,,
Careers Multilist,ordinary,CGR,F,0.5,-,0.5,100,-,-,-,-,9/8/10,13/8/10,1/9/10,,,,,,,,,
Carindale Prop,unit,CDP,F,-,14,13.61,-,-,-,-,13.6,24/6/10,30/6/10,31/8/10,,,,,,,,,
CFS Retail Prop,units,CFX,F,-,6.3,6.2,-,3,-,-,6.3,24/6/10,30/6/10,26/8/10,,,,,,,,,
Challenger Div Pro,stapled units,CDI,F,-,2.15,-,-,4,-,-,3,24/6/10,30/6/10,30/8/10,,,,,,,,,
Challenger Infrast,stapled units,CIF,F,-,7,7,-,-,-,-,8,24/6/10,30/6/10,30/8/10,,,,,,,,,
Challenger Winetr,ordinary units,CWT,F,-,1,3.25,-,4,-,1.2,1.2,24/6/10,30/6/10,30/8/10,,,,,,,,,
Charter Hall Grp,stapled us prohibit.,CHC,F,1.6,-,3.2,-,3,-,-,1,24/6/10,30/6/10,27/8/10,,,,,,,,,
Charter Hall Office,unit,CQO,F,-,0.85,-,-,3,-,-,-,24/6/10,30/6/10,20/8/10,,,,,,,,,
