Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-19T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop,units/ord stapled,ABP,I,8.25,-,8.25,-,3,-,0.75,1.5,14 Jan,20 Jan,25 Feb,0,,
Academies A'asia,ordinary,AKG,I,2.0,-,2.0,100,-,-,-,-,9 Feb,15 Feb,3 Mar,0,,
Adelaide Brighton,ordinary,ABC,F,11.5,-,21.5,100,4,-,5.5,8.0,23 Feb,1 Mar,11 Apr,1,,
Agricultural Land,ordinary units,AGJ,I,-,0.96,-,-,3,-,1.1,-,23 Dec,31 Dec,28 Mar,0,,
Alcoa Inc,chess depositary int,AAI,Q3,2.5592,-,8.0918,-,-,-,8.8231,2.7927,31 Jan,4 Feb,25 Feb,0,,
ALE Prop Grp,stapled securities,LEP,I,10.0,-,10.0,-,3,-,12.0,-,23 Dec,31 Dec,28 Feb,0,,
Alesco Corp,ordinary,ALS,I,1.5,-,1.5,100,4,-,7.0,-,14 Feb,18 Feb,4 Mar,0,,
Alumina,ordinary,AWC,F,3.9475,-,6.1799,100,4,-,-,2.0,15 Feb,21 Feb,18 Mar,0,,
AMP Capital China,ordinary units,AGF,F,-,3.0,-,-,3,-,-,8.477,23 Dec,31 Dec,30 Apr,0,,
AMP,ordinary,AMP,F,15.0,-,30.0,60.00,3,-,14.0,16.0,28 Feb,4 Mar,8 Apr,1,,
Anglogold Ashanti,cdi  5:1,AGG,F,-,-,2.0818,-,-,-,1.8188,2.0801,7 Mar,11 Mar,18 Mar,1,,
Ansell,ordinary,ANN,I,14.0,-,14.0,-,-,-,13.0,-,17 Feb,23 Feb,16 Mar,0,,
ANZ Banking Grp,pref share,ANZPA,Q3,141.62,-,421.75,100,-,-,121.09,132.86,21 Feb,25 Feb,15 Mar,0,,
ANZ Banking Grp,pref share,ANZPB,Q3,131.26,-,390.33,100,-,-,322.69,122.27,21 Feb,25 Feb,15 Mar,0,,
APA Grp,stapled securities,APA,I,-,16.5,-,-,3,-,15.75,-,23 Dec,31 Dec,17 Mar,0,,
Aquarius Platinum,ordinary,AQP,I,-,-,-,-,-,-,2.2683,-,28 Feb,4 Mar,25 Mar,0,,
ARB Corp,ordinary,ARP,I,10.0,-,10.0,100,4,4,7.5,-,30 Mar,5 Apr,20 Apr,1,,
Ardent Leisure Grp,stapled securities,AAD,I,6.5,-,6.5,-,3,-,6.5,-,23 Dec,31 Dec,28 Feb,0,,
Argo Invest,ordinary,ARG,I,13.0,-,13.0,100,3,-,12.0,-,15 Feb,21 Feb,7 Mar,0,,
Astro Japan Prop Tr,stapled securities,AJA,I,-,2.25,-,-,4,-,3.5,-,23 Dec,31 Dec,25 Feb,0,,
ASX,ordinary,ASX,I,90.2,-,90.2,100,4,-,89.1,-,28 Feb,4 Mar,24 Mar,1,,
Aurora Global Inc Tr,ordinary units,AIB,I,3.0,-,5.5,-,3,-,21.0,2.5,23 Dec,31 Dec,25 Feb,0,,
Aurora Prop,ordinary units,AUP,I,11.0,-,22.0,-,3,-,11.0,11.0,23 Dec,31 Dec,25 Feb,0,,
Austereo Grp,ordinary,AEO,I,5.0,-,5.0,100,-,-,4.0,-,21 Feb,25 Feb,15 Mar,0,,
Aust Foundation,ordinary,AFI,I,8.0,-,8.0,100,3,-,8.0,-,4 Feb,10 Feb,25 Feb,0,,
Aust Infrastructure Fd,units/ordinary,AIX,I,-,5.0,-,-,4,-,5.0,-,23 Dec,31 Dec,25 Feb,0,,
Aust United Invest,ordinary,AUI,I,12.0,-,12.0,100,3,-,11.5,-,22 Feb,28 Feb,15 Mar,1,,
Automotive Hldgs,ordinary,AHE,I,7.0,-,7.0,100,-,-,7.0,-,11 Mar,18 Mar,1 Apr,1,,
AVJennings,ordinary,AVJ,I,1.0,-,1.0,100,4,-,-,-,29 Mar,4 Apr,18 Apr,0,,
AXA Asia Pacific,ordinary,AXA,F,9.25,-,18.5,-,4,-,9.25,9.25,28 Feb,4 Mar,25 Mar,1,,
Bendigo & Adelaide,ordinary,BEN,I,30.0,-,30.0,100,3,3,28.0,-,28 Feb,4 Mar,31 Mar,1,,
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,6 Apr,12 Apr,2 May,0,,
Bendigo & Adelaide,reset preference,BENPB,Q3,114.0,-,337.98,100,-,-,270.32,104.63,15 Feb,21 Feb,15 Mar,0,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q3,116.0,-,348.0,100,-,-,286.0,110.0,21 Mar,25 Mar,11 Apr,0,,
BHP Billiton,ordinary,BHP,I,45.803,-,45.803,100,-,-,46.4707,-,7 Mar,11 Mar,31 Mar,1,,
BKI Invest,ordinary,BKI,I,3.0,-,3.0,100,3,-,3.0,-,15 Feb,21 Feb,7 Mar,0,,
Boral,ordinary,BLD,I,7.5,-,7.5,100,3,-,7.0,-,18 Feb,24 Feb,24 Mar,0,,
Bradken,ordinary,BKN,I,18.5,-,18.5,100,3,-,13.0,-,14 Feb,18 Feb,21 Mar,0,,
Brambles,ordinary,BXB,I,13.0,-,13.0,20.00,3,-,12.5,-,7 Mar,11 Mar,14 Apr,1,,
