Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-17T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles,ordinary,ONT,F,8.5,-,18.5,100,-,-,8.6,9.2,30 Sep,4 Oct,9 Oct,1,,
Academies A'asia,ordinary,AKG,F,2.5,-,5.0,100,-,-,2.0,2.5,6 Sep,12 Sep,26 Sep,1,,
Advanced Share Reg,ordinary,ASW,F,2.0,-,3.85,100,-,-,1.85,1.85,13 Aug,19 Aug,20 Aug,0,,
Agricultural Land,ordinary units,AGJ,F,2.82,-,2.82,-,3,-,-,3.18,25 Jun,1 Jul,27 Sep,0,,
ALE Prop Grp,stapled securities,LEP,F,8.0,-,16.0,-,3,-,8.0,8.0,24 Jun,28 Jun,5 Sep,0,,
AMCB Fund No 5,ordinary,AKY,Q1,105.0,-,105.0,100,-,-,100.0,-,7 Aug,13 Aug,22 Aug,0,,
AMCIL,ordinary,AMH,F,8.0,-,8.0,100,3,-,-,2.5,13 Aug,19 Aug,27 Aug,0,,
Amcom Telco,ordinary,AMM,F,3.5,-,5.5,100,-,-,1.8,3.2,13 Sep,19 Sep,4 Oct,1,,
AMP,ordinary,AMP,I,11.5,-,11.5,70.00,3,-,12.5,-,2 Sep,6 Sep,11 Oct,1,,
Aust Masters YF1,ordinary,AYD,Q1,100.0,-,100.0,100,-,-,-,100.0,7 Aug,13 Aug,22 Aug,0,,
Aust Masters YF2,ordinary,AYH,F,100.0,-,320.0,100,-,-,-,-,7 Aug,13 Aug,22 Aug,0,,
ANZ Banking Grp,pref share cps2,ANZPA,Q1,102.63,-,102.63,100,-,-,341.25,112.3,26 Aug,30 Aug,16 Sep,0,,
ANZ Banking Grp,pref share cps1,ANZPB,Q1,92.16,-,92.16,100,-,-,309.84,101.48,26 Aug,30 Aug,16 Sep,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,214.3,-,441.5,100,-,-,230.72,270.86,12 Aug,16 Aug,2 Sep,0,,
APA Grp,stapled securities,APA,F,-,18.5,17.0,-,4,-,17.0,18.0,24 Jun,28 Jun,11 Sep,0,,
Ardent Leisure Grp,stapled securities,AAD,F,-,5.4,6.6,-,3,-,6.5,5.2,24 Jun,28 Jun,30 Aug,0,,
Argo Invest,ordinary,ARG,F,13.5,-,26.5,100,3,-,13.0,13.0,15 Aug,21 Aug,4 Sep,0,,
Asia Pacific Data,ordinary stapled sec,AJD,F,-,1.81,-,-,-,-,-,-,24 Jun,28 Jun,30 Aug,0,,
Aspen Grp,ord/units stapled,APZ,F,0.75,-,1.5,-,4,-,2.1,1.05,24 Jun,28 Jun,23 Aug,0,,
Astro Japan Prop Grp,stapled us prohibit.,AJA,F,-,10.0,7.5,-,4,-,10.0,5.0,24 Jun,28 Jun,30 Aug,0,,
Aurora Absolute Return,ordinary units,ABW,F,1.59,-,4.89,254,3,-,4.43,2.2,24 Jun,28 Jun,23 Aug,0,,
Aurora Global Inc Tr,ordinary units,AIB,F,2.59,-,7.62,-,3,-,5.35,-,24 Jun,28 Jun,23 Aug,0,,
