Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 17:32 Thursday 31/12/2009|. Processed 17:33 Thursday 31/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aberdeen Leaders,ordinary,ALR,Q3,2,-,3.75,100,3,-,8,2,5/1/10,11/1/10,29/1/10,,,,,,,,,
Adelaide Managed,units,AYT,I,-,3.85,3.8,-,-,-,6.35,-,23/12/09,31/12/09,14/1/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,I,-,1.1,-,-,3,-,-,2.05,23/12/09,31/12/09,26/3/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,I,-,12,-,-,3,-,-,16.85,23/12/09,31/12/09,26/2/10,,,,,,,,,
Allied Brands Ltd,ordinary,ABQ,F,0.5,-,0.5,100,-,-,-,1,11/1/10,15/1/10,29/1/10,,,,,,,,,
AMP Capital China,ordinary units,AGF,F,-,6,-,-,3,-,-,-,23/12/09,31/12/09,30/4/10,,,,,,,,,
Anglo Pacific Grp,ordinary,AGP,I,6.8506,-,6.8506,-,3,-,8.8055,-,9/11/09,13/11/09,13/1/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q3,116.51,-,322.69,100,-,-,-,143.15,19/2/10,25/2/10,15/3/10,,,,,,,,,
APA Grp,stapled securities,APA,I,-,15.75,-,-,3,-,-,15,23/12/09,31/12/09,17/3/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,I,-,6.5,-,-,3,-,-,-,23/12/09,31/12/09,25/2/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,I,1.05,-,2.1,-,4,-,9.79,-,23/12/09,31/12/09,18/2/10,,,,,,,,,
Astro Jap Prop Grp,stapled securities,AJA,I,-,3.5,-,-,-,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aurora Buy-Write,ordinary units,ABW,I,4.5,-,4.5,-,3,-,-,35.14,23/12/09,31/12/09,16/2/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,I,2.5,-,18.5,-,3,-,-,39.75,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,I,30,-,30,-,3,-,-,47.805,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aurora Sandringham,ordinary units,AOD,I,-,3,-,-,3,-,-,4.171,23/12/09,31/12/09,12/2/10,,,,,,,,,
Australand Assets,assets,AAZPB,I,205.51,-,406.15,-,-,-,720.15,197.29,23/12/09,31/12/09,18/1/10,,,,,,,,,
Australand Prop,stapled security,ALZ,F,2,-,5,-,4,-,4,4,23/12/09,31/12/09,8/2/10,,,,,,,,,
Aust Enhanced,units,AYF,I,12.5,-,25,35.82,3,-,52.5,17.5,23/12/09,31/12/09,22/1/10,,,,,,,,,
Aust Infrastr,units/ordinary,AIX,I,-,5,-,-,4,-,-,8.5,23/12/09,31/12/09,26/2/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,12/4/10,16/4/10,3/5/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q3,99.25,-,270.32,100,-,-,162.85,152.98,15/2/10,19/2/10,15/3/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,I,98,-,184,100,-,-,490,86,16/12/09,22/12/09,11/1/10,,,,,,,,,
