Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-07-14T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop,units/ord stapled,ABP,F,8.25,-,16.5,-,3,-,8.25,8.25,6 Jul,12 Jul,15 Aug,0,,
Aberdeen Leaders,ordinary,ALR,F,3.75,-,9.5,100,-,-,5.75,3.75,26 Jun,2 Jul,27 Jul,0,,
Agricultural Land,ordinary units,AGJ,F,-,3.18,-,-,3,-,0.96,1.49,25 Jun,29 Jun,8 Oct,0,,
All 200 Energy,etf units,ENY,F,9.3065,-,30.6392,-,3,-,5.9063,24.7017,2 Jul,6 Jul,17 Jul,0,,
All 200 Financials,etf units,FIN,F,6.588,-,32.3942,-,3,-,13.9909,4.031,2 Jul,6 Jul,17 Jul,0,,
All 200 Fin-x-A-REIT,etf units,FIX,F,4.8973,-,19.1401,-,3,-,15.2243,4.8747,2 Jul,6 Jul,17 Jul,0,,
All 200 Industrials,etf units,IDD,F,6.2023,-,11.4042,-,3,-,4.9766,6.3073,2 Jul,6 Jul,17 Jul,0,,
All 200 Resources,etf units,RSR,F,4.906,-,9.023,-,3,-,1.585,9.0102,2 Jul,6 Jul,17 Jul,0,,
All 300 Metals & Mining,etf units,MAM,F,0.2338,-,10.559,-,3,-,0.7167,4.1389,2 Jul,6 Jul,17 Jul,0,,
ALE Prop Grp,stapled securities,LEP,F,-,8.0,8.0,-,3,-,10.0,9.75,25 Jun,29 Jun,5 Sep,0,,
Aneka Tambang,cdi  1:5,ATM,F,4.0591,-,4.0591,-,-,-,-,3.2811,26 Jun,2 Jul,16 Jul,0,,
ANZ Banking Grp,pref share cps2,ANZPA,Q1,120.9,-,120.9,100,-,-,415.76,133.39,27 Aug,31 Aug,17 Sep,0,,
ANZ Banking Grp,pref share cps1,ANZPB,Q1,110.09,-,110.09,100,-,-,384.22,122.8,27 Aug,31 Aug,17 Sep,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,270.86,-,501.58,-,-,-,-,-,13 Aug,17 Aug,3 Sep,0,,
APA Grp,stapled securities,APA,F,-,18.0,17.0,-,3,-,16.5,17.9,25 Jun,29 Jun,14 Sep,0,,
Ardent Leisure Grp,stapled securities,AAD,F,-,5.2,6.5,-,3,-,6.5,5.0,25 Jun,29 Jun,31 Aug,0,,
Astro Japan Prop Grp,stapled securities,AJA,F,-,5.0,10.0,-,4,-,-,-,25 Jun,29 Jun,31 Aug,0,,
Aurora Absolute Return,ordinary units,ABW,F,-,2.2,4.43,-,3,-,4.6,2.265,25 Jun,29 Jun,24 Aug,0,,
Aurora Global Inc Tr,ordinary units,AIB,F,-,2.63,5.35,-,3,-,3.0,3.0,25 Jun,29 Jun,24 Aug,0,,
Aurora Prop,ordinary units,AUP,F,-,10.0,20.0,-,3,-,22.0,11.0,25 Jun,29 Jun,14 Sep,0,,
Aurora Sandringham,ordinary units,AOD,F,-,1.5,2.8,480,3,-,3.0,1.5,25 Jun,29 Jun,25 Aug,0,,
Aust Social Infra Fd,units,AZF,F,4.0,-,14.5,-,-,-,3.4,-,25 Jun,29 Jun,20 Jul,0,,
Australand Assets,assets,AAZPB,F,225.26,-,940.93,-,-,-,727.63,241.54,25 Jun,29 Jun,16 Jul,0,,
Australand Prop,stapled security,ALZ,I,10.5,-,10.5,-,4,-,10.5,-,25 Jun,29 Jun,7 Aug,0,,
