Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 7/8/2010|. Processed 18:02 Sunday 8/8/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop Grp,units/ord stapled,ABP,F,1.65,-,3.15,-,3,-,3.5,0.75,7/7/10,13/7/10,11/8/10,,,,,,,,,
Adelaide Managed,units,AYT,F,3.903,-,3.903,-,-,-,-,4.574,24/6/10,30/6/10,16/8/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,F,-,0.847,1.1,-,3,-,-,1.027,24/6/10,30/6/10,27/9/10,,,,,,,,,
Alcoa Inc,chess depositary int,AAI,Q1,2.9143,-,2.9143,-,-,-,8.8231,2.7927,30/7/10,6/8/10,25/8/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,F,-,12,12,-,3,-,-,15,24/6/10,30/6/10,31/8/10,,,,,,,,,
Amcil Ltd,ordinary,AMH,F,2,-,2,100,3,-,-,2,12/8/10,18/8/10,27/8/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,Q1,141.3,-,141.3,100,-,-,121.09,132.86,25/8/10,31/8/10,15/9/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q1,130.71,-,130.71,100,-,-,322.69,122.27,25/8/10,31/8/10,15/9/10,,,,,,,,,
APA Grp,stapled securities,APA,F,-,17,15.75,-,3,-,-,16,24/6/10,30/6/10,15/9/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,F,-,4.25,6.5,-,3,-,-,-,24/6/10,30/6/10,26/8/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,F,1.05,-,4.2,-,3,-,2.04,-,24/6/10,30/6/10,25/8/10,,,,,,,,,
Astro Jap Prop Grp,stapled securities,AJA,F,-,3.5,3.5,-,-,-,-,5,24/6/10,30/6/10,30/8/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,F,2.5,-,7.5,-,3,-,-,33,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,F,11,-,52,-,3,-,-,25,24/6/10,30/6/10,17/9/10,,,,,,,,,
Aurora Sand Au Tr,ordinary units,ABW,F,2.5,-,9.5,-,3,-,-,16,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aurora Sandringham,ordinary units,AOD,F,1.6,-,4.6,16.04,3,-,-,1,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aust Foundation,ordinary,AFI,F,13,-,21,100,3,-,-,13,13/8/10,19/8/10,1/9/10,,,,,,,,,
Aust Infrastr,units/ordinary,AIX,F,-,5,5,-,4,-,-,5,24/6/10,30/6/10,30/8/10,,,,,,,,,
AXA Asia Pacific,ordinary,AXA,I,9.25,-,9.25,10,4,-,9.25,-,16/8/10,20/8/10,13/9/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,F,310.53,-,616,100,-,-,305.47,310.53,11/10/10,15/10/10,1/11/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q1,113.07,-,113.07,100,-,-,270.32,104.63,19/8/10,25/8/10,15/9/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q1,116,-,116,100,-,-,286,110,20/9/10,24/9/10,11/10/10,,,,,,,,,
BKI Invest Ltd,ordinary,BKI,F,3.25,-,6.25,100,3,-,-,3,23/8/10,27/8/10,10/9/10,,,,,,,,,
BT Invest Mngmnt,ordinary,BTT,I,12.5,-,12.5,100,-,-,3,-,28/7/10,4/8/10,26/8/10,,,,,,,,,
Bunnings Warehouse,ordinary units,BWP,F,-,5.98,6.1,-,3,-,-,4.87,24/6/10,30/6/10,27/8/10,,,,,,,,,
Canada Land Ltd,chess depositary int,CDL,F,-,-,0.08,-,-,-,-,0.29,16/8/10,20/8/10,10/9/10,,,,,,,,,
Careers Multilist,ordinary,CGR,F,0.5,-,0.5,100,-,-,-,-,9/8/10,13/8/10,1/9/10,,,,,,,,,
Carindale Prop,unit,CDP,F,-,14,13.61,-,-,-,-,13.6,24/6/10,30/6/10,31/8/10,,,,,,,,,
