Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-13T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,I,-,0.1088,-,-,4,-,-,-,26 Sep,30 Sep,19 Dec,0,,
ALE Prop Grp,stapled securities,LEP,I,8.4,-,8.4,-,4,-,8.2,-,29 Dec,31 Dec,5 Mar,1,,
ALS,ordinary,ALQ,I,11.0,-,11.0,10.00,3,-,19.0,-,2 Dec,4 Dec,19 Dec,0,,
ANZ Banking Grp,ordinary,ANZ,F,95.0,-,178.0,100,3,3,73.0,91.0,7 Nov,11 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps2,ANZPA,F,100.29,-,400.78,100,-,-,216.94,102.63,26 Nov,28 Nov,15 Dec,0,,
ANZ Banking Grp,pref share cps3,ANZPC,I,200.35,-,200.35,100,-,-,197.5,-,11 Feb,13 Feb,2 Mar,0,,
ANZ Banking Grp,cap note,ANZPD,I,210.82,-,210.82,100,-,-,237.75,-,18 Feb,20 Feb,2 Mar,0,,
ANZ Banking Grp,cap note 2,ANZPE,I,208.45,-,208.45,100,-,-,-,-,12 Mar,16 Mar,24 Mar,0,,
APA Grp,stapled securities,APA,I,-,17.5,-,-,4,-,17.5,-,22 Dec,24 Dec,18 Mar,1,,
Aristocrat Leisure,ordinary,ALL,F,8.0,-,16.0,-,4,-,7.0,7.5,28 Nov,2 Dec,19 Dec,0,,
Aspen Grp,ord/units stapled,APZ,I,4.5,-,4.5,-,4,-,7.5,-,29 Dec,31 Dec,25 Feb,1,,
Astro Japan Prop Grp,stapled us prohibit.,AJA,I,12.5,-,12.5,-,4,-,10.0,-,29 Dec,31 Dec,27 Feb,1,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.48,-,0.48,107,3,-,1.45,1.45,27 Nov,1 Dec,17 Dec,0,,
Aust Gov Index Fund,ordinary,AQF,I,2.5,-,2.5,100,3,-,3.0,3.0,4 Dec,8 Dec,15 Dec,0,,
AusNet Services,stapled securities,AST,I,4.18,-,4.18,52.63,3,-,-,-,21 Nov,25 Nov,24 Dec,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,I,72.37,-,72.37,100,-,-,235.79,71.2,20 Nov,24 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,273.9,-,273.9,100,-,-,273.62,-,26 Nov,28 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,conv pref share 2,BENPE,I,209.6,-,209.6,100,4,4,-,-,18 May,20 May,1 Jun,0,,
