Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-23T23:15:17+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aditya Birla,ordinary,ABY,F,5.0,-,5.0,-,-,-,-,9.0,5 Jun,12 Jun,26 Jun,0,,
Agricultural Land,ordinary units,AGJ,F,-,3.18,-,-,3,-,0.96,1.49,25 Jun,29 Jun,8 Oct,1,,
ALE Prop Grp,stapled securities,LEP,F,-,8.0,8.0,-,3,-,10.0,9.75,25 Jun,29 Jun,5 Sep,1,,
Aneka Tambang,cdi  1:5,ATM,F,-,-,-,-,-,-,-,3.2811,26 Jun,2 Jul,16 Jul,1,,
ANZ Banking Grp,ordinary,ANZ,I,66.0,-,66.0,100,3,3,64.0,-,10 May,16 May,2 Jul,0,,
ANZ Banking Grp,pref share cps2,ANZPA,Q1,120.9,-,120.9,100,-,-,415.76,133.39,27 Aug,31 Aug,17 Sep,1,,
ANZ Banking Grp,pref share cps1,ANZPB,Q1,110.09,-,110.09,100,-,-,384.22,122.8,27 Aug,31 Aug,17 Sep,1,,
ANZ Banking Grp,pref share cps3,ANZPC,F,270.86,-,501.58,-,-,-,-,-,13 Aug,17 Aug,3 Sep,0,,
APA Grp,stapled securities,APA,F,-,18.0,17.0,-,3,-,16.5,17.9,25 Jun,29 Jun,14 Sep,1,,
Ardent Leisure Grp,stapled securities,AAD,F,-,5.2,6.5,-,3,-,6.5,5.0,25 Jun,29 Jun,31 Aug,0,,
Astro Japan Prop Grp,stapled securities,AJA,F,-,5.0,10.0,-,4,-,-,-,25 Jun,29 Jun,31 Aug,1,,
Aurora Absolute Return,ordinary units,ABW,F,-,2.2,4.43,-,3,-,4.6,2.265,25 Jun,29 Jun,24 Aug,1,,
Aurora Global Inc Tr,ordinary units,AIB,F,-,2.63,5.35,-,3,-,3.0,3.0,25 Jun,29 Jun,24 Aug,1,,
Aurora Prop,ordinary units,AUP,F,-,10.0,20.0,-,3,-,22.0,11.0,25 Jun,29 Jun,14 Sep,1,,
Aurora Sandringham,ordinary units,AOD,F,-,1.5,2.8,480,3,-,3.0,1.5,25 Jun,29 Jun,25 Aug,1,,
Aust Social Infra Fd,units,AZF,F,4.0,-,14.5,-,-,-,3.4,-,25 Jun,29 Jun,20 Jul,1,,
Australand Assets,assets,AAZPB,F,225.26,-,940.93,-,-,-,727.63,241.54,25 Jun,29 Jun,16 Jul,1,,
Australand Prop,stapled security,ALZ,I,10.5,-,10.5,-,4,-,10.5,-,25 Jun,29 Jun,7 Aug,1,,
Aust Education,units,AEU,F,2.65,-,10.0,-,-,-,2.15,-,25 Jun,29 Jun,20 Jul,1,,
Aust Enhanced,units,AYF,F,11.25,-,47.5,41.37,3,-,37.5,12.5,25 Jun,29 Jun,16 Jul,0,,
Aust Infrastructure Fd,units/ordinary,AIX,F,-,5.5,5.0,-,4,-,5.0,5.0,25 Jun,29 Jun,30 Aug,1,,
Bendigo & Adelaide Bk,reset conv pref,BENPA,F,309.68,-,616.84,100,-,-,305.47,310.53,11 Oct,17 Oct,1 Nov,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,Q1,91.81,-,91.81,100,-,-,331.68,104.87,21 Aug,27 Aug,17 Sep,1,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,F,105.0,-,445.0,100,-,-,348.0,116.0,19 Jun,25 Jun,10 Jul,0,,
Brookfield,ordinary unit,BPA,F,-,2.0,-,-,-,-,-,-,25 Jun,29 Jun,31 Jul,1,,
BT Invest Mgt,ordinary,BTT,I,5.5,-,5.5,100,-,-,6.0,-,14 May,18 May,2 Jul,0,,
BWP Trust,ordinary units,BWP,F,-,8.0,6.63,-,3,-,6.18,5.8,25 Jun,29 Jun,29 Aug,0,,
Campbell Brothers,ordinary,CPB,F,130.0,-,225.0,50.00,3,-,65.0,75.0,4 Jun,8 Jun,2 Jul,0,,
Carindale Prop,unit,CDP,F,-,13.9,13.9,-,-,-,13.9,13.9,25 Jun,29 Jun,31 Aug,1,,
Cellnet Grp,ordinary,CLT,I,10.0,-,10.0,100,-,-,1.0,2.5,14 Jun,20 Jun,29 Jun,0,,
