Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-06T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,I,-,0.1088,-,-,4,-,-,-,26 Sep,30 Sep,19 Dec,0,,
ALS,ordinary,ALQ,I,11.0,-,11.0,10.00,3,-,19.0,-,2 Dec,4 Dec,19 Dec,0,,
ANZ Banking Grp,ordinary,ANZ,F,95.0,-,178.0,100,3,3,73.0,91.0,7 Nov,11 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps2,ANZPA,F,100.29,-,400.78,100,-,-,216.94,102.63,26 Nov,28 Nov,15 Dec,0,,
ANZ Banking Grp,pref share cps3,ANZPC,I,200.35,-,200.35,100,-,-,197.5,-,11 Feb,13 Feb,2 Mar,0,,
ANZ Banking Grp,cap note,ANZPD,I,210.82,-,210.82,100,-,-,237.75,-,18 Feb,20 Feb,2 Mar,0,,
ANZ Banking Grp,cap note 2,ANZPE,I,208.45,-,208.45,100,-,-,-,-,12 Mar,16 Mar,24 Mar,0,,
Aristocrat Leisure,ordinary,ALL,F,8.0,-,16.0,-,4,-,7.0,7.5,28 Nov,2 Dec,19 Dec,0,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.48,-,0.48,107,3,-,1.45,1.45,27 Nov,1 Dec,17 Dec,0,,
Aust Gov Index Fund,ordinary,AQF,I,2.5,-,2.5,100,3,-,3.0,3.0,4 Dec,8 Dec,15 Dec,0,,
AusNet Services,stapled securities,AST,I,4.18,-,4.18,52.63,3,-,-,-,21 Nov,25 Nov,24 Dec,0,,
Aust Pharmaceutical,ordinary,API,F,2.0,-,3.5,100,-,-,1.5,1.75,12 Nov,14 Nov,12 Dec,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,I,72.37,-,72.37,100,-,-,235.79,71.2,20 Nov,24 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,273.9,-,273.9,100,-,-,273.62,-,26 Nov,28 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,conv pref share 2,BENPE,I,209.6,-,209.6,100,4,4,-,-,18 May,20 May,1 Jun,0,,
BetaShares DivHarv,etf units,HVST,I,23.5001,-,23.5001,-,3,-,-,-,1 Dec,3 Dec,19 Dec,0,,
BetaShares HighIntCash,etf units,AAA,I,12.069,-,12.069,-,3,-,14.7075,-,1 Dec,3 Dec,16 Dec,0,,
BT Invest Mgt,ordinary,BTT,F,19.0,-,35.0,35.00,3,-,8.0,10.0,3 Dec,5 Dec,19 Dec,0,,
Cape Lambert Res,ordinary,CFE,I,2.0,-,2.0,100,-,-,-,-,28 Jan,30 Jan,27 Feb,0,,
Challenger,cn cap note,CGFPA,I,179.0,-,179.0,-,-,-,-,-,13 Feb,17 Feb,25 Feb,0,,
Collins Foods,ordinary,CKF,I,5.0,-,5.0,100,-,-,-,5.5,4 Dec,8 Dec,22 Dec,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,I,112.51,-,112.51,100,-,-,357.47,111.34,3 Dec,5 Dec,15 Dec,0,,
C'wlth Bank  of Aust,perp.exc.perls vii,CBAPD,I,79.08,-,79.08,100,-,-,-,-,3 Dec,5 Dec,15 Dec,0,,
Countplus,ordinary,CUP,I,2.0,-,2.0,-,-,-,9.0,3.0,21 Jan,23 Jan,16 Feb,0,,
CSR,ordinary,CSR,I,8.5,-,8.5,-,3,-,5.0,-,13 Nov,17 Nov,16 Dec,0,,
DuluxGroup,ordinary,DLX,F,10.5,-,20.5,100,3,-,8.0,9.5,25 Nov,27 Nov,17 Dec,0,,
Ethane Pipeline,stapled securities,EPX,I,3.25,-,3.25,77.10,-,-,10.29,3.29,29 Dec,31 Dec,15 Jan,0,,
Federation Cntres,ord/unit stapled sec,FDC,I,8.4,-,8.4,-,-,-,7.5,-,29 Dec,31 Dec,25 Feb,1,,
Fisher & Paykel Health,ordinary,FPH,I,5.2665,-,5.2665,-,3,-,4.9075,-,3 Dec,5 Dec,19 Dec,0,,
Gentrack Grp,ordinary,GTK,F,3.3213,-,3.3213,40.00,-,-,-,-,9 Dec,11 Dec,19 Dec,0,,
GrainCorp,a class ordinary,GNC,F,5.0,-,20.0,100,-,-,25.0,20.0,28 Nov,2 Dec,16 Dec,0,,
Harvey Norman,ordinary,HVN,I,14.0,-,14.0,100,-,-,-,4.5,10 Dec,12 Dec,30 Dec,0,,
Incitec Pivot,ordinary,IPL,F,7.3,-,10.8,10.00,3,-,3.4,5.8,20 Nov,24 Nov,16 Dec,0,,
Infratil,ordinary,IFZ,I,17.9985,-,17.9985,-,4,-,3.3266,-,26 Nov,28 Nov,15 Dec,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,232.23,-,232.23,100,-,-,229.62,-,21 Apr,23 Apr,1 May,0,,
Ironbark Capital,ordinary,IBC,I,2.0,-,2.0,100,4,-,1.25,-,15 Dec,17 Dec,30 Dec,0,,
James Hardie Ind,chess depositary int,JHX,I,9.1733,-,9.1733,-,-,-,9.0448,-,19 Dec,23 Dec,27 Feb,0,,
Macquarie Bank,cnv cap note,MBLPA,I,236.3,-,236.3,40.00,-,-,-,-,12 Mar,16 Mar,24 Mar,0,,
Macquarie Grp,ordinary,MQG,I,130.0,-,130.0,40.00,3,-,100.0,-,12 Nov,14 Nov,16 Dec,0,,
Macquarie Grp,non-cum capital note,MQGPA,I,284.26,-,284.26,40.00,4,-,291.63,-,26 Nov,28 Nov,8 Dec,0,,
Metals X,ordinary,MLX,F,0.6785,-,0.6785,100,3,-,-,-,12 Dec,16 Dec,7 Jan,0,,
Metcash,ordinary,MTS,I,6.5,-,6.5,100,3,-,9.5,-,4 Dec,8 Dec,9 Jan,1,,
Mighty River Power,ordinary,MYT,I,4.6066,-,4.6066,-,-,-,-,6.2386,18 Nov,20 Nov,11 Dec,0,,
Market Vectors Banks,etf units,MVB,I,-,57.4,-,-,3,-,-,-,3 Dec,5 Dec,15 Dec,1,,
National Aust Bank,ordinary,NAB,F,99.0,-,198.0,100,3,3,93.0,97.0,7 Nov,11 Nov,16 Dec,0,,
National Aust Bank,pref share,NABPA,I,102.3,-,102.3,100,-,-,216.1,100.38,3 Dec,5 Dec,22 Dec,0,,
National Aust Bank,cps ii,NABPB,F,102.76,-,412.46,100,-,-,-,-,28 Nov,2 Dec,17 Dec,0,,
Orica,ordinary,ORI,F,56.0,-,96.0,35.71,3,-,39.0,55.0,1 Dec,3 Dec,19 Dec,0,,
OzForex Grp,ordinary,OFX,I,3.5,-,3.5,100,-,-,-,-,3 Dec,5 Dec,19 Dec,0,,
Programmed Maint,ordinary,PRG,I,6.5,-,6.5,100,4,-,6.0,-,6 Jan,8 Jan,22 Jan,0,,
ResMed Inc,cdi  10:1,RMD,I,2.7625,-,2.7625,-,-,-,2.2532,-,18 Nov,20 Nov,18 Dec,0,,
Rural Funds Grp,stapled,RFF,I,2.1475,-,2.1475,-,3,-,-,-,24 Dec,30 Dec,15 Jan,1,,
Ruralco Hldgs,ordinary,RHL,F,8.0,-,16.0,100,3,-,10.0,10.0,15 Dec,17 Dec,14 Jan,0,,
Sietel,5.0% cum.preference,SSLPA,I,280.0,-,280.0,-,-,-,-,-,5 Dec,9 Dec,7 Jan,1,,
Singapore Tel,chess depositary int,SGT,I,6.0671,-,6.0671,-,-,-,6.0644,-,19 Dec,23 Dec,14 Jan,0,,
Soul Pattinson WH,ordinary,SOL,F,29.0,-,48.0,100,-,-,18.0,-,13 Nov,17 Nov,8 Dec,0,,
Suncorp Grp,conv pref share cps2,SUNPC,I,127.2,-,127.2,100,-,-,400.38,126.12,8 Dec,10 Dec,17 Dec,0,,
Suncorp Grp,sub.note 22-nov-23,SUNPD,I,138.99,-,138.99,-,-,-,280.22,139.97,11 Feb,13 Feb,23 Feb,0,,
Suncorp Grp,conv pref cps3,SUNPE,I,105.38,-,105.38,100,-,-,-,-,1 Dec,3 Dec,17 Dec,0,,
Technology One,ordinary,TNE,F,6.21,-,8.16,100,-,-,1.77,3.83,1 Dec,3 Dec,17 Dec,0,,
Thorn Grp,ordinary,TGA,I,5.0,-,5.0,100,3,-,4.5,-,6 Jan,8 Jan,22 Jan,0,,
