Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-12T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop,units/ord stapled,ABP,I,8.25,-,8.25,-,3,-,0.75,1.5,14 Jan,20 Jan,25 Feb,0,,
Academies A'asia,ordinary,AKG,I,2.0,-,2.0,100,-,-,-,-,9 Feb,15 Feb,3 Mar,1,,
Advanced Share Reg,ordinary,ASW,I,1.85,-,1.85,100,-,-,1.75,-,8 Feb,14 Feb,17 Feb,0,,
Agricultural Land,ordinary units,AGJ,I,-,0.96,-,-,3,-,1.1,-,23 Dec,31 Dec,28 Mar,0,,
Alcoa Inc,chess depositary int,AAI,Q3,2.5592,-,8.0918,-,-,-,8.8231,2.7927,31 Jan,4 Feb,25 Feb,0,,
ALE Prop Grp,stapled securities,LEP,I,-,10.0,-,-,3,-,12.0,-,23 Dec,31 Dec,28 Feb,0,,
Alesco Corp,ordinary,ALS,I,1.5,-,1.5,100,4,-,7.0,-,14 Feb,18 Feb,4 Mar,0,,
Alumina,ordinary,AWC,F,3.9475,-,6.1799,100,4,-,-,2.0,15 Feb,21 Feb,18 Mar,1,,
AMP Capital China,ordinary units,AGF,F,-,3.0,-,-,3,-,-,8.477,23 Dec,31 Dec,30 Apr,0,,
Ansell,ordinary,ANN,I,14.0,-,14.0,-,-,-,13.0,-,17 Feb,23 Feb,16 Mar,1,,
ANZ Banking Grp,pref share,ANZPA,Q3,141.62,-,421.75,100,-,-,121.09,132.86,21 Feb,25 Feb,15 Mar,0,,
ANZ Banking Grp,pref share,ANZPB,Q3,131.26,-,390.33,100,-,-,322.69,122.27,21 Feb,25 Feb,15 Mar,0,,
APA Grp,stapled securities,APA,I,-,16.5,-,-,3,-,15.75,-,23 Dec,31 Dec,17 Mar,0,,
Aquarius Platinum,ordinary,AQP,I,-,-,-,-,-,-,2.2683,-,28 Feb,4 Mar,25 Mar,1,,
Ardent Leisure Grp,stapled securities,AAD,I,-,6.5,-,-,3,-,6.5,-,23 Dec,31 Dec,28 Feb,0,,
Argo Invest,ordinary,ARG,I,13.0,-,13.0,100,3,-,12.0,-,15 Feb,21 Feb,7 Mar,1,,
Aspen Grp,ord/units stapled,APZ,I,1.05,-,2.1,-,3,-,3.15,1.05,23 Dec,31 Dec,17 Feb,0,,
Astro Japan Prop Tr,stapled securities,AJA,I,-,2.25,-,-,4,-,3.5,-,23 Dec,31 Dec,25 Feb,0,,
Aurora Global Inc Tr,ordinary units,AIB,I,3.0,-,5.5,-,3,-,21.0,2.5,23 Dec,31 Dec,25 Feb,0,,
Aurora Prop,ordinary units,AUP,I,11.0,-,22.0,-,3,-,11.0,11.0,23 Dec,31 Dec,25 Feb,0,,
Aurora SAE,ordinary units,ABW,I,2.3,-,4.8,-,3,-,2.5,2.5,23 Dec,31 Dec,16 Feb,0,,
Aurora Sandringham,ordinary units,AOD,I,1.5,-,3.0,-,3,-,3.0,1.6,23 Dec,31 Dec,14 Feb,0,,
Austereo Grp,ordinary,AEO,I,5.0,-,5.0,100,-,-,4.0,-,21 Feb,25 Feb,15 Mar,1,,
Aust Foundation,ordinary,AFI,I,8.0,-,8.0,100,3,-,8.0,-,4 Feb,10 Feb,25 Feb,0,,
Aust Infrastructure Fd,units/ordinary,AIX,I,-,5.0,-,-,4,-,5.0,-,23 Dec,31 Dec,25 Feb,0,,
AVJennings,ordinary,AVJ,I,1.0,-,1.0,100,4,-,-,-,29 Mar,4 Apr,18 Apr,1,,
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,6 Apr,12 Apr,2 May,0,,
Bendigo & Adelaide,reset preference,BENPB,Q3,114.0,-,337.98,100,-,-,270.32,104.63,15 Feb,21 Feb,15 Mar,0,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q3,116.0,-,348.0,100,-,-,286.0,110.0,21 Mar,25 Mar,11 Apr,0,,
BKI Invest,ordinary,BKI,I,3.0,-,3.0,100,3,-,3.0,-,15 Feb,21 Feb,7 Mar,0,,
Boral,ordinary,BLD,I,7.5,-,7.5,100,3,-,7.0,-,18 Feb,24 Feb,24 Mar,1,,
Bradken,ordinary,BKN,I,18.5,-,18.5,100,3,-,13.0,-,14 Feb,18 Feb,21 Mar,1,,
Brisbane Broncos,ordinary,BBL,F,0.5,-,0.5,100,-,-,-,0.5,21 Mar,25 Mar,15 Apr,1,,
Bunnings W'house,ordinary units,BWP,I,6.18,-,6.18,-,3,-,6.1,-,23 Dec,31 Dec,25 Feb,0,,
Carindale Prop,unit,CDP,I,-,13.89,-,-,-,-,13.61,-,23 Dec,31 Dec,28 Feb,0,,
Cellnet Grp,ordinary,CLT,I,1.0,-,1.0,100,4,-,-,-,21 Feb,25 Feb,11 Mar,1,,
CFS Retail Prop,units,CFX,I,-,6.3,-,-,3,-,6.2,-,23 Dec,31 Dec,24 Feb,0,,
Challenger Div Pro,stapled units,CDI,I,2.0,-,2.0,-,4,-,-,-,23 Dec,31 Dec,28 Feb,0,,
Challenger Infra,stapled units,CIF,I,-,7.0,-,-,-,-,7.0,-,23 Dec,31 Dec,28 Feb,0,,
Chandler Macleod,ordinary,CMG,I,0.8,-,0.8,100,-,-,0.35,-,25 Mar,31 Mar,14 Apr,1,,
Charter Hall Grp,stapled us prohibit.,CHC,I,8.0,-,8.0,-,4,-,1.6,-,23 Dec,31 Dec,28 Feb,0,,
Charter Hall Off REIT,unit,CQO,I,9.25,-,9.25,-,4,-,-,-,23 Dec,31 Dec,23 Feb,0,,
Charter Hall Ret REIT,units,CQR,I,12.0,-,12.0,-,4,-,-,-,23 Dec,31 Dec,22 Feb,0,,
Coal & Allied Ind,ordinary,CNA,F,138.0,-,588.0,100,-,-,160.0,350.0,25 Feb,3 Mar,18 Mar,0,,
Cochlear,ordinary,COH,I,105.0,-,105.0,60.00,-,-,95.0,-,21 Feb,25 Feb,15 Mar,1,,
Codan,ordinary,CDA,I,4.0,-,4.0,100,-,-,3.5,-,11 Mar,18 Mar,1 Apr,1,,
Colorpak,ordinary,CKL,I,1.5,-,1.5,100,4,-,1.5,-,28 Feb,4 Mar,4 Apr,0,,
C'wlth Bank  of Aust,ordinary,CBA,I,132.0,-,132.0,100,3,-,120.0,-,14 Feb,18 Feb,1 Apr,1,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,F,290.4,-,1149.86,100,-,-,306.57,256.97,15 Apr,21 Apr,2 May,0,,
C'wlth Bank  of Aust,perp.exc.(perls iv),CBAPB,F,208.38,-,819.07,100,-,-,471.63,177.65,15 Apr,21 Apr,2 May,0,,
C'wlth Prop Office,ordinary units,CPA,I,-,2.75,-,-,-,-,2.65,-,23 Dec,31 Dec,24 Feb,0,,
Computershare,ordinary,CPU,I,14.0,-,14.0,60.00,-,-,14.0,-,15 Feb,21 Feb,15 Mar,1,,
ConnectEast,stapled,CEU,I,1.0,-,1.0,-,-,-,1.0,-,23 Dec,31 Dec,25 Feb,0,,
Crane Grp,ordinary,CRG,,50.0,-,122.0,-,-,-,18.0,-,10 Feb,16 Feb,7 Mar,0,,
Cromwell Grp,stapled securities,CMW,I,1.75,-,3.5,-,3,-,6.0,2.0,23 Dec,31 Dec,16 Feb,0,,
DEXUS Prop Grp,stapled units,DXS,I,2.59,-,2.59,-,4,-,2.65,-,23 Dec,31 Dec,25 Feb,0,,
Djerriwarrh Invest,ordinary,DJW,I,10.0,-,10.0,100,3,-,10.0,-,28 Jan,3 Feb,18 Feb,0,,
DUET Grp,stapled us prohibit.,DUE,I,10.0,-,10.0,-,3,-,10.0,-,23 Dec,31 Dec,15 Feb,0,,
Eldorado Gold,cdi 1:1,EAU,F,4.256,-,4.256,-,-,-,-,-,7 Feb,11 Feb,28 Feb,0,,
Essa Aust,ordinary,ESS,I,12.0,-,12.0,100,-,-,-,-,10 Feb,16 Feb,28 Feb,1,,
FKP Prop Grp,stapled securities,FKP,I,-,1.4,-,-,3,-,0.5,-,23 Dec,31 Dec,31 Mar,0,,
FlexiGroup,ordinary,FXL,I,5.0,-,5.0,100,4,-,3.0,-,9 Mar,16 Mar,15 Apr,1,,
GUD Hldgs,ordinary,GUD,I,29.0,-,29.0,100,3,-,28.0,-,17 Feb,23 Feb,9 Mar,0,,
Goodman Grp,stapled us prohibit.,GMG,I,-,1.5,-,-,4,-,1.5,-,23 Dec,31 Dec,28 Feb,0,,
Growthpoint Prop,ord/unit stapled sec,GOZ,I,-,8.4,-,-,4,-,-,5.5,23 Dec,31 Dec,28 Feb,0,,
Growthpoint Prop,new,GOZNA,I,-,4.5,-,-,-,-,-,-,23 Dec,31 Dec,28 Feb,0,,
Infigen Energy,stapled securities,IFN,I,-,1.0,-,-,3,-,-,4.5,23 Dec,31 Dec,17 Mar,0,,
ING Industrial Fd,units,IIF,I,0.8025,-,1.605,-,4,-,0.8025,0.8025,23 Dec,31 Dec,28 Feb,0,,
ING Office Fd,stapled securities,IOF,I,0.975,-,1.95,-,4,-,2.925,0.975,23 Dec,31 Dec,28 Feb,0,,
ING Real Est Hlth,units,IHF,I,3.825,-,3.825,-,3,-,3.825,-,23 Dec,31 Dec,28 Feb,0,,
JB Hi-Fi,ordinary,JBH,I,48.0,-,48.0,100,-,-,33.0,-,11 Feb,17 Feb,4 Mar,1,,
K2 Asset Mgt,ordinary,KAM,I,6.0,-,6.0,80.00,-,-,-,-,10 Feb,16 Feb,23 Feb,1,,
Katana Capital,ordinary,KAT,Q3,1.0,-,2.0,100,3,-,1.5,-,1 Feb,7 Feb,28 Feb,0,,
Korvest,ordinary,KOV,I,11.0,-,11.0,100,4,-,17.0,-,21 Feb,25 Feb,11 Mar,0,,
Legend Corp,ordinary,LGD,I,0.8,-,0.8,100,4,-,-,-,21 Mar,25 Mar,29 Apr,1,,
MAp Grp,stapled us prohibit.,MAP,F,10.0,-,22.5,-,4,-,13.0,8.0,23 Dec,31 Dec,17 Feb,0,,
Navitas,ordinary,NVT,I,8.7,-,8.7,100,-,-,8.1,-,8 Feb,14 Feb,28 Feb,0,,
NetComm,ordinary,NTC,I,0.5,-,0.5,100,3,-,1.0,-,17 Dec,23 Dec,15 Apr,0,,
Newcrest Min,ordinary,NCM,I,10.0,-,10.0,-,3,-,5.0,-,21 Mar,25 Mar,15 Apr,1,,
News Corp,b voting cdi,NWS,I,-,-,-,-,-,-,6.9634,-,9 Mar,16 Mar,20 Apr,0,,
News Corp,a non-voting cdi,NWSLV,I,-,-,-,-,-,-,6.9634,-,9 Mar,16 Mar,20 Apr,0,,
Nick Scali,ordinary,NCK,I,4.5,-,4.5,100,-,-,4.5,-,3 Mar,9 Mar,30 Mar,1,,
Oakton,ordinary,OKN,I,3.5,-,3.5,100,-,-,2.5,-,11 Mar,18 Mar,31 Mar,1,,
Orica,step up preference,ORIPB,I,329.0,-,329.0,-,-,-,288.0,-,10 May,16 May,31 May,0,,
OZ Minerals,ordinary,OZL,F,4.0,-,7.0,-,4,-,-,-,17 Feb,23 Feb,9 Mar,1,,
Ozgrowth,ordinary,OZG,I,0.5,-,0.5,100,-,-,0.3,-,25 Jan,1 Feb,15 Feb,0,,
Preferred Capital,perls iii,PCAPA,Q3,-,-,414.63,-,-,-,487.82,192.61,24 Mar,30 Mar,6 Apr,0,,
Premium Investors,ordinary,PRV,I,3.5,-,3.5,100,3,-,1.5,-,24 Feb,2 Mar,30 Mar,1,,
Reckon,ordinary,RKN,F,4.5,-,8.0,90.00,-,-,3.0,4.0,14 Feb,18 Feb,4 Mar,1,,
Reef Casino Tr,units,RCT,F,-,11.0,-,-,-,-,11.0,13.0,23 Dec,31 Dec,24 Mar,0,,
Ridley Corp,ordinary,RIC,I,3.75,-,3.75,-,4,-,3.5,-,7 Mar,11 Mar,31 Mar,1,,
Rio Tinto,ordinary,RIO,F,61.94,-,111.21,100,3,-,-,51.56,2 Mar,8 Mar,31 Mar,1,,
Royalco Res,ordinary,RCO,I,2.0,-,2.0,100,-,-,-,-,15 Feb,21 Feb,25 Feb,0,,
Spark Infrastructure,stapled note & unit,SKI,F,-,-,6.72,-,-,-,6.72,6.84,2 Mar,8 Mar,15 Mar,0,,
SPDR Prop Fd,etf units,SLF,Q3,11.8254,-,32.553,-,-,-,28.7526,22.1381,5 Jan,11 Jan,8 Mar,0,,
Stockland,units/ord stapled,SGP,I,11.8,-,11.8,-,4,-,10.8,-,23 Dec,31 Dec,28 Feb,0,,
STW Comms,ordinary,SGN,F,4.2,-,6.5,100,4,-,1.5,2.0,4 Apr,8 Apr,21 Apr,1,,
Suncorp Grp,pref shares,SUNPB,Q3,143.43,-,424.91,100,-,-,359.66,134.62,28 Feb,4 Mar,14 Mar,0,,
Suncorp-Metway,pref shares,SBKPB,Q3,143.43,-,143.43,100,-,-,-,-,28 Feb,4 Mar,14 Mar,0,,
Supply Net,ordinary,SNL,I,2.0,-,2.0,100,3,-,1.0,-,10 Mar,17 Mar,31 Mar,0,,
Tabcorp Hldgs,ordinary,TAH,I,24.0,-,24.0,100,3,-,30.0,-,8 Feb,14 Feb,21 Mar,0,,
