Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-23T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Alcoa Inc,chess depositary int,AAI,I,2.6893,-,2.6893,-,-,-,7.3776,2.4607,1 Nov,8 Nov,25 Nov,0,,
AMCB Fund No 5,ordinary,AKY,I,95.0,-,200.0,100,-,-,89.0,-,8 Nov,14 Nov,25 Nov,0,,
Aust Master Fund No 4,ordinary,AYK,I,90.0,-,90.0,100,-,-,-,-,8 Nov,14 Nov,25 Nov,0,,
Aust Masters YF1,ordinary,AYD,I,95.0,-,195.0,100,-,-,-,100.0,8 Nov,14 Nov,25 Nov,0,,
Aust Master Fund No 3,ordinary,AYJ,I,115.0,-,115.0,100,-,-,-,-,8 Nov,14 Nov,25 Nov,0,,
Aust Masters YF2,ordinary,AYH,I,95.0,-,95.0,100,-,-,115.0,105.0,8 Nov,14 Nov,25 Nov,0,,
ANZ Banking Grp,ordinary,ANZ,F,91.0,-,164.0,100,3,3,66.0,79.0,7 Nov,13 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps2,ANZPA,I,99.13,-,201.76,100,-,-,341.25,112.3,25 Nov,29 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps1,ANZPB,I,88.66,-,180.82,100,-,-,309.84,101.48,25 Nov,29 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps3,ANZPC,I,197.5,-,197.5,100,-,-,227.2,-,10 Feb,14 Feb,3 Mar,0,,
ANZ Banking Grp,cap note,ANZPD,I,237.75,-,237.75,100,-,-,-,-,17 Feb,21 Feb,3 Mar,0,,
Asian American Med,ordinary,AJJ,F,0.1,-,0.2,-,-,-,0.1,0.3,5 Dec,11 Dec,20 Dec,0,,
Asian Masters Fund,ordinary,AUF,I,1.0,-,1.0,-,3,-,1.0,-,21 Nov,27 Nov,2 Dec,1,,
Aust Pharmaceutical,ordinary,API,F,1.75,-,3.25,100,-,-,1.5,1.5,11 Nov,15 Nov,13 Dec,0,,
