Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-06-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
ALS,ordinary,ALQ,F,27.0,-,48.0,50.00,3,-,-,-,7 Jun,14 Jun,2 Jul,1,,
Aneka Tambang,cdi  1:5,ATM,F,2.1142,-,2.1142,-,-,-,-,4.0591,28 May,3 Jun,18 Jun,0,,
Anglogold Ashanti,cdi  5:1,AGG,F,0.9129,-,4.7048,-,-,-,7.1373,2.0827,27 May,31 May,14 Jun,0,,
ANZ Banking Grp,ordinary,ANZ,I,73.0,-,73.0,100,3,3,66.0,-,9 May,15 May,1 Jul,0,,
ANZ Banking Grp,pref share cps2,ANZPA,F,112.3,-,453.55,100,-,-,415.76,133.39,24 May,30 May,17 Jun,0,,
ANZ Banking Grp,pref share cps1,ANZPB,F,101.48,-,411.32,100,-,-,384.22,122.8,24 May,30 May,17 Jun,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,214.3,-,441.5,100,-,-,230.72,270.86,12 Aug,16 Aug,2 Sep,0,,
Aristocrat Leisure,ordinary,ALL,I,7.0,-,7.0,-,3,-,2.5,4.0,3 Jun,7 Jun,28 Jun,1,,
Aust Gov Index Fund,ordinary,AQF,I,3.0,-,3.0,100,3,-,6.0,-,24 May,30 May,20 Jun,0,,
Aust Pharmaceutical,ordinary,API,I,1.5,-,1.5,100,-,-,1.5,-,6 May,10 May,7 Jun,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,F,83.45,-,340.43,100,-,-,331.68,104.87,20 May,24 May,17 Jun,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,F,85.0,-,349.0,100,-,-,340.0,105.0,19 Jun,25 Jun,10 Jul,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,F,282.72,-,348.21,100,-,-,-,-,22 May,28 May,13 Jun,0,,
BetaSharesHighIntCash,etf units,AAA,I,-,15.7862,-,-,-,-,18.5338,-,3 Jun,7 Jun,19 Jun,1,,
BT Invest Mgt,ordinary,BTT,I,8.0,-,8.0,100,3,-,5.5,-,13 May,17 May,2 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q1,222.67,-,222.67,100,-,-,739.98,216.77,18 Jul,24 Jul,31 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,F,122.26,-,320.06,100,-,-,-,-,3 Jun,7 Jun,17 Jun,0,,
Countplus,ordinary,CUP,Q1,3.0,-,3.0,100,-,-,9.0,3.0,22 Jul,26 Jul,15 Aug,0,,
CSR,ordinary,CSR,F,2.1,-,5.1,-,3,-,6.0,7.0,6 Jun,13 Jun,9 Jul,0,,
DuluxGroup,ordinary,DLX,I,8.0,-,8.0,100,3,-,7.5,-,20 May,24 May,14 Jun,0,,
E & A,ordinary,EAL,I,2.5,-,2.5,100,3,-,2.0,-,28 May,3 Jun,14 Jun,0,,
Federation Cntres,ord/unit stapled sec,FDC,F,7.5,-,7.5,-,-,-,-,-,24 Jun,28 Jun,28 Aug,1,,
Fisher & Paykel Health,ordinary,FPH,F,-,-,4.2617,-,3,-,4.1253,5.495,17 Jun,21 Jun,5 Jul,0,,
