Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 17/7/2010|. Processed 12:51 Sunday 18/7/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop Grp,units/ord stapled,ABP,F,1.65,-,3.15,-,3,-,3.5,0.75,7/7/10,13/7/10,11/8/10,,,,,,,,,
Aberdeen Leaders,ordinary,ALR,F,3.75,-,9.5,100,3,-,3.75,3.25,29/6/10,5/7/10,30/7/10,,,,,,,,,
Adelaide Managed,units,AYT,F,-,4,-,-,-,-,-,4.574,24/6/10,30/6/10,14/8/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,F,-,0.847,1.1,-,3,-,-,1.027,24/6/10,30/6/10,27/9/10,,,,,,,,,
Aii200financials,etf units,FIN,F,-,0.6179,-,-,-,-,-,-,1/7/10,6/7/10,21/7/10,,,,,,,,,
Aii200industrials,etf units,IDD,F,-,1.6652,-,-,-,-,-,-,1/7/10,6/7/10,21/7/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,F,-,12,12,-,3,-,-,15,24/6/10,30/6/10,31/8/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,Q1,141.3,-,141.3,100,-,-,121.09,132.86,25/8/10,31/8/10,15/9/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q1,130.71,-,130.71,100,-,-,322.69,122.27,25/8/10,31/8/10,15/9/10,,,,,,,,,
APA Grp,stapled securities,APA,F,-,17,15.75,-,3,-,-,16,24/6/10,30/6/10,15/9/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,F,-,4.25,6.5,-,3,-,-,-,24/6/10,30/6/10,26/8/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,F,1.05,-,4.2,-,3,-,2.04,-,24/6/10,30/6/10,25/8/10,,,,,,,,,
Astro Jap Prop Grp,stapled securities,AJA,F,-,3.5,3.5,-,-,-,-,5,24/6/10,30/6/10,30/8/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,F,2.5,-,7.5,-,3,-,-,33,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,F,11,-,52,-,3,-,-,25,24/6/10,30/6/10,17/9/10,,,,,,,,,
Aurora Sand Au Tr,ordinary units,ABW,F,-,2.5,7,-,3,-,-,16,24/6/10,30/6/10,25/8/10,,,,,,,,,
Aurora Sandringham,ordinary units,AOD,F,1.6,-,4.6,16.04,3,-,-,1,24/6/10,30/6/10,25/8/10,,,,,,,,,
Australand Prop,stapled security,ALZ,I,10,-,10,-,4,-,-,3,24/6/10,30/6/10,5/8/10,,,,,,,,,
Aust Infrastr,units/ordinary,AIX,F,-,5,5,-,4,-,-,5,24/6/10,30/6/10,30/8/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,F,310.53,-,616,100,-,-,305.47,310.53,11/10/10,15/10/10,1/11/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q1,113.07,-,113.07,100,-,-,270.32,104.63,19/8/10,25/8/10,15/9/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q1,116,-,116,100,-,-,286,110,20/9/10,24/9/10,11/10/10,,,,,,,,,
BT Invest Mngmnt,ordinary,BTT,I,12.5,-,12.5,100,-,-,3,-,28/7/10,4/8/10,26/8/10,,,,,,,,,
Bunnings Warehouse,ordinary units,BWP,F,-,5.98,6.1,-,3,-,-,4.87,24/6/10,30/6/10,27/8/10,,,,,,,,,
Canada Land Ltd,chess depositary int,CDL,F,-,-,0.08,-,-,-,-,0.29,16/8/10,20/8/10,10/9/10,,,,,,,,,
Careers Multilist,ordinary,CGR,F,0.5,-,0.5,100,-,-,-,-,9/8/10,13/8/10,1/9/10,,,,,,,,,
Carindale Prop,unit,CDP,F,-,14,13.61,-,-,-,-,13.6,24/6/10,30/6/10,31/8/10,,,,,,,,,
CFS Retail Prop,units,CFX,F,-,6.3,6.2,-,3,-,-,6.3,24/6/10,30/6/10,26/8/10,,,,,,,,,
Challenger Div Pro,stapled units,CDI,F,-,2.15,-,-,4,-,-,3,24/6/10,30/6/10,30/8/10,,,,,,,,,
Challenger Infrast,stapled units,CIF,F,-,7,7,-,-,-,-,8,24/6/10,30/6/10,30/8/10,,,,,,,,,
Challenger Winetr,ordinary units,CWT,F,-,1,3.25,-,4,-,1.2,1.2,24/6/10,30/6/10,30/8/10,,,,,,,,,
Charter Hall Grp,stapled us prohibit.,CHC,F,1.6,-,3.2,-,3,-,-,1,24/6/10,30/6/10,27/8/10,,,,,,,,,
Charter Hall Office,unit,CQO,F,-,0.85,-,-,3,-,-,-,24/6/10,30/6/10,20/8/10,,,,,,,,,
Charter Hall Retail,units,CQR,F,-,2.3,-,-,3,-,-,-,24/6/10,30/6/10,20/8/10,,,,,,,,,
Clime Capital,ordinary,CAM,Q1,1,-,1,100,3,-,2,1,5/7/10,9/7/10,27/7/10,,,,,,,,,
Clime Capital,7.5% non-cum. pref,CAMPA,Q1,4.75,-,4.75,100,-,-,13.5,4.5,5/7/10,9/7/10,26/7/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls v),CBAPA,Q1,292.6,-,292.6,100,-,-,306.57,256.97,21/7/10,27/7/10,3/8/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls iv),CBAPB,Q1,206.97,-,206.97,100,-,-,471.63,177.65,21/7/10,27/7/10,3/8/10,,,,,,,,,
Commonwealth Prop,ordinary units,CPA,F,-,2.9,2.65,-,-,-,-,4.2,24/6/10,30/6/10,26/8/10,,,,,,,,,
Credit Suisse Pl100,ord/units fully paid,CSW,F,1.2052,-,1.4275,-,-,-,-,-,24/6/10,30/6/10,19/7/10,,,,,,,,,
Cromwell Grp,stapled securities,CMW,F,2,-,8,-,-,-,2.5,1.5,24/6/10,30/6/10,31/8/10,,,,,,,,,
CS Gp100 Aust Tr,ordinary units,CSJ,F,0.4053,-,2.3733,42.56,-,-,-,-,24/6/10,30/6/10,19/7/10,,,,,,,,,
Cs100 Emrg Mkt Infra,units fully paid,CSU,F,0.6919,-,1.3264,-,-,-,-,-,24/6/10,30/6/10,19/7/10,,,,,,,,,
Dexus Prop Grp,stapled units,DXS,F,2.45,-,5.1,-,3,-,-,3.5,24/6/10,30/6/10,27/8/10,,,,,,,,,
Duet Grp,stapled us prohibit.,DUE,F,10,-,20,-,3,-,-,10,24/6/10,30/6/10,13/8/10,,,,,,,,,
Euroz Ltd,ordinary,EZL,F,10,-,12,100,-,-,-,6.5,19/7/10,23/7/10,30/7/10,,,,,,,,,
FFI Hldgs,ordinary,FFI,I,50,-,50,100,3,-,-,-,9/8/10,13/8/10,27/8/10,,,,,,,,,
Finbar Grp Ltd,ordinary,FRI,F,5.5,-,7.5,100,3,-,-,5,6/8/10,12/8/10,20/9/10,,,,,,,,,
FKP Prop Grp,stapled securities,FKP,F,-,1,0.5,-,3,-,-,1.45,24/6/10,30/6/10,30/9/10,,,,,,,,,
Goodman Grp,stapled us prohibit.,GMG,F,-,1.9,1.5,-,4,-,-,-,24/6/10,30/6/10,26/8/10,,,,,,,,,
Growthpoint Prop,ord/unit stapled sec,GOZ,F,-,8.5,5.5,-,4,-,-,-,24/6/10,30/6/10,31/8/10,,,,,,,,,
Hastings Diversified,stapled security,HDF,F,3,-,12,-,3,-,10,3,24/6/10,30/6/10,28/7/10,,,,,,,,,
Hastings High Yield,ordinary units,HHY,F,3.7,-,14.6,-,3,-,4.6,4.1,24/6/10,30/6/10,27/8/10,,,,,,,,,
Hire Intelligence,ordinary,HII,F,0.4,-,0.4,100,-,-,-,1,4/8/10,10/8/10,6/9/10,,,,,,,,,
Infigen Energy,stapled securities,IFN,F,-,2,-,-,3,-,-,4.5,24/6/10,30/6/10,16/9/10,,,,,,,,,
ING Industrial Fund,units,IIF,F,0.8025,-,1.605,-,4,-,-,-,24/6/10,30/6/10,31/8/10,,,,,,,,,
ING Office Fund,stapled securities,IOF,F,0.975,-,2.925,-,4,-,2.125,2.125,24/6/10,30/6/10,31/8/10,,,,,,,,,
ING Real Estate,units,IHF,F,3.825,-,7.65,-,3,-,-,4.35,24/6/10,30/6/10,31/8/10,,,,,,,,,
Intoll Grp,stapled securities,ITO,F,1,-,1,-,4,-,-,-,24/6/10,30/6/10,13/8/10,,,,,,,,,
iShares Russell 2000,cdi 1:1,IRU,Q1,20.489,-,20.489,-,-,-,56.0211,15.7153,5/7/10,8/7/10,26/7/10,,,,,,,,,
Jindalee Res,ordinary,JRL,I,55,-,55,100,-,-,-,-,9/7/10,15/7/10,23/7/10,,,,,,,,,
Linq Res Fund,units,LRF,F,-,3,-,-,3,-,-,1,24/6/10,30/6/10,30/8/10,,,,,,,,,
MacarthurCook Ind Pr,ordinary units,MIF,F,0.5,-,1.8,-,4,-,-,1.8125,24/6/10,30/6/10,22/7/10,,,,,,,,,
Macq Winton,ordinary units,MWG,F,-,0.98,-,-,-,-,-,-,24/6/10,30/6/10,30/7/10,,,,,,,,,
MAP Grp,stapled us prohibit.,MAP,I,11,-,11,-,3,-,13,-,24/6/10,30/6/10,18/8/10,,,,,,,,,
Merchant House,ordinary,MHI,F,1,-,1.5,-,-,-,-,0.5,16/8/10,20/8/10,26/8/10,,,,,,,,,
Mirrabooka Invest,ordinary,MIR,F,6.5,-,10,100,4,-,-,6.5,20/7/10,26/7/10,6/8/10,,,,,,,,,
Mirvac Grp,stapled securities,MGR,F,2,-,8,-,4,-,5,0.2,24/6/10,30/6/10,30/7/10,,,,,,,,,
Multiplex European,units,MUE,F,-,2.625,-,-,-,-,-,-,24/6/10,30/6/10,30/7/10,,,,,,,,,
Orica Ltd,step up preference,ORIPB,F,316,-,604,-,-,-,-,229,9/11/10,15/11/10,30/11/10,,,,,,,,,
Ozgrowth Ltd,ordinary,OZG,F,1.1,-,1.4,100,-,-,-,-,3/8/10,9/8/10,16/8/10,,,,,,,,,
Preferred Capital,perls iii,PCAPA,Q1,-,-,-,-,-,-,487.82,192.61,23/9/10,29/9/10,6/10/10,,,,,,,,,
Prime Infr Grp,stapled securities,PIH,F,7.5,-,15,-,-,-,-,-,24/6/10,30/6/10,31/8/10,,,,,,,,,
Programmed,ordinary,PRG,F,6,-,9,100,4,-,-,5,2/7/10,8/7/10,27/7/10,,,,,,,,,
Rabinov Prop Tr,units,RBV,F,-,4.75,-,-,-,-,-,-,24/6/10,30/6/10,10/8/10,,,,,,,,,
Reef Casino Tr,units,RCT,I,-,9,-,-,-,-,11,-,24/6/10,30/6/10,23/9/10,,,,,,,,,
Singapore Telecomm,chess depositary int,SGT,F,-,-,4.9474,-,-,-,-,5.7486,5/8/10,11/8/10,27/8/10,,,,,,,,,
SPDR S&P/ASX Prop Fd,etf units,SLF,F,12.1667,-,52.0511,-,4,-,47.6317,11.0063,24/6/10,30/6/10,27/8/10,,,,,,,,,
Stockland,units/ord stapled,SGP,F,-,10.8,10.8,-,4,-,-,17,24/6/10,30/6/10,31/8/10,,,,,,,,,
Suncorp-Metway,pref shares,SUNPB,Q1,141.51,-,141.51,100,-,-,359.66,134.62,30/8/10,3/9/10,14/9/10,,,,,,,,,
