Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-21T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
360 Cap Indust Fund,ordinary units,TIX,F,-,4.65,-,-,4,-,1.125,-,26 Jun,30 Jun,24 Jul,1,,
360 Capital Grp,stapled securities,TGP,F,-,1.25,1.25,-,4,-,4.0,-,26 Jun,30 Jun,24 Jul,1,,
360 Capital Office,ordinary units,TOF,F,-,4.25,-,-,-,-,-,-,26 Jun,30 Jun,24 Jul,1,,
Aberdeen Leaders,ordinary,ALR,F,2.0,-,7.0,100,3,-,3.75,2.0,26 Jun,30 Jun,31 Jul,1,,
ALE Prop Grp,stapled securities,LEP,F,-,8.25,8.2,-,-,-,8.0,8.0,26 Jun,30 Jun,5 Sep,1,,
Alliance Aviation,ordinary,AQZ,I,3.6,-,3.6,100,3,-,4.8,-,3 Jun,5 Jun,25 Jun,0,,
ALS,ordinary,ALQ,F,20.0,-,39.0,50.00,3,-,21.0,27.0,11 Jun,13 Jun,2 Jul,0,,
ANZ Banking Grp,ordinary,ANZ,I,83.0,-,83.0,100,3,3,73.0,-,9 May,13 May,1 Jul,0,,
ANZ Banking Grp,pref share cps2,ANZPA,Q1,100.96,-,100.96,100,-,-,314.2,100.26,27 Aug,29 Aug,15 Sep,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,200.23,-,397.73,100,-,-,227.2,214.3,13 Aug,15 Aug,1 Sep,0,,
ANZ Banking Grp,cap note,ANZPD,F,210.71,-,448.46,100,-,-,-,-,20 Aug,22 Aug,1 Sep,0,,
ANZ Banking Grp,cap note 2,ANZPE,F,202.99,-,202.99,100,-,-,-,-,12 Sep,16 Sep,24 Sep,0,,
APA Grp,stapled securities,APA,F,-,18.75,17.5,-,4,-,17.0,18.5,26 Jun,30 Jun,10 Sep,1,,
Aquaint Capital,ordinary,AQU,F,1.0,-,1.0,-,-,-,-,-,30 May,3 Jun,30 Jun,0,,
Ardent Leisure Grp,stapled securities,AAD,F,-,6.2,6.8,-,3,-,6.6,5.4,26 Jun,30 Jun,29 Aug,1,,
Arena REIT,ordinary units,ARF,F,2.325,-,5.0,-,4,-,-,0.4,26 Jun,30 Jun,15 Aug,1,,
Aristocrat Leisure,ordinary,ALL,I,8.0,-,8.0,-,4,-,7.0,-,2 Jun,4 Jun,27 Jun,0,,
Asia Pacific Data,ordinary stapled sec,AJD,F,-,2.25,4.5,-,-,-,-,1.81,26 Jun,30 Jun,29 Aug,1,,
Aspen Grp,ord/units stapled,APZ,F,4.0,-,11.5,-,4,-,0.75,0.75,26 Jun,30 Jun,25 Aug,0,,
Astro Japan Prop Grp,stapled us prohibit.,AJA,F,-,10.0,10.0,-,4,-,7.5,10.0,26 Jun,30 Jun,29 Aug,1,,
Ausmani Ltd,ordinary,ABF,F,0.075,-,0.075,100,3,-,0.1,-,23 Jun,25 Jun,27 Jun,1,,
Australian Ind Reit,unit,ANI,F,-,8.18,3.21,-,3,-,-,-,26 Jun,30 Jun,29 Aug,1,,
Australand Assets,assets,AAZPB,F,185.82,-,553.84,-,-,-,605.75,195.71,26 Jun,30 Jun,15 Jul,1,,
Australand Prop,stapled security,ALZ,I,12.75,-,12.75,-,-,-,10.5,-,26 Jun,30 Jun,6 Aug,1,,
Aust Enhanced,units,AYF,F,10.0,-,40.0,28.00,3,-,33.75,11.25,26 Jun,30 Jun,15 Jul,1,,
Aveo Grp,stapled securities,AOG,F,-,4.0,-,-,4,-,-,-,26 Jun,30 Jun,30 Sep,1,,
Bendigo & Adelaide Bk,reset preference,BENPB,Q1,73.04,-,73.04,100,-,-,217.26,72.34,21 Aug,25 Aug,15 Sep,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,F,78.0,-,312.0,100,-,-,264.0,85.0,23 Jun,25 Jun,10 Jul,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,273.9,-,273.9,100,-,-,273.62,-,26 Nov,28 Nov,15 Dec,1,,
Brookfield,ordinary unit,BPA,F,2.0,-,6.0,-,-,-,-,-,26 Jun,30 Jun,31 Jul,1,,
BT Invest Mgt,ordinary,BTT,I,16.0,-,16.0,35.00,3,-,8.0,-,14 May,16 May,2 Jul,0,,
Capilano Honey,ordinary,CZZ,F,20.0,-,20.0,100,-,-,-,15.0,26 Jun,30 Jun,25 Jul,1,,
CFS Retail Prop,stapled securities,CFX,F,-,6.8,6.8,-,3,-,6.8,6.8,26 Jun,30 Jun,29 Aug,1,,
Challenger Div Pro,stapled units,CDI,F,-,9.3,9.2,-,4,-,8.6,9.2,26 Jun,30 Jun,29 Aug,1,,
Clime Capital,ordinary,CAM,F,1.15,-,4.3,100,3,-,3.0,1.0,30 Jun,2 Jul,22 Jul,0,,
Clime Capital,7.5% non-cum. pref,CAMPA,F,4.75,-,19.0,100,-,-,14.25,4.75,30 Jun,2 Jul,21 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q1,114.42,-,114.42,100,-,-,211.55,205.68,3 Sep,5 Sep,15 Sep,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,Q1,114.42,-,114.42,100,-,-,337.71,113.71,3 Sep,5 Sep,15 Sep,0,,
Cromwell Property,stapled securities,CMW,F,1.9375,-,7.625,-,3,-,5.4375,1.8125,26 Jun,30 Jun,14 Aug,1,,
CSR,ordinary,CSR,F,5.0,-,10.0,-,3,-,3.0,2.1,3 Jun,5 Jun,8 Jul,0,,
DUET Grp,stapled us prohibit.,DUE,F,8.5,-,17.0,-,3,-,8.25,8.25,26 Jun,30 Jun,22 Aug,1,,
Ethane Pipeline,stapled securities,EPX,F,2.3,-,11.92,100,-,-,11.8465,3.5,26 Jun,30 Jun,15 Jul,1,,
Eumundi Grp,ordinary,EBG,I,0.5,-,0.5,100,3,-,-,-,16 Jun,18 Jun,27 Jun,0,,
Federation Cntres,ord/unit stapled sec,FDC,F,7.8,-,15.3,-,-,-,-,7.5,26 Jun,30 Jun,29 Aug,0,,
Fisher & Paykel Health,ordinary,FPH,F,6.4677,-,11.3752,-,3,-,4.2617,5.8558,18 Jun,20 Jun,4 Jul,0,,
Folkstone Edu,units,FET,F,3.0,-,3.0,-,-,-,-,-,26 Jun,30 Jun,21 Jul,1,,
Folkstone Infra Tr,units,FST,F,5.25,-,5.25,-,-,-,-,-,26 Jun,30 Jun,21 Jul,1,,
G8 Education,ordinary,GEM,F,4.5,-,14.5,100,3,-,6.5,3.0,25 Jun,27 Jun,9 Jul,1,,
Galileo Japan Tr,unit,GJT,F,-,7.0,3.5,-,-,-,-,-,26 Jun,30 Jun,29 Aug,1,,
GDI Prop Grp,stapled securities,GDI,F,-,3.5,-,-,-,-,-,-,26 Jun,30 Jun,29 Aug,1,,
Generation Healthcare,units,GHC,F,4.0,-,8.0,-,3,-,3.67,3.67,26 Jun,30 Jun,29 Aug,1,,
Goodman Plus Tr,step-up units,GMPPA,F,163.3836,-,655.5909,-,-,-,372.0155,173.274,19 Jun,23 Jun,30 Jun,1,,
GrainCorp,a class ordinary,GNC,I,15.0,-,15.0,100,-,-,25.0,-,2 Jul,4 Jul,18 Jul,0,,
Growthpoint Prop,ord/unit stapled sec,GOZ,F,9.6,-,19.0,-,3,-,9.0,9.3,26 Jun,30 Jun,29 Aug,1,,
HGL,ordinary,HNG,I,2.0,-,2.0,100,3,-,2.0,-,23 Jun,25 Jun,11 Jul,0,,
Hotel Property Inv,stapled,HPI,I,-,8.8,-,-,-,-,-,-,26 Jun,30 Jun,18 Sep,1,,
Incitec Pivot,ordinary,IPL,I,3.5,-,3.5,75.00,3,-,3.4,-,20 May,22 May,1 Jul,0,,
Industria REIT,stapled,IDR,I,9.54,-,9.54,-,-,-,-,-,26 Jun,30 Jun,29 Aug,1,,
Insurance Aust Grp,conv pref shs,IAGPC,I,239.42,-,239.42,100,-,-,241.43,-,22 Oct,24 Oct,3 Nov,0,,
Investa Office Fd,stapled securities,IOF,F,9.25,-,18.5,-,4,-,8.75,9.0,26 Jun,30 Jun,29 Aug,1,,
Ironbark Capital,ordinary,IBC,I,2.0,-,2.0,100,4,-,1.25,-,15 Dec,17 Dec,30 Dec,0,,
James Hardie Ind,chess depositary int,JHX,F,55.4424,-,86.318,-,-,-,4.7465,39.9452,10 Jun,12 Jun,8 Aug,0,,
Joyce Corp,ordinary,JYC,I,1.5,-,1.5,-,4,-,1.0,-,10 Jul,14 Jul,31 Jul,0,,
Korvest,ordinary,KOV,I,100.0,-,100.0,100,3,-,26.0,-,6 Jun,11 Jun,27 Jun,0,,
Macquarie Grp,ordinary,MQG,F,160.0,-,260.0,40.00,3,-,75.0,125.0,14 May,16 May,2 Jul,0,,
