ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4372.7 at 16:36 . Processed 12:57 Tuesday 20/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
19/7/2010  Report at ,,,,,,,,,,,,,,,,,
19:07 Monday ,,,,,,,,,,,,,,,,,
19/7/2010!,,,,,,,,,,,,,,,,,
DJS,David Jones ,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",2455031.00,1655133.00,67,-2,510945759.00,"0.32""",,,,,,,,,,,
NFE,Northern Iron ,,,,,,,,,,,,,,,,
"""",FPO,5165.00,"2,976",58,"-""",,,,,,,,,,,,
"""0.70",292204786.00,"0.00""",,,,,,,,,,,,,,,
BTT,BT Investment ,,,,,,,,,,,,,,,,
Management ,,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",33974.00,17584.00,52,2,160000000.00,"0.01""",,,,,,,,,,,
MTS,Metcash ,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",2039641.00,1050522.00,52,-1,765675951.00,"0.13""",,,,,,,,,,,
MQG,Macquarie ,,,,,,,,,,,,,,,,
Group ,,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",2124843.00,1049864.00,49,-3,345480686.00,"0.30""",,,,,,,,,,,
NWSLV,News ,,,,,,,,,,,,,,,,
Corporation,A ,,,,,,,,,,,,,,,,
NONVOTE,,,,,,,,,,,,,,,,,
"""",414566.00,203427.00,49,-4,1824471392.00,"0.01""",,,,,,,,,,,
HVN,Harvey Norman ,,,,,,,,,,,,,,,,
Holdings ,,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",1214415.00,558385.00,46,-2,1062316784.00,"0.05""",,,,,,,,,,,
FXJ,Fairfax Media ,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",6684226.00,3063954.00,46,-2,2351955725.00,"0.13""",,,,,,,,,,,
FMG,Fortescue Metals ,,,,,,,,,,,,,,,,
Group,FPO,,,,,,,,,,,,,,,,
"""",10228391.00,4354551.00,43,0,3107179370.00,"0.14""",,,,,,,,,,,
BHP,BHP Billiton ,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",8022899.00,3262120.00,41,-1,3356081497.00,"0.09""",,,,,,,,,,,
TAP,Tap Oil ,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",73771.00,30000.00,41,-3,156485921.00,"0.01""",,,,,,,,,,,
SAI,SAI Global ,,,,,,,,,,,,,,,,
,FPO,,,,,,,,,,,,,,,,
"""",24041.00,9725.00,40,0,159602639.00,"0.00""",,,,,,,,,,,
JHX,James Hardie ,,,,,,,,,,,,,,,,
Industries,CDI,,,,,,,,,,,,,,,,
"""",1439959.00,566027.00,39,-2,435438790.00,"0.13""",,,,,,,,,,,
PDN,Paladin ,,,,,,,,,,,,,,,,
Energy,FPO,,,,,,,,,,,,,,,,
"""",3166124.00,1215401.00,38,-3,717142802.00,"0.16""",,,,,,,,,,,
AUN,Austar United ,,,,,,,,,,,,,,,,
Comms,FPO,,,,,,,,,,,,,,,,
"""",1010257.00,376825.00,37,-4,1260030198.00,"0.03""",,,,,,,,,,,
BBG,Billabong ,,,,,,,,,,,,,,,,
International ,,,,,,,,,,,,,,,,,
