Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 5007.3 at 16:34 16/4/2010  Report at 19:06 Friday 16/4/2010. Processed 20:08 Friday 16/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
Apr,10,13.00,-,0.03,-,81,16.90,-,4.23,,,
Apr,10,13.50,-,0.04,-,97,16.70,-,6.77,,,
Apr,10,14.00,-,0.16,-,453,16.50,-,26.22,,,
Apr,10,14.50,0.00,0.07,-,260,16.30,-0.02,0.51,,,
Apr,10,15.00,0.04,0.04,31,294,16.10,-0.17,7.61,,,
Apr,10,15.50,0.20,0.19,23,30,14.00,-0.56,18.61,,,
Apr,10,16.00,0.59,-,-,-,13.10,-1.00,-,,,
Apr,10,16.50,1.09,-,-,-,13.10,-1.00,-,,,
May,10,12.50,-,0.13,-,2,15.90,-,7.33,,,
May,10,13.00,-,0.20,-,19,15.80,-,11.56,,,
May,10,13.50,0.00,0.07,-,13,15.80,-,-,,,
May,10,14.00,0.01,0.06,-,18,15.70,-0.02,0.45,,,
May,10,14.50,0.04,0.12,-,41,15.70,-0.10,2.26,,,
May,10,15.00,0.13,0.10,28,58,15.10,-0.25,7.05,,,
May,10,15.50,0.32,0.30,2,-,14.80,-0.50,12.97,,,
May,10,16.00,0.65,-,-,-,14.60,-0.78,3.38,,,
May,10,16.50,1.09,-,-,-,14.60,-1.00,-,,,
Jun,10,12.00,-,0.44,-,11,16.80,-,14.89,,,
Jun,10,12.50,-,0.02,-,57,16.80,-,0.68,,,
Jun,10,13.00,0.00,0.09,2,33,16.70,-,-,,,
Jun,10,13.50,0.01,0.05,-,71,16.70,-0.02,0.34,,,
Jun,10,14.00,0.04,0.04,14,181,16.60,-0.07,1.18,,,
Jun,10,14.50,0.09,0.15,-,71,16.10,-0.15,3.05,,,
Jun,10,15.00,0.20,0.18,37,13,15.80,-0.29,6.94,,,
Jun,10,15.50,0.41,0.38,15,29,15.50,-0.48,10.66,,,
Jun,10,16.00,0.71,0.69,6,5,15.20,-0.70,4.06,,,
Jun,10,16.50,1.11,-,-,-,15.20,-0.92,0.68,,,
Jul,10,13.00,0.02,-,-,20,19.20,-0.03,0.45,,,
Jul,10,13.50,0.04,-,-,20,18.60,-0.06,1.02,,,
Jul,10,14.00,0.09,-,-,-,17.50,-0.11,1.92,,,
Jul,10,14.50,0.16,0.30,-,2,16.80,-0.19,3.50,,,
Jul,10,15.00,0.26,0.40,-,1,15.50,-0.30,5.87,,,
Jul,10,15.50,0.53,0.42,100,100,17.20,-0.46,9.93,,,
Jul,10,16.00,0.76,-,-,-,15.30,-0.65,3.83,,,
Jul,10,16.50,1.18,-,-,-,17.20,-0.78,2.03,,,
Aug,10,13.50,0.04,-,-,-,16.10,-0.05,0.62,,,
Aug,10,14.00,0.12,-,-,-,17.80,-0.13,2.14,,,
Aug,10,14.50,0.19,-,-,-,16.60,-0.20,3.38,,,
Aug,10,15.00,0.32,-,-,-,15.90,-0.31,5.70,,,
Aug,10,15.50,0.52,-,-,2,15.40,-0.45,7.57,,,
Aug,10,16.00,0.81,-,-,-,15.60,-0.62,3.83,,,
Aug,10,16.50,1.17,-,-,-,15.60,-0.79,1.42,,,
Sep,10,12.50,0.04,0.29,-,5,19.20,-0.03,0.51,,,
Sep,10,13.00,0.06,0.15,-,3,18.40,-0.05,0.88,,,
Sep,10,13.50,0.12,1.06,-,5,18.10,-0.09,1.69,,,
Sep,10,14.00,0.19,0.26,-,16,17.40,-0.14,2.72,,,
Sep,10,14.50,0.29,0.39,-,25,16.60,-0.21,4.27,,,
Sep,10,15.00,0.47,0.50,37,80,16.50,-0.32,6.84,,,
Sep,10,15.50,0.69,0.83,-,13,16.50,-0.45,8.90,,,
Sep,10,16.00,1.00,-,-,50,16.50,-0.59,5.96,,,
Sep,10,16.50,1.35,-,-,-,16.70,-0.73,3.75,,,
Dec,10,13.00,0.15,0.66,-,18,19.30,-0.09,1.41,,,
Dec,10,13.50,0.21,0.29,-,4,18.50,-0.12,1.97,,,
Dec,10,14.00,0.29,-,-,-,17.60,-0.17,2.77,,,
Dec,10,14.50,0.42,1.00,-,10,17.20,-0.24,3.99,,,
Dec,10,15.00,0.63,0.74,-,148,17.20,-0.33,5.87,,,
Dec,10,15.50,0.84,-,-,-,16.90,-0.43,7.10,,,
Dec,10,16.00,1.12,1.30,-,3,16.70,-0.55,4.98,,,
Dec,10,16.50,1.46,-,-,-,16.80,-0.67,3.43,,,
Dec,10,17.00,1.83,-,-,-,17.00,-0.80,2.26,,,
Dec,10,17.50,2.26,-,-,-,17.90,-0.90,1.60,,,
Mar,11,14.00,0.46,0.51,-,12,19.40,-0.21,3.18,,,
Mar,11,14.50,0.59,-,-,-,18.70,-0.26,4.11,,,
Mar,11,15.00,0.78,0.97,-,5,18.30,-0.33,5.39,,,
Mar,11,15.50,1.03,-,-,-,18.50,-0.42,6.49,,,
Mar,11,16.00,1.31,1.44,-,10,18.60,-0.51,5.01,,,
Mar,11,16.50,1.64,-,-,-,18.80,-0.60,3.80,,,
Jun,11,14.00,0.58,1.60,-,78,20.10,-0.22,3.17,,,
Dec,12,17.00,2.68,2.71,-,4,23.30,-0.50,2.63,,,
Dec,12,18.00,3.36,3.44,-,19,23.50,-0.61,1.85,,,
Jun,14,16.00,2.09,2.20,-,23,21.70,-0.41,2.31,,,
Jun,14,16.50,2.50,3.65,-,3,23.00,-0.43,2.18,,,
Apr,10,1.60,-,0.05,-,330,28.30,-,70.08,,,
Apr,10,1.70,0.00,0.01,-,3085,28.00,-0.04,2.80,,,
Apr,10,1.80,0.01,0.03,-,575,26.50,-0.24,21.03,,,
Apr,10,1.90,0.06,0.08,-,67,25.70,-0.65,28.03,,,
Apr,10,2.00,0.14,0.15,20,30,30.10,-0.90,7.01,,,
May,10,1.60,0.01,-,-,-,30.40,-0.06,2.34,,,
May,10,1.70,0.01,0.03,-,32,30.10,-0.16,7.01,,,
May,10,1.80,0.04,0.07,-,121,27.70,-0.32,18.69,,,
May,10,1.90,0.09,0.09,20,142,27.60,-0.55,21.03,,,
May,10,2.00,0.16,-,-,-,27.60,-0.77,7.01,,,
Jun,10,1.10,-,-,-,55,31.90,-,-,,,
Jun,10,1.20,-,-,-,140,31.80,-,-,,,
Jun,10,1.30,-,0.14,-,135,31.60,-,39.25,,,
