Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4462.1 at 16:37 20/8/2010  Report at 19:06 Friday 20/8/2010. Processed 11:43 Sunday 22/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.29,,,,,,,,,,,,
Aug,10,13.00,-,0.07,-,1,19.50,-,23.87,,,
Aug,10,13.50,-,-,-,18,19.50,-,-,,,
Aug,10,14.00,-,0.16,-,72,19.50,-,54.56,,,
Aug,10,14.50,0.00,0.04,-,127,19.50,-0.02,0.68,,,
Aug,10,15.00,0.04,0.11,43,137,19.50,-0.21,15.35,,,
Aug,10,15.50,0.26,0.63,-,23,17.00,-0.72,15.35,,,
Aug,10,16.00,0.71,-,-,-,2.00,-1.00,-,,,
Aug,10,16.50,1.21,-,-,-,2.00,-1.00,-,,,
Sep,10,12.50,-,0.07,-,81,19.60,-,4.77,,,
Sep,10,13.00,0.00,0.04,-,7,19.40,-,0.14,,,
Sep,10,13.50,0.01,0.05,20,52,19.30,-0.01,0.68,,,
Sep,10,14.00,0.04,0.06,10,95,19.20,-0.05,3.07,,,
Sep,10,14.50,0.12,0.17,42,240,18.00,-0.14,8.18,,,
Sep,10,15.00,0.28,0.27,23,111,16.80,-0.31,19.10,,,
Sep,10,15.50,0.57,0.83,-,16,16.10,-0.58,24.89,,,
Sep,10,16.00,0.98,1.12,4,63,14.90,-0.87,18.42,,,
Sep,10,16.50,1.46,-,-,-,14.90,-1.00,16.71,,,
Oct,10,13.00,0.01,0.04,-,4,17.70,-0.01,0.34,,,
Oct,10,13.50,0.04,0.08,-,7,17.60,-0.04,1.19,,,
Oct,10,14.00,0.10,-,-,4,17.60,-0.09,3.24,,,
Oct,10,14.50,0.20,0.30,-,12,16.90,-0.19,6.82,,,
Oct,10,15.00,0.38,-,-,75,16.40,-0.34,12.96,,,
Oct,10,15.50,0.66,-,-,10,15.70,-0.53,15.18,,,
Oct,10,16.00,1.02,-,-,-,15.10,-0.76,10.57,,,
Oct,10,16.50,1.47,-,-,-,15.10,-0.98,8.87,,,
Nov,10,13.00,0.01,-,-,-,16.00,-0.02,0.37,,,
Nov,10,13.50,0.08,0.69,-,1,18.90,-0.07,1.95,,,
Nov,10,14.00,0.12,0.21,-,25,16.20,-0.10,2.80,,,
Nov,10,14.50,0.22,-,-,5,15.50,-0.19,5.36,,,
Nov,10,15.00,0.41,-,-,-,15.10,-0.33,9.87,,,
Nov,10,15.50,0.91,-,-,-,22.60,-0.49,17.05,,,
Nov,10,16.00,1.24,-,-,-,22.60,-0.61,12.91,,,
Nov,10,16.50,1.62,-,-,-,22.60,-0.73,9.99,,,
Dec,10,13.00,0.07,0.55,-,22,19.90,-0.05,1.33,,,
Dec,10,13.50,0.10,0.13,3,56,17.80,-0.08,1.80,,,
Dec,10,14.00,0.19,0.26,-,22,17.50,-0.14,3.50,,,
Dec,10,14.50,0.30,0.52,-,4,16.60,-0.22,5.68,,,
Dec,10,15.00,0.46,0.54,-,99,15.30,-0.34,8.72,,,
Dec,10,15.50,0.73,-,-,-,15.10,-0.50,9.85,,,
Dec,10,16.00,1.09,1.30,-,3,15.10,-0.68,7.10,,,
Dec,10,16.50,1.50,-,-,-,15.10,-0.87,5.49,,,
Dec,10,17.00,1.97,-,-,-,15.10,-1.00,4.83,,,
Dec,10,17.50,2.45,-,-,-,15.10,-1.00,4.55,,,
Jan,11,13.50,0.10,-,-,-,15.80,-0.07,1.41,,,
Jan,11,14.00,0.19,-,-,-,15.80,-0.14,2.74,,,
Jan,11,14.50,0.33,-,-,-,15.80,-0.23,4.89,,,
Jan,11,15.00,0.54,-,-,-,15.80,-0.34,7.93,,,
Jan,11,15.50,0.81,-,-,-,15.80,-0.48,8.82,,,
Jan,11,16.00,1.14,-,-,-,15.80,-0.64,6.38,,,
Jan,11,16.50,1.54,-,-,-,15.80,-0.80,4.89,,,
Mar,11,12.50,0.11,0.58,-,3,20.80,-0.06,1.21,,,
Mar,11,13.00,0.17,-,-,-,20.10,-0.09,1.82,,,
Mar,11,13.50,0.24,-,-,-,19.30,-0.13,2.64,,,
Mar,11,14.00,0.36,0.39,20,25,19.00,-0.19,3.96,,,
Mar,11,14.50,0.51,0.84,-,8,18.50,-0.27,5.61,,,
Mar,11,15.00,0.71,0.97,-,5,18.10,-0.36,7.81,,,
Mar,11,15.50,0.98,-,-,-,18.40,-0.46,8.53,,,
Mar,11,16.00,1.30,1.44,-,10,18.40,-0.57,6.49,,,
Mar,11,16.50,1.67,-,-,-,18.40,-0.69,5.01,,,
Jun,11,13.50,0.36,0.63,-,4,19.90,-0.16,2.79,,,
Jun,11,14.00,0.49,1.60,-,78,19.60,-0.22,3.80,,,
Jun,11,14.50,0.67,-,-,-,19.50,-0.28,5.19,,,
Jun,11,15.00,0.86,1.11,-,16,18.90,-0.36,6.70,,,
Jun,11,15.50,1.12,-,-,-,18.80,-0.44,7.05,,,
Jun,11,16.00,1.43,-,-,-,18.80,-0.54,5.54,,,
Jun,11,16.50,1.76,-,-,-,18.80,-0.64,4.30,,,
Dec,12,13.00,0.88,1.24,-,7,24.20,-0.19,2.46,,,
Dec,12,17.00,2.86,2.71,-,4,24.00,-0.56,3.21,,,
Dec,12,18.00,3.73,3.44,-,19,26.30,-0.62,2.85,,,
Jun,14,16.00,2.29,2.20,-,23,21.70,-0.42,2.69,,,
Jun,14,16.50,2.73,3.65,-,3,23.00,-0.44,2.57,,,
Asciano Grp Last Sale Price $1.65,,,,,,,,,,,,
Aug,10,1.40,-,-,-,60,57.30,-0.01,-,,,
Aug,10,1.50,0.01,-,-,300,57.30,-0.09,15.80,,,
Aug,10,1.60,0.03,0.03,-,1644,57.30,-0.32,79.00,,,
Aug,10,1.70,0.06,0.06,-,405,22.90,-0.84,15.80,,,
Aug,10,1.80,0.15,0.11,-,37,2.00,-1.00,-,,,
Aug,10,2.00,0.35,-,-,16,2.00,-1.00,-,,,
Sep,10,1.40,0.03,0.17,-,118,60.20,-0.16,15.80,,,
Sep,10,1.50,0.03,0.11,-,235,43.10,-0.20,15.80,,,
Sep,10,1.60,0.03,0.11,-,21,26.90,-0.32,18.96,,,
Sep,10,1.70,0.07,0.10,-,405,25.40,-0.62,15.80,,,
Sep,10,1.80,0.16,0.28,-,431,26.20,-0.87,3.16,,,
Sep,10,1.90,0.25,0.25,-,218,26.30,-1.00,-,,,
Sep,10,2.00,0.35,0.32,-,78,26.40,-1.00,-,,,
Oct,10,1.50,0.03,0.04,-,10,33.20,-0.21,9.48,,,
Oct,10,1.60,0.06,0.06,-,410,29.70,-0.35,17.38,,,
Oct,10,1.70,0.10,0.07,-,18,27.30,-0.55,15.80,,,
Oct,10,1.80,0.17,-,-,17,27.30,-0.75,6.32,,,
Nov,10,1.40,0.03,-,-,50,36.70,-0.15,5.64,,,
Nov,10,1.50,0.04,-,-,10,34.10,-0.24,10.16,,,
Nov,10,1.60,0.09,-,-,-,35.70,-0.37,20.32,,,
Nov,10,1.70,0.11,-,-,10,25.90,-0.54,12.41,,,
Nov,10,1.80,0.16,-,-,87,20.20,-0.81,2.26,,,
Dec,10,1.31,0.01,0.04,-,8,30.70,-0.07,1.76,,,
Dec,10,1.40,0.02,0.03,200,213,30.40,-0.13,3.51,,,
Dec,10,1.48,0.04,0.07,-,20,30.10,-0.21,7.02,,,
Dec,10,1.57,0.06,0.13,-,12,27.50,-0.31,10.53,,,
Dec,10,1.66,0.10,0.09,52,105,27.30,-0.45,15.80,,,
Dec,10,1.75,0.14,0.16,-,299,25.90,-0.60,7.90,,,
Dec,10,1.96,0.32,0.25,-,143,25.90,-0.93,0.88,,,
Dec,10,2.18,0.53,0.76,-,206,25.90,-1.00,-,,,
Jan,11,1.50,0.04,-,-,-,25.10,-0.22,5.50,,,
Jan,11,1.60,0.07,-,-,-,25.10,-0.35,9.62,,,
Jan,11,1.70,0.12,-,-,-,25.10,-0.51,9.62,,,
Jan,11,1.80,0.19,-,-,-,25.10,-0.66,4.81,,,
Mar,11,1.40,0.04,0.14,-,110,31.90,-0.18,4.59,,,
Mar,11,1.50,0.07,0.12,-,13,30.40,-0.26,7.14,,,
Mar,11,1.60,0.11,-,-,-,29.40,-0.36,10.70,,,
Mar,11,1.70,0.15,0.14,-,60,28.70,-0.48,10.19,,,
Mar,11,1.80,0.22,-,-,-,28.70,-0.59,6.63,,,
Mar,11,2.00,0.36,0.28,-,60,28.70,-0.82,1.53,,,
Jun,11,1.50,0.11,-,-,-,33.00,-0.28,7.54,,,
Jun,11,1.60,0.14,-,-,-,31.90,-0.36,10.06,,,
Jun,11,1.70,0.19,-,-,-,30.80,-0.45,9.70,,,
Jun,11,1.80,0.25,-,-,-,30.80,-0.54,6.82,,,
