Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:07 Friday 23/7/2010. Processed 19:36 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.91,,,,,,,,,,,,
Jul,10,12.50,-,0.12,-,1,27.00,-,41.97,,,
Jul,10,13.00,-,-,-,20,26.80,-,-,,,
Jul,10,13.50,-,0.02,-,54,26.60,-,6.99,,,
Jul,10,14.00,0.01,0.03,-,142,26.40,-0.03,2.10,,,
Jul,10,14.50,0.04,0.19,-,217,22.00,-0.15,12.24,,,
Jul,10,15.00,0.16,0.18,35,29,15.20,-0.60,24.48,,,
Jul,10,15.50,0.60,0.67,5,2,22.20,-0.92,3.50,,,
Jul,10,16.00,1.09,4.79,-,-,11.40,-1.00,-,,,
Jul,10,16.50,1.59,-,-,-,11.40,-1.00,-,,,
Aug,10,13.00,-,0.07,-,1,16.10,-,4.90,,,
Aug,10,13.50,0.00,-,-,14,16.10,-0.02,0.28,,,
Aug,10,14.00,0.03,0.16,-,72,16.00,-0.08,2.10,,,
Aug,10,14.50,0.11,0.11,12,113,15.60,-0.24,7.34,,,
Aug,10,15.00,0.29,0.86,-,101,15.00,-0.51,13.99,,,
Aug,10,15.50,0.64,-,-,26,15.40,-0.80,3.15,,,
Aug,10,16.00,1.09,-,-,-,15.40,-1.00,-,,,
Aug,10,16.50,1.59,-,-,-,15.40,-1.00,-,,,
Sep,10,12.50,0.01,0.07,7,81,19.00,-,0.23,,,
Sep,10,13.00,0.03,0.04,2,7,18.70,-0.03,0.97,,,
Sep,10,13.50,0.07,0.09,-,66,18.50,-0.07,2.53,,,
Sep,10,14.00,0.13,0.30,-,53,16.30,-0.14,4.86,,,
Sep,10,14.50,0.28,0.29,2,59,15.90,-0.28,10.69,,,
Sep,10,15.00,0.54,0.51,3,87,15.90,-0.49,17.29,,,
Sep,10,15.50,0.90,0.83,-,16,16.20,-0.70,11.85,,,
Sep,10,16.00,1.32,-,-,50,16.30,-0.91,8.94,,,
