Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4588.8 at 16:39 12/2/2010  Report at 19:06 Friday 12/2/2010. Processed 18:33 Sunday 14/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $13.74,,,,,,,,,,,,
Feb,10,12.50,-,-,-,10,16.00,-,-,,,
Feb,10,13.00,0.01,0.03,-,8,16.00,-0.03,0.95,,,
Feb,10,13.50,0.07,0.09,11,356,16.00,-0.25,12.33,,,
Feb,10,14.00,0.30,0.20,66,341,13.80,-0.76,7.59,,,
Feb,10,14.50,0.76,0.84,-,10,2.00,-1.00,-,,,
Feb,10,15.00,1.26,-,-,-,2.00,-1.00,-,,,
Feb,10,15.50,1.76,-,-,-,2.00,-1.00,-,,,
Mar,10,12.00,0.01,0.10,-,47,18.70,-0.01,0.51,,,
Mar,10,12.50,0.04,0.16,-,5,18.60,-0.05,2.53,,,
Mar,10,13.00,0.12,0.12,11,43,17.70,-0.14,7.27,,,
Mar,10,13.50,0.29,0.30,40,321,17.00,-0.33,18.34,,,
Mar,10,14.00,0.59,0.53,3,306,16.40,-0.60,21.19,,,
Mar,10,14.50,1.01,0.75,-,60,16.40,-0.86,16.13,,,
Mar,10,15.00,1.49,1.43,-,26,16.40,-1.00,14.55,,,
Mar,10,15.50,1.99,-,-,-,16.40,-1.00,14.23,,,
Apr,10,12.50,0.10,-,-,-,18.40,-0.10,3.28,,,
Apr,10,13.00,0.20,0.19,16,12,17.50,-0.19,6.73,,,
Apr,10,13.50,0.39,0.30,-,3,17.30,-0.35,13.28,,,
Apr,10,14.00,0.66,-,6,-,16.20,-0.55,13.80,,,
Apr,10,14.50,1.05,-,-,-,16.50,-0.76,10.00,,,
Apr,10,15.00,1.50,-,-,-,16.50,-0.97,8.45,,,
Apr,10,15.50,1.99,-,-,-,16.50,-1.00,7.76,,,
May,10,12.50,0.12,-,-,-,17.70,-0.12,3.04,,,
May,10,13.00,0.25,0.21,19,19,17.70,-0.22,6.32,,,
May,10,13.50,0.44,0.36,3,3,17.10,-0.36,11.01,,,
May,10,14.00,0.69,-,-,-,15.90,-0.53,10.88,,,
May,10,14.50,1.07,-,-,-,16.00,-0.73,7.84,,,
May,10,15.00,1.51,-,-,-,16.50,-0.92,6.45,,,
May,10,15.50,2.00,-,-,-,17.60,-1.00,5.95,,,
Jun,10,12.00,0.10,0.44,-,11,19.70,-0.09,2.00,,,
Jun,10,12.50,0.19,0.17,-,57,19.30,-0.15,3.79,,,
Jun,10,13.00,0.30,0.26,29,43,18.00,-0.24,6.09,,,
Jun,10,13.50,0.51,0.44,48,98,17.90,-0.36,10.09,,,
Jun,10,14.00,0.77,0.50,-,158,17.20,-0.51,10.09,,,
Jun,10,14.50,1.10,1.56,-,5,16.30,-0.69,6.79,,,
Jun,10,15.00,1.52,-,-,-,16.30,-0.88,5.29,,,
Jun,10,15.50,1.99,-,-,-,16.30,-1.00,4.59,,,
Jul,10,12.50,0.23,-,-,-,18.90,-0.16,3.56,,,
Jul,10,13.00,0.35,-,-,-,18.20,-0.25,5.61,,,
Jul,10,13.50,0.56,-,-,-,17.90,-0.36,8.78,,,
Jul,10,14.00,0.81,-,-,-,17.20,-0.50,8.70,,,
Jul,10,14.50,1.15,-,-,-,17.20,-0.65,6.17,,,
Jul,10,15.00,1.56,-,-,-,17.50,-0.80,4.74,,,
Jul,10,15.50,2.02,-,-,-,17.90,-0.95,4.03,,,
Sep,10,12.50,0.35,0.29,-,-,19.00,-0.18,4.15,,,
Sep,10,13.00,0.53,0.58,-,1,19.00,-0.27,6.29,,,
Sep,10,13.50,0.76,1.06,9,4,18.90,-0.36,9.01,,,
Sep,10,14.00,1.02,0.78,-,13,18.50,-0.47,9.01,,,
Sep,10,14.50,1.37,-,-,-,19.00,-0.59,7.17,,,
Sep,10,15.00,1.71,-,-,-,18.40,-0.73,5.34,,,
Sep,10,15.50,2.11,-,-,-,18.60,-0.86,4.15,,,
Dec,10,13.00,0.70,0.61,-,11,19.90,-0.28,5.90,,,
Dec,10,15.00,1.83,-,-,-,18.90,-0.67,4.76,,,
Jun,11,14.00,1.50,1.60,5,78,21.20,-0.44,6.60,,,
Dec,12,13.00,1.56,-,-,-,23.60,-0.30,3.97,,,
Dec,12,17.00,4.01,3.89,-,1,23.10,-0.73,1.91,,,
Dec,12,18.00,4.78,4.64,-,6,23.00,-0.86,1.31,,,
Jun,14,16.00,3.43,3.34,-,3,23.20,-0.58,1.95,,,
Jun,14,16.50,3.75,3.65,-,3,23.00,-0.64,1.66,,,
Feb,10,1.48,0.00,-,-,-,43.30,-0.02,1.50,,,
Feb,10,1.57,0.01,0.05,-,658,42.80,-0.10,10.52,,,
Feb,10,1.66,0.02,0.03,200,204,37.00,-0.24,30.05,,,
Feb,10,1.75,0.06,0.06,-,702,38.10,-0.52,60.11,,,
Feb,10,1.85,0.13,0.15,-,320,44.10,-0.76,22.54,,,
Feb,10,1.96,0.23,0.13,-,10,36.20,-0.98,-,,,
Mar,10,1.13,-,-,-,55,39.50,-,-,,,
Mar,10,1.22,-,-,-,100,39.20,-,-,,,
Mar,10,1.40,0.00,-,-,175,38.60,-0.04,2.00,,,
Mar,10,1.48,0.01,0.06,-,282,38.30,-0.09,5.01,,,
Mar,10,1.57,0.03,0.04,-,92,38.00,-0.19,12.52,,,
Mar,10,1.66,0.04,0.09,-,119,34.90,-0.31,22.54,,,
Mar,10,1.75,0.07,0.08,20,258,31.40,-0.49,30.05,,,
Mar,10,1.85,0.15,-,-,-,35.40,-0.68,17.53,,,
Mar,10,1.96,0.23,0.42,-,50,31.40,-0.88,2.50,,,
Mar,10,2.40,0.67,-,-,1,31.40,-1.00,-,,,
Mar,10,2.62,0.89,0.94,-,27,31.40,-1.00,-,,,
Apr,10,1.50,0.03,-,-,-,35.50,-0.15,6.83,,,
Apr,10,1.60,0.05,0.05,300,30,35.20,-0.26,13.66,,,
Apr,10,1.70,0.08,-,-,-,32.30,-0.39,21.86,,,
Apr,10,1.80,0.13,-,-,-,30.40,-0.56,16.39,,,
Apr,10,1.90,0.20,-,-,-,30.40,-0.72,8.20,,,
May,10,1.50,0.04,-,-,-,35.20,-0.17,7.01,,,
May,10,1.60,0.07,-,-,-,35.20,-0.27,13.02,,,
May,10,1.70,0.11,-,-,15,36.10,-0.39,21.04,,,
May,10,1.80,0.16,-,-,-,35.20,-0.52,18.03,,,
May,10,1.90,0.22,-,-,-,35.20,-0.64,11.02,,,
Jun,10,1.10,0.00,-,-,55,41.60,-0.02,0.63,,,
Jun,10,1.20,0.01,-,-,140,41.50,-0.05,1.58,,,
Jun,10,1.30,0.02,0.14,-,135,41.30,-0.09,3.16,,,
Jun,10,1.40,0.04,0.12,-,95,39.90,-0.14,5.54,,,
Jun,10,1.50,0.06,-,-,160,39.40,-0.21,8.70,,,
Jun,10,1.60,0.09,0.11,-,93,39.10,-0.30,14.24,,,
Jun,10,1.70,0.13,0.13,-,155,38.20,-0.39,20.56,,,
Jun,10,1.80,0.18,0.13,-,117,37.60,-0.50,18.19,,,
Jun,10,1.90,0.25,0.17,-,103,39.50,-0.59,13.44,,,
Jun,10,2.00,0.32,-,-,60,38.80,-0.68,8.70,,,
Jun,10,2.25,0.53,0.41,-,2,36.80,-0.91,1.58,,,
Jul,10,1.50,0.06,-,-,-,35.20,-0.20,6.89,,,
Jul,10,1.60,0.09,-,-,-,35.20,-0.29,11.27,,,
Jul,10,1.70,0.13,-,-,-,35.20,-0.39,16.28,,,
Jul,10,1.80,0.19,-,-,-,35.20,-0.49,15.03,,,
Jul,10,1.90,0.25,-,-,-,35.20,-0.59,10.64,,,
Sep,10,1.40,0.07,0.17,-,28,40.40,-0.18,6.10,,,
Sep,10,1.50,0.09,-,-,-,39.10,-0.23,8.45,,,
Sep,10,1.60,0.14,-,-,-,41.10,-0.31,12.68,,,
Sep,10,1.70,0.17,-,-,-,37.40,-0.38,15.50,,,
Sep,10,1.80,0.22,-,-,-,37.30,-0.46,14.09,,,
Sep,10,1.90,0.28,-,-,50,37.10,-0.55,10.33,,,
Dec,10,1.48,0.12,0.13,-,20,40.80,-0.24,7.68,,,
Dec,10,1.57,0.15,-,-,-,40.20,-0.29,10.02,,,
Dec,10,1.66,0.19,-,-,10,39.30,-0.35,12.36,,,
Dec,10,1.75,0.23,0.17,-,266,39.20,-0.40,14.36,,,
Dec,10,1.96,0.35,0.26,-,46,38.80,-0.55,8.68,,,
Dec,10,2.18,0.52,0.76,-,206,39.10,-0.68,4.67,,,
Dec,12,1.13,0.16,0.25,-,3,49.20,-0.16,3.23,,,
Dec,12,1.31,0.23,-,-,25,48.50,-0.18,4.64,,,
Dec,12,1.66,0.40,-,-,-,48.10,-0.28,7.97,,,
Dec,12,1.75,0.45,-,-,-,48.10,-0.35,8.67,,,
Dec,12,1.96,0.57,-,-,-,48.20,-0.38,7.06,,,
Sep,14,1.70,0.42,-,-,-,43.00,-0.27,5.24,,,
Sep,14,1.80,0.47,0.63,-,72,43.00,-0.33,5.11,,,
Feb,10,5.26,0.00,0.02,-,31,25.60,-,0.43,,,
Feb,10,5.49,0.01,0.03,-,110,25.40,-0.03,6.52,,,
Feb,10,5.71,0.03,-,-,-,16.50,-0.05,10.86,,,
Feb,10,5.72,0.03,0.05,-,35,17.70,-0.07,13.04,,,
Feb,10,5.94,0.10,0.12,-,6,2.00,-,43.45,,,
Feb,10,5.95,0.11,0.06,-,92,2.40,-0.01,47.80,,,
Feb,10,6.17,0.33,-,-,-,2.00,-1.00,69.52,,,
Feb,10,6.18,0.34,0.19,-,75,3.90,-1.00,69.52,,,
Feb,10,6.41,0.57,0.44,42,72,3.90,-1.00,69.52,,,
Feb,10,6.64,0.80,-,-,-,3.90,-1.00,69.52,,,
Feb,10,6.87,1.03,-,-,-,3.90,-1.00,69.52,,,
Mar,10,3.66,-,0.32,-,6,25.50,-,46.35,,,
Mar,10,4.12,-,0.04,-,1,25.20,-,5.07,,,
Mar,10,4.35,-,0.12,-,500,25.10,-,16.66,,,
Mar,10,4.58,-,0.87,-,31,25.00,-,126.01,,,
Mar,10,5.03,0.01,-,-,36,24.80,-0.01,0.87,,,
Mar,10,5.26,0.02,0.03,-,97,24.60,-0.04,2.90,,,
Mar,10,5.49,0.06,0.09,-,41,24.50,-0.12,8.69,,,
Mar,10,5.72,0.12,0.20,-,348,23.40,-0.24,17.38,,,
Mar,10,5.95,0.23,0.15,-,106,22.30,-0.41,33.31,,,
Mar,10,6.18,0.39,0.42,10,35,22.20,-0.62,30.42,,,
Mar,10,6.41,0.59,0.62,30,60,22.70,-0.80,26.07,,,
Mar,10,6.64,0.81,-,-,-,22.70,-0.95,23.90,,,
Mar,10,6.87,1.03,-,-,-,22.70,-1.00,23.17,,,
Apr,10,5.26,0.05,-,-,-,24.20,-0.09,3.95,,,
Apr,10,5.49,0.10,-,-,25,23.60,-0.16,7.51,,,
Apr,10,5.72,0.17,0.18,-,18,23.10,-0.27,13.83,,,
Apr,10,5.95,0.28,-,-,-,22.50,-0.41,22.12,,,
Apr,10,6.18,0.43,0.45,20,10,22.40,-0.57,19.75,,,
Apr,10,6.41,0.61,-,-,-,22.40,-0.72,15.80,,,
Apr,10,6.64,0.81,-,-,-,22.40,-0.86,13.83,,,
Apr,10,6.87,1.03,-,-,-,22.40,-0.99,13.04,,,
May,10,5.26,0.07,-,-,3,24.00,-0.11,4.06,,,
May,10,5.49,0.13,-,-,-,23.20,-0.19,7.24,,,
May,10,5.72,0.20,-,-,-,22.00,-0.28,11.30,,,
May,10,5.95,0.29,0.35,-,-,21.20,-0.41,17.09,,,
May,10,6.18,0.44,0.33,-,3,20.70,-0.55,15.06,,,
May,10,6.41,0.61,-,-,-,20.20,-0.71,11.59,,,
May,10,6.64,0.81,-,-,-,19.30,-0.89,9.85,,,
May,10,6.87,1.03,-,-,-,14.10,-1.00,9.27,,,
Jun,10,3.89,0.00,0.07,-,1,27.40,-,-,,,
Jun,10,4.12,0.00,0.50,-,6,27.30,-,0.18,,,
Jun,10,4.35,0.01,0.14,-,4,27.20,-0.02,0.41,,,
Jun,10,4.81,0.04,0.28,-,1,26.10,-0.05,1.60,,,
Jun,10,5.03,0.06,0.66,-,6,25.30,-0.09,2.74,,,
Jun,10,5.26,0.10,0.10,-,6,24.00,-0.13,4.35,,,
Jun,10,5.49,0.14,0.44,-,49,22.90,-0.20,6.63,,,
Jun,10,5.72,0.22,0.17,-,35,21.90,-0.29,10.06,,,
Jun,10,5.95,0.32,0.30,4,8,20.50,-0.40,14.41,,,
Jun,10,6.18,0.46,0.33,-,35,20.90,-0.54,12.81,,,
Jun,10,6.41,0.63,0.45,-,30,20.20,-0.68,9.83,,,
Jun,10,6.64,0.82,-,-,-,19.70,-0.83,8.23,,,
Jun,10,6.87,1.03,-,-,-,18.00,-1.00,7.32,,,
Jul,10,5.25,0.13,-,-,50,25.20,-0.16,4.71,,,
Jul,10,5.50,0.20,-,-,50,24.30,-0.23,7.06,,,
Jul,10,5.75,0.26,-,-,-,21.90,-0.31,9.41,,,
Jul,10,6.00,0.39,-,-,-,21.90,-0.43,13.94,,,
Jul,10,6.25,0.55,-,-,-,21.90,-0.55,10.68,,,
Jul,10,6.50,0.73,-,-,-,21.90,-0.68,8.33,,,
Jul,10,6.75,0.94,-,-,-,21.90,-0.80,6.88,,,
Sep,10,4.75,0.10,0.24,-,1,26.80,-0.09,2.72,,,
Sep,10,5.25,0.20,0.22,-,5,24.90,-0.18,5.57,,,
Sep,10,5.50,0.29,0.32,17,18,24.50,-0.24,8.01,,,
