Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:33 Friday 11/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.86,,,,,,,,,,,,
Jun,10,12.00,-,0.44,-,11,24.90,-,77.20,,,
Jun,10,12.50,-,0.02,-,60,24.90,-,3.51,,,
Jun,10,13.00,-,0.03,5,68,24.80,-,5.26,,,
Jun,10,13.50,0.00,0.01,83,62,24.80,-0.02,0.70,,,
Jun,10,14.00,0.03,0.05,33,193,24.20,-0.09,5.26,,,
Jun,10,14.50,0.09,0.31,10,118,20.30,-0.24,14.91,,,
Jun,10,15.00,0.28,0.32,3,124,19.20,-0.58,24.56,,,
Jun,10,15.50,0.66,0.85,-,74,18.80,-0.89,2.63,,,
Jun,10,16.00,1.14,0.69,-,-,18.80,-1.00,-,,,
Jun,10,16.50,1.64,-,-,-,18.80,-1.00,-,,,
Jul,10,12.50,0.00,0.12,-,1,21.30,-,0.15,,,
Jul,10,13.00,0.02,-,-,20,22.80,-0.04,1.00,,,
Jul,10,13.50,0.04,0.06,68,74,21.00,-0.08,2.26,,,
Jul,10,14.00,0.11,0.27,-,28,20.00,-0.17,5.26,,,
Jul,10,14.50,0.24,0.25,39,167,19.80,-0.32,12.03,,,
Jul,10,15.00,0.45,0.54,4,49,19.20,-0.51,15.54,,,
Jul,10,15.50,0.76,1.17,-,-,18.60,-0.72,5.76,,,
Jul,10,16.00,1.17,4.79,-,-,18.60,-0.90,1.25,,,
Jul,10,16.50,1.64,-,-,-,18.60,-1.00,-,,,
Aug,10,13.00,0.03,0.07,-,9,19.60,-0.05,0.96,,,
Aug,10,13.50,0.07,-,-,10,19.60,-0.11,2.39,,,
Aug,10,14.00,0.17,-,-,13,19.50,-0.20,5.26,,,
Aug,10,14.50,0.32,1.02,8,65,19.50,-0.33,10.05,,,
Aug,10,15.00,0.53,0.60,30,61,19.10,-0.49,12.44,,,
Aug,10,15.50,0.82,-,-,2,18.80,-0.66,5.90,,,
Aug,10,16.00,1.21,-,-,-,18.80,-0.82,2.07,,,
Aug,10,16.50,1.65,-,-,-,18.80,-0.97,0.32,,,
Sep,10,12.50,0.07,0.29,-,5,23.80,-0.06,1.75,,,
Sep,10,13.00,0.13,0.15,-,3,22.90,-0.10,3.04,,,
Sep,10,13.50,0.22,0.62,-,27,22.40,-0.16,5.15,,,
Sep,10,14.00,0.32,0.45,-,13,20.50,-0.23,7.37,,,
Sep,10,14.50,0.50,0.50,-,42,20.20,-0.35,11.70,,,
Sep,10,15.00,0.75,1.28,-,87,19.80,-0.48,14.15,,,
Sep,10,15.50,1.08,0.83,-,16,20.50,-0.61,10.29,,,
Sep,10,16.00,1.48,-,-,50,21.60,-0.72,7.84,,,
Sep,10,16.50,1.88,-,-,-,21.70,-0.84,5.61,,,
Oct,10,13.00,0.07,-,-,-,17.20,-0.07,1.32,,,
Oct,10,13.50,0.28,0.65,-,3,21.90,-0.18,4.82,,,
Oct,10,14.00,0.41,-,-,-,21.30,-0.26,7.28,,,
Oct,10,14.50,0.57,-,-,-,20.10,-0.35,10.09,,,
