Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:16 Thursday 1/4/2010. Processed 18:30 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
Apr,10,13.00,-,0.03,-,81,15.40,-,2.09,,,
Apr,10,13.50,0.00,0.04,-,93,15.40,-,-,,,
Apr,10,14.00,0.01,0.16,-,453,15.30,-0.03,0.75,,,
Apr,10,14.50,0.06,0.07,1,280,15.20,-0.15,4.59,,,
Apr,10,15.00,0.19,0.19,132,291,14.50,-0.41,15.87,,,
Apr,10,15.50,0.47,0.48,5,16,13.10,-0.78,3.76,,,
Apr,10,16.00,0.93,-,-,-,13.10,-1.00,-,,,
May,10,12.50,-,0.13,-,2,16.30,-,5.52,,,
May,10,13.00,0.00,0.20,-,19,16.20,-,-,,,
May,10,13.50,0.01,0.07,10,13,16.10,-0.03,0.42,,,
May,10,14.00,0.04,0.06,15,18,16.00,-0.09,1.91,,,
May,10,14.50,0.11,0.12,36,41,14.80,-0.20,4.67,,,
May,10,15.00,0.27,0.28,60,62,14.20,-0.41,11.26,,,
May,10,15.50,0.54,-,-,-,13.60,-0.68,4.46,,,
May,10,16.00,0.94,-,-,-,13.60,-0.96,0.42,,,
Jun,10,12.00,0.00,0.44,-,11,18.90,-,-,,,
Jun,10,12.50,0.02,0.02,1,57,22.50,-0.03,0.57,,,
Jun,10,13.00,0.05,0.09,-,33,22.50,-0.06,1.42,,,
Jun,10,13.50,0.05,0.05,6,71,18.30,-0.08,1.42,,,
Jun,10,14.00,0.08,0.10,27,181,16.20,-0.13,2.28,,,
Jun,10,14.50,0.17,0.18,51,66,15.40,-0.24,4.99,,,
