Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4882.7 at 14:54 31/12/2009  Report at 16:46 Thursday 31/12/2009. Processed 17:10 Thursday 31/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.06,,,,,,,,,,,,
Jan,10,12.50,-,-,93,158,15.60,-,-,,,
Jan,10,13.00,0.01,0.01,93,114,15.30,-0.02,0.54,,,
Jan,10,13.50,0.04,0.03,6,354,15.00,-0.14,4.03,,,
Jan,10,14.00,0.14,0.18,8,181,12.00,-0.40,12.98,,,
Jan,10,14.50,0.46,0.33,1,18,11.70,-0.86,1.79,,,
Jan,10,15.00,0.94,1.35,-,-,11.70,-1.00,-,,,
Feb,10,12.50,0.01,-,-,10,16.90,-0.03,0.46,,,
Feb,10,13.00,0.04,0.04,7,10,16.80,-0.09,1.82,,,
Feb,10,13.50,0.10,0.22,7,62,15.10,-0.20,4.55,,,
Feb,10,14.00,0.25,0.30,-,69,13.90,-0.41,11.16,,,
Feb,10,14.50,0.53,0.58,-,12,13.60,-0.71,4.10,,,
Feb,10,15.00,0.94,-,-,10,13.60,-1.00,0.23,,,
Mar,10,12.00,0.01,0.10,-,47,16.60,-0.01,0.31,,,
Mar,10,12.50,0.04,0.16,-,5,16.60,-0.05,1.22,,,
Mar,10,13.00,0.12,0.23,-,49,16.50,-0.12,3.51,,,
Mar,10,13.50,0.24,0.24,6,311,16.00,-0.24,7.33,,,
Mar,10,14.00,0.44,0.73,-,200,15.00,-0.41,13.44,,,
Mar,10,14.50,0.77,1.12,-,26,15.30,-0.63,10.08,,,
Mar,10,15.00,1.17,1.43,-,16,15.40,-0.85,6.87,,,
Mar,10,15.50,1.62,-,-,-,15.40,-1.00,5.34,,,
Mar,10,16.00,2.09,-,-,-,15.40,-1.00,4.58,,,
Jun,10,12.00,0.07,0.44,-,11,18.00,-0.06,1.11,,,
Jun,10,12.50,0.14,0.17,-,58,17.90,-0.11,2.14,,,
Jun,10,13.00,0.26,0.44,-,10,17.80,-0.19,3.84,,,
Jun,10,13.50,0.41,0.47,-,41,17.20,-0.28,6.05,,,
Jun,10,14.00,0.62,0.92,-,86,16.60,-0.40,9.15,,,
Jun,10,14.50,0.91,1.56,-,5,16.50,-0.55,6.93,,,
Jun,10,15.00,1.26,-,-,-,16.40,-0.71,4.79,,,
Jun,10,15.50,1.68,-,-,-,16.80,-0.87,3.54,,,
Jun,10,16.00,2.13,-,-,-,17.40,-1.00,2.80,,,
Sep,10,12.50,0.36,0.68,-,10,20.50,-0.17,3.50,,,
Sep,10,13.00,0.52,0.58,-,1,20.40,-0.24,5.06,,,
Sep,10,13.50,0.70,1.06,-,6,20.10,-0.31,6.85,,,
Sep,10,14.00,0.89,1.13,-,15,18.80,-0.40,8.65,,,
Sep,10,14.50,1.21,-,-,-,19.60,-0.50,7.49,,,
Sep,10,15.00,1.52,-,-,-,19.40,-0.61,5.64,,,
Sep,10,15.50,1.87,-,-,-,19.30,-0.72,4.18,,,
Dec,10,13.00,0.65,-,-,-,20.70,-0.25,4.71,,,
Dec,10,15.00,1.67,-,-,-,20.00,-0.57,5.26,,,
Jun,11,14.00,1.40,1.60,-,69,22.10,-0.37,6.73,,,
Dec,12,13.00,1.65,-,-,-,26.30,-0.28,3.94,,,
Jun,14,16.00,3.62,3.65,-,3,27.50,-0.47,2.65,,,
Jun,14,16.50,3.77,3.80,-,2,26.00,-0.55,2.11,,,
Jan,10,1.40,-,0.07,-,25,37.50,-,48.41,,,
Jan,10,1.48,0.00,0.11,-,28,36.90,-0.02,0.69,,,
Jan,10,1.57,0.01,0.03,-,55,36.20,-0.06,3.46,,,
Jan,10,1.66,0.01,0.06,-,91,35.60,-0.15,10.37,,,
Jan,10,1.75,0.03,0.10,-,253,31.10,-0.29,20.75,,,
Jan,10,1.85,0.06,0.15,-,20,24.10,-0.57,20.75,,,
Jan,10,1.96,0.16,-,-,-,32.30,-0.78,10.37,,,
Feb,10,1.57,0.03,0.05,-,658,39.90,-0.14,8.80,,,
Feb,10,1.66,0.04,0.07,-,60,38.80,-0.23,14.07,,,
Feb,10,1.75,0.06,0.10,-,39,33.30,-0.34,21.11,,,
Feb,10,1.85,0.10,-,-,-,30.80,-0.51,22.87,,,
Feb,10,1.96,0.18,-,-,-,35.20,-0.67,14.07,,,
Mar,10,1.13,-,-,-,55,37.80,-,-,,,
Mar,10,1.22,0.00,-,-,100,37.80,-,0.24,,,
Mar,10,1.40,0.01,-,-,175,37.60,-0.05,1.89,,,
Mar,10,1.48,0.01,0.06,-,282,37.50,-0.10,3.54,,,
Mar,10,1.57,0.03,0.09,-,72,37.40,-0.16,7.08,,,
Mar,10,1.66,0.06,0.12,-,163,36.60,-0.25,12.98,,,
Mar,10,1.75,0.08,0.44,-,123,34.00,-0.35,18.88,,,
Mar,10,1.96,0.20,0.42,-,90,34.40,-0.63,12.98,,,
Mar,10,2.40,0.58,-,-,1,34.50,-1.00,-,,,
Mar,10,2.62,0.80,0.94,-,27,34.60,-1.00,-,,,
Jun,10,1.10,0.01,-,-,55,47.00,-0.04,1.14,,,
Jun,10,1.20,0.02,-,-,140,46.50,-0.06,2.28,,,
Jun,10,1.30,0.03,0.14,15,135,45.10,-0.09,3.42,,,
Jun,10,1.40,0.05,0.12,-,55,45.60,-0.14,5.70,,,
Jun,10,1.50,0.07,-,-,143,45.10,-0.20,8.55,,,
Jun,10,1.60,0.10,0.11,15,93,42.50,-0.25,10.83,,,
Jun,10,1.70,0.13,0.13,15,115,40.60,-0.32,14.81,,,
Jun,10,1.80,0.17,0.16,2,2,39.50,-0.40,19.37,,,
Jun,10,1.90,0.23,-,-,-,39.50,-0.48,16.52,,,
Jun,10,2.00,0.29,-,-,-,39.50,-0.56,12.53,,,
Sep,10,1.40,0.09,0.17,-,28,48.10,-0.18,6.76,,,
Sep,10,1.60,0.17,-,-,-,49.30,-0.28,12.77,,,
Sep,10,1.70,0.17,-,-,-,41.80,-0.32,12.77,,,
Sep,10,1.80,0.22,-,-,-,41.30,-0.39,16.52,,,
Sep,10,1.90,0.30,-,-,-,46.80,-0.44,16.90,,,
Sep,10,2.00,0.37,-,-,-,46.80,-0.49,14.27,,,
Dec,10,1.57,0.20,-,-,-,50.40,-0.26,10.92,,,
Dec,10,1.66,0.23,-,-,10,50.40,-0.30,13.16,,,
Dec,10,1.75,0.28,-,-,-,50.40,-0.34,15.97,,,
Dec,10,1.96,0.39,-,-,-,48.90,-0.44,14.00,,,
Dec,10,2.18,0.54,0.76,-,206,48.50,-0.54,9.80,,,
Dec,12,1.13,0.17,0.25,-,3,51.90,-0.15,3.14,,,
Dec,12,1.31,0.24,-,-,25,51.90,-0.16,4.43,,,
Dec,12,1.66,0.41,-,-,-,51.90,-0.25,7.66,,,
Dec,12,1.75,0.47,-,-,-,51.90,-0.27,8.59,,,
Dec,12,1.96,1.04,-,-,-,97.20,-0.24,16.71,,,
Sep,14,1.70,0.40,-,-,-,43.00,-0.26,4.58,,,
Sep,14,1.80,0.58,0.63,-,72,54.30,-0.26,6.78,,,
Jan,10,4.35,-,0.08,-,-,21.90,-,16.16,,,
Jan,10,4.81,-,0.22,-,1,21.50,-,44.45,,,
Jan,10,5.26,-,0.17,-,40,21.20,-,34.34,,,
Jan,10,5.49,0.00,0.03,-,147,21.10,-0.01,0.40,,,
Jan,10,5.72,0.01,0.22,-,10,20.90,-0.06,2.02,,,
