Derivatives: Put Options - Weekly,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:09 Friday 24/9/2010. Processed 22:25 Sunday 26/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.95,,,,,,,,,,,,
Oct,10,13.00,-,0.04,-,4,16.90,-,2.62,,,
Oct,10,13.50,-,0.08,-,7,16.90,-,5.23,,,
Oct,10,14.00,0.00,0.03,-,4,16.80,-,-,,,
Oct,10,14.50,0.01,0.20,-,18,16.70,-0.02,0.52,,,
Oct,10,15.00,0.04,0.12,-,132,16.70,-0.09,2.29,,,
Oct,10,15.50,0.12,0.12,4,47,16.00,-0.24,7.52,,,
Oct,10,16.00,0.30,0.32,5,56,15.60,-0.49,16.35,,,
Oct,10,16.50,0.61,0.60,-,9,15.30,-0.76,4.25,,,
Oct,10,17.00,1.05,-,-,-,15.30,-1.00,0.33,,,
Nov,10,13.50,0.00,0.69,2,12,15.90,-,-,,,
Nov,10,14.00,0.01,0.21,11,55,15.90,-0.02,0.22,,,
Nov,10,14.50,0.03,-,-,25,15.90,-0.05,0.91,,,
Nov,10,15.00,0.07,0.07,12,29,15.90,-0.14,2.72,,,
Nov,10,15.50,0.20,0.19,34,31,16.10,-0.28,7.08,,,
Nov,10,16.00,0.39,0.60,-,5,15.80,-0.47,12.17,,,
Nov,10,16.50,0.68,0.66,45,20,15.20,-0.69,4.54,,,
Nov,10,17.00,1.08,-,-,-,15.20,-0.90,0.91,,,
Dec,10,13.00,0.00,0.55,-,22,16.50,-,-,,,
Dec,10,13.50,0.01,0.07,-,55,16.50,-0.01,0.15,,,
Dec,10,14.00,0.02,0.26,-,22,16.50,-0.04,0.50,,,
Dec,10,14.50,0.06,0.52,3,8,16.50,-0.09,1.38,,,
Dec,10,15.00,0.13,0.16,6,118,16.50,-0.17,3.27,,,
Dec,10,15.50,0.26,0.25,197,272,16.30,-0.30,6.54,,,
Dec,10,16.00,0.46,0.46,-,40,15.90,-0.45,10.18,,,
Dec,10,16.50,0.73,-,-,-,15.40,-0.64,4.53,,,
Dec,10,17.00,1.11,-,-,-,15.40,-0.83,1.38,,,
Dec,10,17.50,1.55,-,-,-,15.40,-1.00,0.13,,,
Jan,11,14.00,0.04,-,-,-,16.70,-0.06,0.82,,,
Jan,11,14.50,0.08,-,-,-,15.90,-0.10,1.45,,,
Jan,11,15.00,0.14,-,-,-,15.10,-0.18,2.63,,,
Jan,11,15.50,0.28,-,-,-,15.10,-0.30,5.09,,,
Jan,11,16.00,0.52,0.52,3,-,16.00,-0.44,8.45,,,
Jan,11,16.50,0.77,-,-,-,15.10,-0.61,3.90,,,
Jan,11,17.00,1.13,-,-,-,15.10,-0.79,1.36,,,
Feb,11,14.00,0.03,-,-,-,14.10,-0.04,0.45,,,
Feb,11,14.50,0.11,-,-,-,15.90,-0.12,1.56,,,
Feb,11,15.00,0.19,-,-,-,15.70,-0.20,2.82,,,
Feb,11,15.50,0.28,-,-,-,14.10,-0.29,4.16,,,
Feb,11,16.00,0.48,-,-,-,14.10,-0.44,6.39,,,
Feb,11,16.50,0.76,-,-,-,14.10,-0.61,3.12,,,
Feb,11,17.00,1.12,-,-,-,14.10,-0.80,1.04,,,
Mar,11,12.50,0.04,0.58,-,3,20.70,-0.03,0.44,,,
Mar,11,14.00,0.13,0.39,-,25,17.80,-0.10,1.63,,,
Mar,11,14.50,0.20,0.84,-,8,16.90,-0.14,2.45,,,
Mar,11,15.00,0.30,0.45,-,23,16.50,-0.22,3.83,,,
Mar,11,15.50,0.47,-,-,-,16.10,-0.31,5.85,,,
Mar,11,16.00,0.69,1.44,-,10,16.10,-0.43,7.98,,,
Mar,11,16.50,0.94,-,-,-,15.60,-0.57,4.97,,,
