Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
104.5,100.1,-,-,LEPHB,ALE Prop Grp 7.265un11,104.1,-,-,-,-,100,7.265sa,31/03/2011,30/09/11m,102.5,3.8
102.5,99,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,100.3,-,-,100.35,102.4,100,7.820q,14/04/2011,41099,100,5.4
105.25,100,101.95,101.95,BZBHA,Brookfield Bonds B 8.79%3m12,101.95,-,1.427,101.95,102.4,100,8.790q,14/04/2011,41236,100,4.9
109,104,-,-,HBSHA,Heritage Bldg Society 10%3mth19,108.3,-,-,108,110,100,10.000q,17/05/2011,27/10/14i,100,2.3
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,490.66,n/a,1/05/2011,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3161,n/a,1/05/2011,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,3318,n/a,1/05/2011,1/10/14m,-,n/a
Floating Rate Notes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
103.25,100,-,-,LEPHC,ALE Prop Grp frn3mth14,101,-,-,101,101.35,100,9.650q,17/05/2011,15/05/14i,100,4
77.5,19.71,76.5,76.5,AFPHA,Alpha Financial Prod ser1frn12,76.5,5,38.25,76.5,78.25,100,7.46sa,20/09/2011,20/03/12m,100,31.6
113.1,106.1,109.5,108.6,AQNHA,AMP Grp Finance frn apr19,109.5,7,77.013,108.5,109.5,100,9.660q,17/05/2011,15/05/14i,100,1.7
100.5,100,-,-,BENHA,Bendigo & Adelaide def,100.5,-,-,100.25,101,100,6.34,-,17/03/2014,-,-
78,62,-,-,BENHB,  cap. note,75.7,-,-,75.01,75.7,100,.00q,30/05/2011,undated,100,3.1
101,99.85,100.6,100.06,CBAHA,C'wlth Bank  of Aust bonddec15,100.1,9,88.335,100.16,100.6,100,6.017q,15/04/2011,24/12/15h,100,1.4
93.5,66.5,92.65,92.6,GINHA,Generator Income gennote2,92.6,1,12.043,92.6,94.1,100,6.982q,8/04/2011,8/10/11m,100,19.9
82,69,79.09,78.1,MBLHB,Macquarie Bank inc sec,79.09,31,242.903,78.8,79.09,100,6.64q,15/04/2011,undated,100,3.9
0.319,0.15,-,-,MFNHA,Macq Fortress frn aug35,0.255,-,-,0.26,0.295,1,n/a,31/03/2011,31/08/35m,1,n/a
84.5,73.2,84,82.3,NABHA,National Aust Bank natincsec,82.6,144,1190.02,82.5,83,100,6.16q,16/05/2011,undated,100,2.8
68,60.003,-,-,NXBHD,Nexus Bonds nexus4,68,-,-,67.5,68,100,7.37q,20/05/2011,23/06/15m,100,n/a
101.5,97.4,-,-,PRYHA,Primary Health Care bondsep15,99.25,-,-,98.1,99,100,9.032q,29/03/2011,28/09/15i,100,4.2
99.5,88.6,99,98.8,SAKHA,Sthn Cross Air skies,98.8,104,1029.23,98.9,99.1,100,6.840q,27/04/2011,1/01/12i,100,5.5
76,69,69.5,69.5,SBKHB,Suncorp-Metway cap. note,69.5,2,15.985,69.5,71.99,100,5.67q,15/05/2011,undated,100,3.8
107.5,102.2,105.65,104.98,TAHHA,Tabcorp Hldgs bondmay14,104.98,52,552.375,104.6,104.98,100,9.172q,17/05/2011,1/05/14i,100,2.8
100.5,95.62,99.64,99.05,WOWHB,Woolworths perp.frn,99.25,71,708.885,99.06,99.52,100,6.063q,15/06/2011,15/09/11i,100,3
Convertible Notes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.07,1.07,-,-,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.07,1,0.1,-,4/01/2015,-,-
1.3,0.8,-,-,AGIG,Ainsworth Game Tech 10% cn11,1.24,-,-,1.225,1.29,1.3,8.0sa,30/06/2011,31/12/11m,1.3,17.2
2.05,1.98,-,-,AZZG,Antares Energy 10% cn13,2.01,-,-,2.01,-,2,10.0q,30/04/2011,31/10/13h,2,10.4
0.52,0.195,-,-,BECG,Becton Property 9.5% cn12,0.23,-,-,0.19,0.21,0.65,9.5sa,30/06/2011,30/06/12m,0.65,100.9
0.95,0.88,-,-,CCYG,China Century Capitl 12%  cn12,0.95,-,-,0.92,0.95,1,12.0q,31/03/2011,30/09/10m,1,20.5
0.6,0.6,-,-,FARGA,FAR 15% cn12,0.6,-,-,-,-,0.45,0.15,-,31/01/2012,-,-
103,97.8,98.9,98.5,HLNG,Healthscope Notes 11.25% cn,98.9,16,159.814,98.5,98.7,100,11.25q,25/03/2011,17/06/16m,100,11.5
3,2.2,-,-,HSKG,Heemskirk Cons 8% cn11,3,-,-,2.9,3,3,12.0q,31/03/2011,29/04/11m,3,n/a
106,97.05,102.1,101.3,IANG,IAG Finance (NZ) exch.note,101.6,39,395.451,101.6,102.15,100,6.274q,15/06/2011,15/12/19h,100,3.7
