Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 19:06 Thursday 23/9/2010. Processed 14:26 Saturday 25/9/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,99.50,-,-,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,100.00,103.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,6.5
102.50,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,101.00,-,-,100.50,-,100.00,7.82,-,7/09/2012,-,-
105.25,100.00,-,-,BZBHA,Brookfield Bonds B 8.79%3m12,103.55,-,-,102.15,103.50,100.00,8.79,-,23/11/2012,-,-
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
109.00,102.00,-,-,HBSHA,Heritage Bld Soc 10%3mth19,108.00,-,-,108.00,108.10,100.00,10.000q,17/11/10,27/10/14i,100,2.6
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,965.66,n/a,1/11/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3543.00,n/a,1/11/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,3743.00,n/a,1/11/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,102.01,102.00,LEPHC,ALE Prop Grp frn3mth14,102.00,3,30.602,102.20,102.80,100.00,8.7,-,20/8/2014,-,-
40.00,10.196,40.00,38.00,AFPHA,Alpha Financial Prod ser1frn12,40.00,5,19.77,38.00,40.00,100.00,7.48sa,20/03/11,20/03/12m,100,74.8
114.00,106.10,110.75,109.90,AQNHA,AMP Grp Finance frn apr19,110.75,9,98.066,109.70,110.50,100.00,9.490q,17/11/10,15/05/14i,100,1.7
72.00,62.00,68.00,67.95,BENHB,Bendigo & Adelaide cap. note,68.00,5,30.592,66.00,68.00,100.00,.00q,30/11/10,undated,100,3.9
83.06,44.00,83.06,83.00,GINHA,Generator Income gennote2,83.00,39,324.961,82.55,83.00,100.00,6.840q,8/10/10,8/10/11m,100,23.4
83.00,67.10,74.95,73.05,MBLHB,Macq Bank Ltd inc sec,74.00,28,209.022,73.301,74.00,100.00,6.58q,15/10/10,undated,100,4.3
0.231,0.15,0.17,0.17,MFNHA,Macq Fortress frn aug35,0.17,293,4.988,0.17,0.212,1.00,n/a,30/09/10,31/08/35m,1,n/a
86.65,73.20,80.00,79.55,NABHA,National Aust Bank natincsec,79.80,245,1955.91,79.80,80.00,100.00,6.00q,15/11/10,undated,100,3.1
98.00,62.50,-,-,NXBHC,Nexus Bonds Ltd nexus3,97.00,-,-,97.60,98.49,100.00,7.61q,14/12/10,14/12/10m,100,19.2
66.00,55.00,66.00,65.50,NXBHD,  nexus4,66.00,4,27.524,65.50,66.00,100.00,7.00q,20/11/10,23/06/15m,100,n/a
96.00,82.01,95.50,95.20,SAKHA,Sthn Cross Air skies,95.30,101,959.239,95.05,97.50,100.00,6.640q,27/10/10,1/01/12i,100,7.3
72.00,61.05,-,-,SUNHB,Suncorp-Metway cap. note,67.80,-,-,67.90,69.00,100.00,5.50q,15/11/10,undated,100,3.9
107.95,102.20,105.10,104.50,TAHHA,Tabcorp Hldgs Ltd bondmay14,104.50,5,47.235,104.51,105.10,100.00,8.990q,17/11/10,1/05/14i,100,3.1
99.25,95.00,98.90,98.70,WOWHB,Woolworths Ltd perp.frn,98.90,15,144.529,98.80,98.90,100.00,5.920q,15/12/10,15/09/11i,100,2.5
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,-,-,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.07,1.00,0.1,-,1/04/2015,-,-
1.03,0.73,-,-,AGIG,Ainsworth Game Tech 10% cn11,1.00,-,-,1.00,1.04,1.30,8.0sa,31/12/10,31/12/11m,1.3,34.0
2.07,1.91,-,-,AZZG,Antares Energy 10% cn13,1.98,-,-,1.98,2.03,2.00,10.0q,31/10/10,31/10/13h,-,n/a
0.58,0.195,-,-,BECG,Becton Prop Grp 9.5% cn12,0.20,-,-,0.20,0.26,0.65,9.5sa,31/12/10,30/06/12m,0.65,79.7
0.23,0.10,0.16,0.16,BPKG,Bremer Park Ltd 7% cn10,0.16,1000,16,0.11,0.18,1.00,7.0sa,23/12/10,23/12/10m,1,n/a
0.19,0.12,-,-,CBDG,CBD Energy Ltd 12.5% cn,0.145,-,-,0.145,-,0.10,0.13,-,28/1/2011,-,-
0.95,0.64,-,-,CCYG,China Century Capitl 12%  cn12,0.90,-,-,0.76,0.83,1.00,12.0q,30/09/10,30/09/10m,1,n/a
1.07,0.911,-,-,DRAG,Dragon Min Ltd 10% cn11,1.07,-,-,1.065,-,1.05,10.0q,30/09/10,10/02/11m,1.05,11.6
0.60,0.60,-,-,FARGA,FAR Ltd 15% cn12,0.60,-,-,-,-,0.45,0.15,-,31/1/2012,-,-
2.76,2.20,2.70,2.70,HSKG,Heemskirk Cons 8% cn11,2.70,210,56.7,2.72,2.82,3.00,12.0q,30/09/10,29/04/11m,3,27.7
103.50,87.50,102.30,101.35,IANG,IAG Finance (Nz) exch.note,102.30,19,198.236,102.30,102.40,100.00,6.174q,15/12/10,15/12/19h,100,3.7
0.14,0.08,-,-,MSTG,Metal Storm Ltd 10% cn11,0.08,-,-,0.074,0.10,0.14,12.0q,22/12/10,1/09/11m,0.14,76.7
0.15,0.071,-,-,MSTGA,  sec cn11,0.072,-,-,0.071,0.145,0.135,-,-,9/01/2011,-,-
95.50,50.00,62.00,61.00,NFNG,Nufarm Finance (Nz) exc.nov11,62.00,49,301.506,61.50,62.00,100.00,6.710sa,15/10/10,24/11/11i,100,56.6
0.12,0.06,0.06,0.06,RSNG,Renison Cons 12% cn12,0.06,1,-,0.06,0.07,0.33,0.12,-,31/3/2012,-,-
1.35,0.675,1.29,1.29,RSGG,Resolute Min 12% cn12,1.29,20,2.515,1.30,1.32,0.50,12.0q,21/12/10,31/12/12m,-,n/a
100.00,94.99,99.25,99.25,SKAG,Skycity Invest aces,99.25,50,496.25,99.20,100.10,100.00,4.949q,15/12/10,15/12/10h,100,7.0
0.55,0.45,-,-,SURG,Sun Res NL 12%  cn11,0.45,-,-,-,-,0.55,12.0q,23/10/10,30/6/11m,0.55,41.9
0.27,0.08,-,-,VHLG,Virax Hldgs cn dec11,0.10,-,-,0.02,0.10,0.10,-,-,8/12/11m,0.12,n/a
Hybrid Securities ,,,,,,,,,,,,,,,,
106.00,99.00,105.20,104.34,ANZPA,ANZ Banking Grp pref,104.599,150,1572.62,104.40,104.58,100.00,5.544q,15/12/10,15/12/16i,100,2.2
103.58,95.50,103.00,102.121,ANZPB,  pref,102.30,67,686.279,102.15,102.89,100.00,5.124q,15/12/10,15/06/14i,100,1.9
91.20,75.997,91.00,90.60,AAZPB,Australand Assets assets,90.60,11,97.385,90.60,91.00,100.00,9.640q,30/09/10,undated,100,n/a
104.95,97.50,101.50,100.70,BOQPA,Bank of Qld reset prf,101.50,55,554.031,100.00,101.77,100.00,5.124sa,15/10/10,15/10/10h,100,n/a
95.25,81.50,91.60,91.50,BOQPC,  pref,91.60,4,35.616,91.00,91.60,100.00,4.767sa,15/10/10,17/12/12i,100,5.7
105.00,95.00,103.50,103.50,BENPA,Bendigo & Adelaide pref,103.50,-,5.175,103.50,104.90,100.00,6.16sa,1/11/10,1/11/12h,100,8.9
93.50,81.01,93.00,93.00,BENPB,  pref,93.00,4,39.99,91.62,93.00,100.00,4.424q,15/12/10,15/06/15h,100,2.7
95.20,82.00,93.00,92.00,BENPC,  pref,93.00,3,31.067,93.00,99.50,100.00,4.646q,10/10/10,10/10/14i,100,3.8
1.90,1.69,-,-,CAMPA,Clime Capital 7.5% pref,1.885,-,-,1.86,1.90,2.40,5.250q,6/10/10,30/04/17i,2.4,6.0
0.59,0.331,0.425,0.41,CMIPC,CMI Ltd pref.cl.a,0.41,510,21.66,0.41,0.43,1.20,11.67q,n/a,undated,-,n/a
212.00,201.75,212.00,211.75,CBAPA,C'wlth Bank  of Aust  perls v,211.90,34,717.487,211.90,212.00,200.00,5.690q,1/11/10,31/10/14i,200,2.1
197.29,187.00,197.29,196.50,CBAPB,  perls iv,197.25,40,777.797,196.60,197.00,200.00,4.045q,31/10/10,31/10/12i,200,2.3
89.95,79.15,89.95,88.10,DXRPA,Dexus Rents Tr rents,89.95,9,78.815,88.10,89.95,100.00,6.140q,18/10/10,1/07/12i,100,8.8
65.003,37.50,46.00,46.00,ELDPA,Elders Ltd hybrids,46.00,13,60.03,46.00,46.40,100.00,5.027q,30/09/10,30/06/11i,100,131.6
97.50,82.30,97.50,97.00,FXJPB,Fairfax Media Ltd pref,97.50,35,344.526,97.50,98.00,100.00,6.450sa,31/10/10,30/04/11i,100,11.0
75.00,61.00,73.30,72.50,GMPPA,Goodman Plus Tr stepup pf,73.00,18,133.824,72.80,73.00,100.00,6.730q,21/12/10,21/03/13i,100,16.3
81.00,50.55,72.85,72.50,GNSPA,Gunns Ltd forests,72.85,12,87.736,72.50,72.85,100.00,6.916q,14/10/10,undated,100,n/a
102.54,94.50,102.48,102.00,IAGPA,Insurance Aust Grp 5.63%pref,102.48,11,114.849,102.00,102.48,100.00,5.63sa,15/12/10,15/06/12h,100,7.9
111.00,103.51,109.75,109.00,MQCPA,Macq Cps Tr pref,109.00,11,123.105,109.00,109.20,100.00,11.10sa,31/12/10,30/06/13h,100,8.5
86.90,54.15,79.00,78.35,MXUPA,Multiplex Sites sites,78.70,45,351.825,78.35,78.70,100.00,8.740q,18/10/10,undated,100,6.8
98.25,89.05,97.50,97.00,ORIPB,Orica Ltd pref,97.50,41,401.115,97.10,97.50,100.00,6.415sa,30/11/10,30/11/11i,100,5.6
74.50,35.00,57.40,57.20,PXUPA,PaperlinX Sps Tr pref,57.20,3,15.65,57.05,57.20,100.00,7.365sa,31/12/10,30/06/12i,100,42.2
189.70,161.50,188.93,185.00,PCAPA,Preferred Capital perls iii,185.10,31,571.531,185.10,186.99,200.00,4.109q,6/10/10,6/04/16i,200,2.7
99.00,92.16,98.80,98.02,RHCPA,Ramsay Health Care cares,98.80,32,317.96,98.40,98.80,100.00,5.294sa,20/10/10,20/10/10i,100,n/a
