Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:29 Tuesday 6/7/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,93.75,104.50,104.50,LEPHB,ALE Prop Grp 7.265un11,104.50,5,52.25,104.50,105.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,7.0
100.00,99.50,-,-,ACDHC,Aust Central 9% un15,99.80,-,-,-,-,100.00,9.0q,31/07/10,31/07/10i,100,n/a
105.00,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,100.00,-,-,100.00,102.00,100.00,7.82,-,7/09/2012,-,-
103.50,100.00,100.45,100.45,BZBHA,Brookfield Bonds B 8.79%3m12,100.45,-,-,100.45,103.00,100.00,8.79,-,23/11/2012,-,-
970.00,430.00,-,-,CBHGA,CBH Res Ltd 7.25%cn12,970.00,-,-,1000.00,-,1000.00,7.25sa,15/09/10,3/05/12m,-,10.5
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,-,-,HBSHA,Heritage Bld Soc 10%3mth19,107.00,-,-,107.05,-,100.00,10.000q,17/08/10,27/10/14i,100,3.3
0.80,0.28,-,-,MSCHF,Minerals Corp 10.5%db11,0.29,-,-,-,-,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1198.00,n/a,1/09/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3667.00,n/a,1/09/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,3882.00,n/a,1/09/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,101.25,101.25,LEPHC,ALE Prop Grp frn3mth14,101.25,4,43.031,101.25,101.75,100.00,8.64,-,20/8/2014,-,-
34.15,7.70,-,-,AFPHA,Alpha Financial Prod ser1frn12,32.50,-,-,32.00,36.00,100.00,7.14sa,20/09/10,20/03/12m,100,85.4
114.00,106.10,107.00,106.70,AQNHA,AMP Grp Finance frn apr19,106.82,22,232.737,106.70,106.82,100.00,9.600q,17/08/10,15/05/14i,100,3.1
72.00,58.01,65.00,63.00,BENHB,Bendigo & Adelaide cap. note,63.00,6,35.305,63.00,65.00,100.00,5.66q,30/08/10,undated,100,4.9
80.00,32.00,78.00,76.50,GINHA,Generator Income gennote2,77.50,12,89.275,77.50,77.99,100.00,6.468q,8/07/10,8/10/11m,100,24.0
99.75,93.15,-,-,HLCHA,Halcyon Sec hlcnte10,99.551,-,-,99.551,100.00,100.00,8.03q,3/08/10,3/08/10m,100,n/a
83.00,65.60,69.50,69.00,MBLHB,Macq Bank Ltd inc sec,69.25,36,246.421,69.25,69.90,100.00,6.24q,15/07/10,undated,100,5.0
0.231,0.105,0.152,0.152,MFNHA,Macq Fortress frn aug35,0.152,239,3.632,0.152,0.161,1.00,n/a,30/09/10,31/08/35m,1,n/a
86.65,70.63,75.20,74.70,NABHA,National Aust Bank natincsec,75.00,107,805.077,74.90,75.00,100.00,6.10q,16/08/10,undated,100,3.7
97.00,47.50,-,-,NXBHC,Nexus Bonds Ltd nexus3,94.989,-,-,92.25,93.90,100.00,7.66q,14/09/10,14/12/10m,100,16.3
62.50,55.00,-,-,NXBHD,  nexus4,62.50,-,-,62.50,63.00,100.00,7.00q,20/11/10,23/06/15m,100,n/a
95.00,74.01,91.25,91.20,SAKHA,Sthn Cross Air skies,91.20,6,52.082,91.20,91.90,100.00,6.640q,27/07/10,1/01/12i,100,8.5
72.00,58.06,62.00,61.31,SUNHB,Suncorp-Metway cap. note,62.00,20,121.069,62.01,64.00,100.00,5.56q,15/08/10,undated,100,4.8
