Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:05 Friday 3/9/2010. Processed 17:33 Sunday 5/9/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,99.50,-,-,LEPHB,ALE Prop Grp 7.265un11,104.50,-,-,101.20,106.50,100.00,7.265sa,30/09/10,30/09/11m,102.5,8.3
102.50,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,101.50,-,-,101.50,101.95,100.00,7.82,-,7/09/2012,-,-
105.25,100.00,-,-,BZBHA,Brookfield Bonds B 8.79%3m12,105.25,-,-,104.39,105.40,100.00,8.79,-,23/11/2012,-,-
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
109.00,102.00,-,-,HBSHA,Heritage Bld Soc 10%3mth19,107.80,-,-,108.00,108.20,100.00,10.000q,17/11/10,27/10/14i,100,3.0
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,965.66,n/a,1/11/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3543.00,n/a,1/11/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,3743.00,n/a,1/11/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,101.90,101.90,LEPHC,ALE Prop Grp frn3mth14,101.90,2,20.38,101.90,102.00,100.00,8.7,-,20/8/2014,-,-
38.00,10.196,-,-,AFPHA,Alpha Financial Prod ser1frn12,36.60,-,-,36.00,40.00,100.00,7.14sa,20/09/10,20/03/12m,100,87.3
114.00,106.10,109.90,109.00,AQNHA,AMP Grp Finance frn apr19,109.89,13,147.621,109.40,109.89,100.00,9.490q,17/11/10,15/05/14i,100,1.9
72.00,62.00,65.20,65.10,BENHB,Bendigo & Adelaide cap. note,65.20,3,16.877,65.20,66.50,100.00,.00q,30/11/10,undated,100,4.1
82.00,44.00,81.05,81.05,GINHA,Generator Income gennote2,81.05,1,5.673,81.05,81.50,100.00,6.840q,8/10/10,8/10/11m,100,24.3
83.00,67.10,74.05,73.80,MBLHB,Macq Bank Ltd inc sec,73.80,16,119.587,73.80,74.05,100.00,6.58q,15/10/10,undated,100,4.4
0.231,0.15,-,-,MFNHA,Macq Fortress frn aug35,0.158,-,-,0.158,0.20,1.00,n/a,30/09/10,31/08/35m,1,n/a
86.65,73.20,78.00,76.90,NABHA,National Aust Bank natincsec,77.25,128,991.565,77.062,77.25,100.00,6.00q,15/11/10,undated,100,3.2
98.00,55.00,-,-,NXBHC,Nexus Bonds Ltd nexus3,97.00,-,-,96.00,-,100.00,7.66q,14/09/10,14/12/10m,100,14.1
65.50,55.00,-,-,NXBHD,  nexus4,65.00,-,-,64.21,66.00,100.00,7.00q,20/11/10,23/06/15m,100,n/a
96.00,82.01,95.90,95.75,SAKHA,Sthn Cross Air skies,95.75,8,76.675,95.75,95.90,100.00,6.640q,27/10/10,1/01/12i,100,6.4
72.00,59.00,65.70,65.70,SUNHB,Suncorp-Metway cap. note,65.70,1,6.57,65.70,66.00,100.00,5.50q,15/11/10,undated,100,4.0
107.95,102.20,104.50,103.70,TAHHA,Tabcorp Hldgs Ltd bondmay14,103.90,29,305.311,103.75,104.50,100.00,8.990q,17/11/10,1/05/14i,100,3.2
99.25,95.00,98.80,98.20,WOWHB,Woolworths Ltd perp.frn,98.80,22,214.397,98.50,98.80,100.00,6.008q,15/09/10,15/09/11i,100,2.2
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,-,-,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.07,1.00,0.1,-,1/04/2015,-,-
1.03,0.705,-,-,AGIG,Ainsworth Game Tech 10% cn11,1.00,-,-,1.001,1.02,1.30,8.0sa,31/12/10,31/12/11m,1.3,32.4
2.07,1.82,-,-,AZZG,Antares Energy 10% cn13,1.98,-,-,1.98,2.03,2.00,10.0q,31/10/10,31/10/13h,-,n/a
0.58,0.29,0.35,0.29,BECG,Becton Prop Grp 9.5% cn12,0.29,904,27.125,0.25,0.29,0.65,9.5sa,31/12/10,30/06/12m,0.65,49.9
