Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:06 Friday 24/9/2010. Processed 14:28 Saturday 25/9/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,99.50,-,-,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,100.00,103.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,6.6
102.50,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,101.00,-,-,100.50,-,100.00,7.82,-,7/09/2012,-,-
105.25,100.00,-,-,BZBHA,Brookfield Bonds B 8.79%3m12,103.55,-,-,102.15,103.50,100.00,8.79,-,23/11/2012,-,-
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
109.00,102.00,-,-,HBSHA,Heritage Bld Soc 10%3mth19,108.00,-,-,108.00,108.10,100.00,10.000q,17/11/10,27/10/14i,100,2.6
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,965.66,n/a,1/11/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3543.00,n/a,1/11/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,3743.00,n/a,1/11/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,-,-,LEPHC,ALE Prop Grp frn3mth14,102.00,-,-,102.20,103.25,100.00,8.7,-,20/8/2014,-,-
40.00,10.196,38.001,37.50,AFPHA,Alpha Financial Prod ser1frn12,37.50,5,17.08,38.10,38.00,100.00,7.48sa,20/03/11,20/03/12m,100,80.6
114.00,106.10,110.00,110.00,AQNHA,AMP Grp Finance frn apr19,110.00,1,7.81,110.00,110.25,100.00,9.490q,17/11/10,15/05/14i,100,2.0
72.00,62.00,68.00,68.00,BENHB,Bendigo & Adelaide cap. note,68.00,1,6.8,66.01,68.00,100.00,.00q,30/11/10,undated,100,3.9
83.06,44.00,83.05,83.00,GINHA,Generator Income gennote2,83.00,18,152.554,82.55,84.989,100.00,6.840q,8/10/10,8/10/11m,100,23.5
83.00,67.10,74.00,73.50,MBLHB,Macq Bank Ltd inc sec,74.00,14,102.87,73.60,74.00,100.00,6.58q,15/10/10,undated,100,4.2
0.231,0.15,-,-,MFNHA,Macq Fortress frn aug35,0.17,-,-,0.17,0.212,1.00,n/a,30/09/10,31/08/35m,1,n/a
86.65,73.20,79.85,79.80,NABHA,National Aust Bank natincsec,79.85,128,1020.49,79.80,79.90,100.00,6.00q,15/11/10,undated,100,3.1
98.00,62.50,-,-,NXBHC,Nexus Bonds Ltd nexus3,97.00,-,-,97.60,98.00,100.00,7.61q,14/12/10,14/12/10m,100,19.5
66.00,55.00,-,-,NXBHD,  nexus4,66.00,-,-,65.50,66.00,100.00,7.00q,20/11/10,23/06/15m,100,n/a
