Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:08 Tuesday 6/4/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,88.00,-,-,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,99.36,103.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,6.9
100.00,99.50,-,-,ACDHC,Aust Central 9% un15,99.80,-,-,-,-,100.00,9.0q,1/07/10,31/07/10i,100,10.4
105.00,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,-,102.00,100.00,7.82,-,7/09/2012,-,-
103.50,100.00,-,-,BZBHA,Brookfield Bonds B 8.79%3m12,102.00,-,-,100.10,102.00,100.00,8.79,-,23/11/2012,-,-
855.00,231.00,-,-,CBHGA,CBH Res Ltd 7.25%cn12,850.00,-,-,850.00,900.00,1000.00,7.25sa,15/09/10,3/05/12m,-,16.4
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,107.50,106.98,HBSHA,Heritage Bld Soc 10%3mth19,107.50,2,19.061,107.00,107.90,100.00,10.000q,17/05/10,27/10/14i,100,2.5
0.80,0.64,-,-,MSCHF,Minerals Corp 10.5%db11,0.64,-,-,0.52,0.70,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1426.00,n/a,1/05/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3851.00,n/a,1/05/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,4089.00,n/a,1/05/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.50,5.25,24.00,24.00,AFPHA,Alpha Financial Prod ser1frn12,24.00,-,-,23.51,24.00,100.00,7.14sa,20/09/10,20/03/12m,100,93.8
114.00,100.00,111.00,110.00,AQNHA,AMP Grp Finance frn apr19,110.00,6,71.839,109.60,111.00,100.00,8.977q,17/05/10,15/05/14i,100,3.3
72.00,54.00,66.00,65.50,BENHB,Bendigo & Adelaide cap. note,65.50,5,32.9,65.00,66.50,100.00,4.98q,31/05/10,undated,100,4.8
80.00,20.50,75.00,75.00,GINHA,Generator Income gennote2,75.00,1,7.5,74.00,77.45,100.00,6.130q,8/04/10,8/10/11m,100,22.8
98.25,92.75,98.25,98.25,HLCHA,Halcyon Sec hlcnte10,98.25,1,9.825,98.00,98.48,100.00,7.51q,3/05/10,3/08/10m,100,14.0
83.00,46.50,72.40,71.00,MBLHB,Macq Bank Ltd inc sec,71.50,6,46.497,71.50,72.48,100.00,5.97q,15/04/10,undated,100,4.9
0.231,0.05,-,-,MFNHA,Macq Fortress frn aug35,0.21,-,-,0.20,0.22,1.00,n/a,30/06/10,31/08/35m,1,n/a
86.65,64.01,77.239,76.85,NABHA,National Aust Bank natincsec,77.10,75,575.671,77.10,77.20,100.00,5.48q,17/05/10,undated,100,3.6
93.40,45.00,93.40,92.99,NXBHC,Nexus Bonds Ltd nexus3,93.40,4,33.299,92.00,93.999,100.00,7.18q,14/06/10,14/12/10m,100,14.1
61.00,43.50,-,-,NXBHD,  nexus4,61.00,-,-,60.50,62.50,100.00,6.70q,20/05/10,23/06/15m,100,n/a
95.00,59.90,92.00,91.25,SAKHA,Sthn Cross Air skies,92.00,35,325.852,91.28,92.39,100.00,6.218q,27/04/10,1/01/12i,100,7.1
72.00,49.00,65.05,64.50,SUNHB,Suncorp-Metway cap. note,64.50,15,97.7,64.50,65.05,100.00,4.98q,15/05/10,undated,100,4.7
107.95,101.20,107.05,106.50,TAHHA,Tabcorp Hldgs Ltd bondmay14,107.05,10,106.096,106.50,107.00,100.00,8.477q,17/05/10,1/05/14i,100,2.6
98.80,87.00,96.70,96.50,WOWHB,Woolworths Ltd perp.frn,96.70,8,77.497,96.70,97.30,100.00,5.530q,15/06/10,15/09/11i,100,3.8
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,-,-,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.05,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,-,-,AGIG,Ainsworth Game Tech 10% cn11,0.80,-,-,0.82,0.84,1.30,8.0sa,30/06/10,31/12/11m,1.3,43.8
2.07,1.25,-,-,AZZG,Antares Energy 10% cn13,2.02,-,-,2.02,2.05,2.00,10.0q,30/04/10,31/10/13h,-,n/a
0.95,0.34,-,-,AXOG,Aurox Res 7%cnjun10,0.95,-,-,0.95,0.953,0.95,7.0sa,30/06/10,30/06/10m,0.95,15.9
0.58,0.20,0.52,0.515,BECG,Becton Prop Grp 9.5% cn10,0.515,350,18.125,0.515,0.53,0.65,9.5sa,30/06/10,30/06/10m,0.65,172.3
0.23,0.12,-,-,BPKG,Bremer Park Ltd 7% cn10,0.12,-,-,0.12,-,1.00,7.0sa,30/06/10,23/12/10m,1,n/a
0.19,0.105,-,-,CBDG,CBD Energy Ltd 12.5% cn,0.135,-,-,0.12,-,0.10,0.13,-,28/1/2011,-,-
0.95,0.64,-,-,CCYG,China Century Capitl 12%  cn10,0.92,-,-,-,-,1.00,12.0q,30/09/10,30/09/10m,1,32.0
1.048,0.83,-,-,DRAG,Dragon Min Ltd 10% cn11,1.01,-,-,1.01,1.035,1.05,10.0q,30/06/10,10/02/11m,1.05,15.2
