Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4668.2 at 16:47 14/12/2009 Report at 19:20 Monday 14/12/2009. Processed 21:29 Monday 14/12/2009.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,81.00,-,-,LEPHB,ALE Prop Grp 7.265un11,101.60,-,-,101.10,102.25,100.00,7.265sa,31/03/10,30/09/11m,102.5,8.5
100.00,96.00,-,-,ACDHC,Aust Central 9% un15,99.50,-,-,96.40,-,100.00,9.0q,1/01/10,31/07/10i,100,13.1
105.00,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,102.00,-,100.00,7.82,-,7/09/2012,-,-
102.00,100.50,102.00,101.50,BZBHA,Brookfield Bonds B 8.79%3m12,101.50,9,86.323,101.50,105.00,100.00,8.79,-,23/11/2012,-,-
570.00,200.00,-,-,CBHGA,CBH Res Ltd 7.25%cn12,560.00,-,-,565.00,570.00,1000.00,7.25sa,15/03/10,3/05/12m,-,38.3
1200.00,1200.00,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,1200.00,-,500.00,50,-,14/7/2011,-,-
105.70,102.00,104.00,103.00,HBSHA,Heritage Bld Soc 10%3mth19,103.00,8,82.625,103.00,104.50,100.00,10,-,25/10/2019,-,-
0.90,0.80,0.85,0.85,MSCHE,Minerals Corp 10.5%db09,0.85,375,31.9,0.81,0.85,1.00,10.5,-,31/12/2009,-,-
-,-,-,-,LSBHB,Pentagon Capital lsbfr10,5697.365,-,-,-,-,4091.00,n/a,31/01/10,1/10/14m,-,n/a
-,-,-,-,LSBHA, lsbfr7,3905.657,-,-,-,-,1724.00,n/a,31/01/10,1/10/11m,-,n/a
5905.21,5905.21,-,-,LSBHF, lsbml10,5905.21,-,-,-,-,4362.00,n/a,31/01/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
28.00,5.25,-,-,AFPHA,Alpha Financial Prod ser1frn12,13.50,-,-,14.50,18.00,100.00,6.18sa,20/03/10,20/03/12m,100,129.4
114.00,100.00,109.00,107.50,AQNHA,AMP Grp Finance frn apr19,109.00,20,213.834,107.50,109.00,100.00,8.755q,17/02/10,15/05/14i,100,1.3
72.00,47.20,-,-,BENHB,Bendigo & Adelaide cap. note,64.25,-,-,64.30,67.30,100.00,4.80q,2/03/10,undated,100,4.9
53.00,13.00,48.00,48.00,GINHA,Generator Income gennote2,48.00,-,2.4,46.50,49.90,100.00,5.670q,8/01/10,8/10/11m,100,50.2
98.00,89.00,-,-,HLCHA,Halcyon Sec hlcnte10,96.849,-,-,96.31,96.77,100.00,7.37q,3/02/10,3/08/10m,100,10.4
83.00,29.00,75.10,75.00,MBLHB,Macq Bank Ltd inc sec,75.10,5,40.076,75.10,76.00,100.00,5.41q,15/01/10,undated,100,4.5
0.231,0.021,0.18,0.18,MFNHA,Macq Fortress frn aug35,0.18,150,2.7,0.18,0.21,1.00,n/a,31/12/09,31/08/35m,1,n/a
86.65,58.00,76.89,76.31,NABHA,National Aust Bank natincsec,76.80,95,726.159,76.55,76.80,100.00,5.255q,15/02/10,undated,100,3.6
98.50,60.00,-,-,NXBHB,Nexus Bonds Ltd frn dec09,98.50,-,-,-,-,100.00,6.61q,16/12/09,16/12/09m,100,n/a
75.50,45.00,72.00,72.00,NXBHC, nexus3,72.00,2,12.096,70.00,80.00,100.00,6.11q,14/03/10,14/12/10m,100,39.1
59.80,39.00,-,-,NXBHD, nexus4,55.35,-,-,56.00,57.997,100.00,6.70q,20/05/10,23/06/15m,100,n/a
92.00,58.00,90.10,88.90,SAKHA,Sthn Cross Air skies,90.00,35,317.463,89.00,90.50,100.00,5.170q,27/01/10,1/01/12i,100,8.1
72.00,35.00,66.00,66.00,SUNHB,Suncorp-Metway cap. note,66.00,5,34.65,64.10,66.00,100.00,4.80q,15/02/10,undated,100,4.4
107.85,101.20,105.85,105.70,TAHHA,Tabcorp Hldgs Ltd bondmay14,105.70,26,278.282,105.70,106.00,100.00,8.255q,17/02/10,1/05/14i,100,1.0
98.80,84.20,97.30,97.00,WOWHB,Woolworths Ltd perp.frn,97.20,103,995.668,97.00,97.20,100.00,4.555q,15/12/09,15/09/11i,100,3.6
Convertible Notes ,,,,,,,,,,,,,,,,
0.85,0.62,-,-,AGIG,Ainsworth Game Tech 8% cn11,0.82,-,-,0.85,0.95,1.30,8.0sa,31/12/09,31/12/09m,1.3,n/a
