Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4536.2 at 16:38 29/7/2010  Report at 19:05 Thursday 29/7/2010. Processed 19:13 Thursday 29/7/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,99.50,-,-,LEPHB,ALE Prop Grp 7.265un11,104.50,-,-,104.50,105.00,100.00,7.265sa,30/09/10,30/09/11m,102.5,7.5
100.00,99.50,-,-,ACDHC,Aust Central 9% un15,99.80,-,-,-,-,100.00,9.0q,31/07/10,31/07/10i,100,n/a
105.00,100.00,102.00,102.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,3,25.5,100.00,102.00,100.00,7.82,-,7/09/2012,-,-
103.50,100.00,-,-,BZBHA,Brookfield Bonds B 8.79%3m12,103.00,-,-,102.00,103.00,100.00,8.79,-,23/11/2012,-,-
970.00,450.00,-,-,CBHGA,CBH Res Ltd 7.25%cn12,970.00,-,-,990.10,-,1000.00,7.25sa,15/09/10,3/05/12m,-,11.0
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,106.50,106.00,HBSHA,Heritage Bld Soc 10%3mth19,106.00,3,31.908,106.00,106.50,100.00,10.000q,17/08/10,27/10/14i,100,3.7
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1198.00,n/a,2/09/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3667.00,n/a,2/09/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,3882.00,n/a,2/09/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
103.00,100.00,-,-,LEPHC,ALE Prop Grp frn3mth14,103.00,-,-,101.60,103.00,100.00,8.64,-,20/8/2014,-,-
34.15,10.00,-,-,AFPHA,Alpha Financial Prod ser1frn12,30.001,-,-,30.50,34.00,100.00,7.14sa,20/09/10,20/03/12m,100,98.2
114.00,106.10,110.70,110.00,AQNHA,AMP Grp Finance frn apr19,110.70,25,273.087,109.06,110.70,100.00,9.600q,17/08/10,15/05/14i,100,2.1
72.00,60.25,-,-,BENHB,Bendigo & Adelaide cap. note,63.75,-,-,64.00,66.90,100.00,5.66q,30/08/10,undated,100,4.9
80.00,34.00,76.50,76.30,GINHA,Generator Income gennote2,76.50,9,69.901,76.05,76.50,100.00,6.840q,8/10/10,8/10/11m,100,27.2
100.50,93.15,-,-,HLCHA,Halcyon Sec hlcnte10,100.30,-,-,-,-,100.00,8.03q,3/08/10,3/08/10m,100,n/a
83.00,67.10,73.00,72.25,MBLHB,Macq Bank Ltd inc sec,73.00,4,31.775,72.35,73.00,100.00,6.58q,15/10/10,undated,100,4.5
0.231,0.12,0.155,0.154,MFNHA,Macq Fortress frn aug35,0.154,100,1.545,0.154,0.17,1.00,n/a,30/09/10,31/08/35m,1,n/a
86.65,73.20,77.20,76.50,NABHA,National Aust Bank natincsec,77.20,118,902.726,77.00,77.20,100.00,6.10q,16/08/10,undated,100,3.3
97.00,49.001,-,-,NXBHC,Nexus Bonds Ltd nexus3,95.20,-,-,95.36,98.00,100.00,7.66q,14/09/10,14/12/10m,100,20.0
64.999,55.00,-,-,NXBHD,  nexus4,64.999,-,-,63.001,64.999,100.00,7.00q,20/11/10,23/06/15m,100,n/a
95.00,76.50,92.60,91.20,SAKHA,Sthn Cross Air skies,92.25,581,5317.64,92.20,93.00,100.00,6.640q,27/10/10,1/01/12i,100,8.4
72.00,58.06,64.55,64.20,SUNHB,Suncorp-Metway cap. note,64.55,6,36.769,64.55,65.50,100.00,5.56q,15/08/10,undated,100,4.5
107.95,102.20,106.75,106.10,TAHHA,Tabcorp Hldgs Ltd bondmay14,106.75,46,491.723,106.00,106.75,100.00,8.477q,17/08/10,1/05/14i,100,2.8
98.80,95.00,98.50,98.00,WOWHB,Woolworths Ltd perp.frn,98.003,48,472.252,97.81,98.50,100.00,6.008q,15/09/10,15/09/11i,100,3.8
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,-,-,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.07,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,0.90,0.87,AGIG,Ainsworth Game Tech 10% cn11,0.87,154,13.738,0.87,1.02,1.30,8.0sa,31/12/10,31/12/11m,1.3,42.1
2.07,1.81,-,-,AZZG,Antares Energy 10% cn13,2.00,-,-,1.80,-,2.00,10.0q,31/07/10,31/10/13h,-,n/a
