Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:06 Friday 24/9/2010. Processed 10:33 Sunday 26/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.55,2.65,-,-,ONT,1300 Smiles Ltd,3.27,,-,3.30,3.49,13.7,f,1.53,0.15,4.19,21,15.6,
0.18,0.07,-,-,TQH,3Q Hldgs Ltd,0.07,,-,0.07,0.08,-,,-,-0.07,-,0.84,8.3,
0.048,0.015,-,-,FCS,4C Sec Solution,0.031,,-,0.031,0.038,-,,-,0.10,-,-0.58,-,
0.275,0.03,-,-,AAY,Aacl Hldgs Ltd,0.056,,-,0.056,0.07,-,,-,-,-,-,-,
0.48,0.365,0.42,0.41,ABP,Abacus Prop stp,0.42,,23000,0.415,0.42,3.9,,0.39,0.58,9.29,1.53,27.5,
1.47,1.21,-,-,ALR,Aberdeen Leaders,1.30,,-,1.28,1.30,9.5,f,1.08,1.29,7.31,10.29,12.6,
2.60,1.51,2.19,2.15,ACR,Acrux Ltd,2.19,1,211,2.15,2.20,-,,-,-,-,29.08,7.5,
0.11,0.027,0.11,0.11,ACW,Actinogen Ltd,0.11,,100,0.10,0.13,-,,-,0.03,-,-1.85,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,0.02,-,,-,-,-,-,-,
0.013,0.002,-,-,ACU,Acuvax Ltd,0.002,,-,0.002,0.003,-,,-,-,-,-0.34,-,
0.69,0.30,0.30,0.30,ADA,Adacel Tech,0.30,-3.5,300,0.305,0.325,-,,-,0.19,-,-3.5,-,
0.305,0.145,0.20,0.20,AAU,Adcorp Aust,0.20,,72,0.20,0.21,-,,-,0.08,-,-11.03,-,
3.46,2.293,3.38,3.30,ABC,Adelaide Brighton,3.35,-2,8628,3.34,3.37,15.5,f,1.52,1.16,4.63,23.6,14.2,
1.56,0.22,0.245,0.22,AYT,Adelaide Managed unt,0.23,-3.5,25481,0.23,0.235,15.35,,0.14,1.64,66.74,2.11,10.9,
0.118,0.05,0.06,0.06,ADQ,ADG Global Supply,0.06,-0.4,433,0.06,0.072,-,,-,0.01,-,-1.09,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,0.009,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.002,,-,0.002,0.003,-,,-,-,-,-0.56,-,
4.19,2.75,3.97,3.97,ADG,Adtrans Grp,3.97,-2,74,3.97,4.00,23,f,1.60,2.54,5.79,36.7,10.8,
0.019,0.008,0.014,0.014,ASC,Adultshop Com,0.014,-0.2,25,0.014,0.016,-,,-,0.02,-,-0.43,-,
0.008,0.002,-,-,ASCO,  opt dec11,0.004,,-,0.004,0.006,-,,-,-,-,-,-,
0.034,0.014,0.015,0.014,ABV,Adv Braking Tech,0.015,,5270,0.014,0.015,-,,-,-,-,-0.16,-,
0.64,0.33,0.39,0.38,AMT,Adv Surg Dsgn & Mnft,0.38,-4,278,0.38,0.39,-,,-,0.16,-,-1.31,-,
0.125,0.035,-,-,AES,Advanced Energy,0.035,,-,0.04,0.064,-,,-,0.01,-,-0.1,-,
0.093,0.031,0.035,0.035,ACE,Advanced Engine,0.035,0.1,241,0.035,0.04,-,,-,-0.03,-,-2.3,-,
0.07,0.03,0.049,0.045,ANM,Advanced Magnesium,0.049,0.6,1247,0.045,0.049,-,,-,0.03,-,-1.66,-,
0.90,0.235,0.80,0.795,ASW,Advanced Share,0.80,1,253,0.725,0.79,3.6,f,1.00,0.11,4.50,3.61,22.2,
0.39,0.055,0.315,0.315,AEI,Aeris Environmental,0.315,1.5,238,0.30,0.315,-,,-,0.01,-,-1.93,-,
1.83,1.01,1.775,1.77,AVE,Aevum Ltd,1.77,,3749,1.77,1.775,5,,3.84,2.02,2.82,19.2,9.2,
0.002,0.001,-,-,AFT,AFT Corp,0.001,,-,0.001,0.002,-,,-,-,-,-,-,
0.047,0.017,0.04,0.038,AGX,Agenix Ltd,0.038,-0.1,2576,0.038,0.04,-,,-,0.01,-,0.54,7.0,
0.01,0.005,-,-,AGXO,  opt jun11,0.005,,-,0.002,0.019,-,,-,-,-,-,-,
16.24,13.43,16.03,15.90,AGK,AGL Energy Ltd,15.95,-10,9192,15.95,16.01,59,,1.34,5.89,3.70,79.3,20.1,
0.175,0.121,-,-,AGJ,Agricultural Land unt,0.135,,-,0.13,0.18,2.02,,1.11,0.37,14.96,2.25,6.0,
2.45,1.80,-,-,AHC,AHC Ltd,1.80,,-,1.70,1.80,-,,-,4.94,-,-0.31,-,
16.50,13.95,-,-,ENY,Aii200energy etf unt,15.34,,-,15.24,15.34,-,,-,-,-,-,-,
5.09,4.18,-,-,FIN,Aii200financials etf unt,4.62,,-,4.54,4.57,-,,-,-,-,-,-,
