ASX Industrials Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:09 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,13.481,.929,1.379,.166,.45,15.60,27.80,25.3,19.20,1.45,2.74,f,1300 Smiles,-,7.02,+2,6.98,7.09,7.02,6.95,-1.64,7.28,5.72,
1ST,183.055,20.962,-,.006,-,-,-,-,-,-,-,,1ST Available,-,.098,-1.2,.096,.11,.115,.098,-12.83,.22,.095,
TIX,254.214,28.771,22.393,.374,2.34,1.04,35.50,6.8,21.00,1.69,8.64,,360 Capital Indust,-,2.43,+2,2.43,2.53,2.53,2.40,-1.09,2.79,2.17,
TGP,531.923,40.143,33.546,.244,.71,1.38,10.60,9.2,5.75,1.84,5.87,,360 Capital Grp,-,.98,-,.97,1.00,1.015,.965,-1.92,1.41,.88,
TOF,130.462,18.152,24.685,.149,2.14,.95,16.40,12.4,17.00,.96,8.37,,360 Capital Office,-,2.03,+2,2.03,2.05,2.07,1.985,-.93,2.24,1.925,
TOT,99.818,4.328,-,.043,-,-,-10.50,-,2.81,-,2.58,,360 Capital Total Re,-,1.09,+2,1.05,1.10,1.09,1.05,-.05,1.35,1.00,
3DM,516.625,370.322,732.165,.025,.01,7.80,-3.60,-,-,-,-,,3D Medical,X,.078,+.3,.076,.079,.08,.075,+2.08,.195,.004,
3PL,826.933,36.060,21.996,.256,.12,15.83,3.04,62.5,1.80,1.69,.95,f,3P Learning,-,1.90,+2.5,1.89,1.92,1.955,1.86,-.59,2.85,1.84,
8CO,-,2.266,2.123,.003,-,-,-.02,-,-,-,-,,8common,-,.20,-,.11,.20,.20,.20,-1.92,.25,.145,
8IH,195.000,19.800,-,.298,-,-,-,-,-,-,-,,8I Hldgs,-,.835,+3.5,.755,.84,.845,.70,+2.45,1.13,.25,
NNW,317.292,42.549,59.935,.025,.04,4.13,.06,275.0,-,-,-,,99 Wuxian,-,.165,-1.5,.165,.175,.19,.165,-10.26,.495,.15,
AYI,600.050,198.282,153.529,.010,-,-,-.05,-,-,-,-,,A1 Invest & Res,-,.001,-,-,.001,.001,.001,-1.92,.001,.001,
ABP,5361.60,135.284,125.861,1.756,2.49,1.27,25.46,12.5,17.00,1.50,5.36,,Abacus Prop,-,3.17,+9,3.16,3.19,3.18,3.055,+1.00,3.337,2.49,
ALR,148.645,4.178,5.649,.064,1.14,.91,3.33,31.2,7.00,.48,6.73,f,Aberdeen Leaders,-,1.04,-1.5,1.045,1.065,1.055,1.04,-3.34,1.24,1.02,
AKG,41.867,5.780,6.081,.021,-.06,-,.90,37.2,4.50,.20,13.43,f,Academies A'asia,-,.335,-,.33,.425,.35,.33,-1.92,1.27,.31,
ACX,1855.15,25.463,-,.710,-,-,11.00,39.1,-,-,-,,Aconex,-,4.30,+30,4.15,4.34,4.35,3.99,+5.58,4.50,1.65,
ACQ,935.287,13.725,7.326,.037,.88,.83,-5.82,-,-,-,-,,Acorn Capital Invest,-,.73,+2,.725,.75,.74,.71,+.89,.90,.68,
ACQO,-,7.174,8.319,-,-,-,-,-,-,-,-,,  opt oct15,-,.001,-,-,.001,.001,.001,-1.92,.026,.001,
ACR,980.662,108.729,328.404,.101,.12,5.04,6.70,9.0,6.00,1.12,9.92,f,Acrux,-,.605,-,.605,.61,.63,.60,-1.92,1.645,.575,
ACW,1147.30,176.656,24.195,.030,.02,2.50,-1.32,-,-,-,-,,Actinogen,-,.05,-.3,.05,.052,.053,.05,-7.58,.15,.035,
ACWOA,-,1.193,.260,-,-,-,-,-,-,-,-,,  opt sep15,-,.002,-,-,.005,.002,.002,-1.92,.006,.001,
ACU,789.530,119.034,24.313,.008,.03,3.00,-5.04,-,-,-,-,,Acuvax,X,.09,-.2,.09,.093,.091,.088,-4.10,.215,.001,
ADA,209.518,6.836,.692,.082,.15,6.90,5.00,20.7,2.00,2.50,1.93,,Adacel Tech,-,1.035,+8,1.03,1.035,1.04,1.00,+6.45,1.07,.20,
ADH,2699.69,58.885,-,.430,-,-,-,-,-,-,-,,Adairs,-,2.59,+1,2.59,2.70,2.69,2.47,-1.54,2.95,2.46,
AAU,9.344,1.287,2.989,.002,-.01,-,.22,18.2,-,-,-,,Adcorp Aust,-,.04,-.3,.033,.04,.043,.04,-8.90,.059,.035,
ABC,6329.96,270.312,347.004,2.913,1.39,3.23,31.70,14.2,17.50,1.81,3.90,f,Adelaide Brighton,-,4.49,+8,4.42,4.54,4.54,4.35,-.11,5.005,3.12,
ADR,617.417,16.503,-,.068,-,-,-,-,-,-,-,,Adherium,-,.635,+2.5,.59,.64,.635,.57,+2.18,.71,.55,
AHZ,10432.9,788.226,707.206,.122,.02,3.30,-1.65,-,-,-,-,,ADMEDUS,-,.066,-,.066,.068,.072,.066,-1.92,.162,.057,
ADJ,1948.25,187.371,395.462,.086,-,-,-.89,-,-,-,-,,Adslot,-,.081,+.1,.081,.082,.082,.077,-.67,.14,.068,
ABV,3558.61,185.156,89.988,.013,-,-,-.19,-,-,-,-,,Adv Braking Tech,-,.009,-.1,.008,.009,.009,.008,-11.92,.013,.003,
