ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4596.9 at 16:34 29/1/2010  Report at 19:06 Friday 29/1/2010. Processed 19:16 Sunday 31/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,8,0.058,0.014,0.056,0.13,21.2,18.7,14.7,11.4,1.64,4.15,f,1300 Smiles Ltd,,2.75,5,2.68,2.73,2.75,2.70,5.52,3.00,2.50
TQH,54.371,0.059,0.126,0.022,-0.10,-,1.07,13.6,-,-,-,,3Q Hldgs Ltd,,0.145,-1.5,0.11,0.16,0.16,0.14,-5.71,0.19,0.105
FCS,1046.93,1.508,0.011,0.001,0.03,0.6,-4.2,-,-,-,-,,4C Sec Solution,,0.018,-0.2,0.018,0.023,0.021,0.018,-6.33,0.09,0.015
ABP,15227.2,59.665,90.522,0.683,0.62,0.6,-11.81,-,5.75,-,14.74,,Abacus Prop stpld,,0.39,-1.5,0.385,0.39,0.40,0.385,-0.04,0.48,0.216
ALR,191.933,0.604,0.3,0.082,1.52,0.9,-21.34,-,9,-,6.45,f,Aberdeen Leaders,,1.395,0.5,1.365,1.395,1.42,1.365,4.03,1.45,0.90
ACR,503.449,3.496,8.64,0.321,0.09,22.2,-4.84,-,-,-,-,,Acrux Ltd,,2.00,4,1.97,2.00,2.09,1.965,5.71,2.54,0.42
ACW,60,0.162,0.016,0.002,0.05,1.2,-2.32,-,-,-,-,,Actinogen Ltd,,0.06,0.5,0.05,0.075,0.06,0.05,12.76,0.10,0.017
ACWO,-,-,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,3.67,0.004,0.001
ACU,276.544,1.663,1.89,0.011,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.017,,0.017,0.019,0.017,0.015,3.67,0.05,0.012
ADA,211.518,0.381,0.208,0.039,0.22,2.1,8.2,5.7,-,-,-,,Adacel Tech,,0.47,-7.5,0.47,0.475,0.545,0.43,-10.09,0.84,0.325
AAU,83.333,0.358,0.205,0.013,0.08,2.6,0.45,45.6,1,0.45,4.88,,Adcorp Aust,,0.205,-2.5,0.21,0.245,0.235,0.205,-7.20,0.31,0.165
ABC,5486.92,26.353,17.392,1.566,1.15,2.1,20.8,11.9,14,1.49,5.67,f,Adelaide Brighton,,2.47,-13,2.47,2.48,2.59,2.45,-1.33,3.01,1.445
AYT,232.812,0.705,0.457,0.136,1.78,0.8,12.59,10.9,15.47,0.81,11.29,,Adelaide Managed unt,,1.37,2,1.31,1.37,1.38,1.30,5.15,1.76,1.10
ADQ,-,0.288,-,0.007,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.06,,0.06,0.064,0.06,0.06,3.67,0.142,0.058
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,-,,0.002,0.02,-,-,-,-,-
ADL,850,2.961,0.662,0.003,0.01,0.8,-2.68,-,-,-,-,,Admerex Ltd,,0.008,,0.008,0.009,0.01,0.008,3.67,0.016,0.004
ADG,30.8,0.073,0.051,0.088,2.37,1.5,27.9,12.5,16,1.74,4.57,f,Adtrans Grp,,3.50,15,3.40,3.70,3.50,3.20,8.14,3.53,1.65
ASC,2215.21,13.37,17.661,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,-0.2,0.01,0.012,0.011,0.01,-13.00,0.014,0.003
ASCO,397.942,1.863,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,-0.1,0.002,0.004,0.004,0.003,-21.33,0.005,0.002
ABV,2038,4.227,1.711,0.019,0.01,2.5,-0.36,-,-,-,-,,Adv Braking Tech,,0.025,-0.3,0.024,0.025,0.027,0.023,-7.05,0.038,0.005
AMT,5.1,0.008,0.034,0.009,0.20,2.5,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.50,-7,0.35,0.50,0.57,0.50,-8.61,0.64,0.28
AES,10,0.057,0.166,0.022,0.01,5.0,-0.06,-,-,-,-,,Advanced Energy,,0.05,0.2,0.05,0.065,0.05,0.05,7.83,0.085,0.02
ACE,1055.55,1.443,0.817,0.008,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.053,0.4,0.05,0.055,0.058,0.049,11.83,0.093,0.031
ANM,105.891,1.193,0.556,0.015,0.01,6.8,-3.07,-,-,-,-,,Advanced Magnesium,,0.068,0.1,0.067,0.068,0.07,0.067,5.16,0.124,0.014
ASW,377.993,0.857,0.2,0.017,0.09,4.6,2.1,19.5,2,1.05,4.88,f,Advanced Share,,0.41,,0.39,0.41,0.41,0.39,3.67,0.435,0.15
AEI,25,0.226,0.019,0.01,0.01,10.5,-2.31,-,-,-,-,,Aeris Environmental,,0.105,0.5,0.10,0.105,0.105,0.105,8.67,0.185,0.05
AVE,128.199,0.561,0.575,0.18,2.07,0.7,-9.7,-,4,-,2.86,,Aevum Ltd,,1.40,-4,1.38,1.45,1.48,1.40,0.89,1.67,0.545
AVEN,29.94,0.03,-,0.068,-,-,-,-,-,-,-,,  def x ior,,1.40,,1.40,-,1.41,1.40,-,1.41,1.40
