ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4656.3 at 16:34 19/2/2010  Report at 19:06 Friday 19/2/2010. Processed 14:56 Sunday 21/2/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,47.216,0.122,0.025,0.057,0.13,21.5,18.7,15.0,11.4,1.64,4.07,f,1300 Smiles Ltd,,2.80,5,2.75,2.80,2.80,2.75,0.35,3.00,2.50
TQH,-,0.547,0.128,0.015,-0.10,-,1.07,9.3,-,-,-,,3Q Hldgs Ltd,,0.10,,0.135,0.19,0.10,0.10,-1.47,0.18,0.10
FCS,47.301,1.565,0.1,0.002,0.03,0.6,-4.2,-,-,-,-,,4C Sec Solution,,0.019,0.3,0.021,0.023,0.019,0.019,17.28,0.083,0.015
ABP,29090.4,122.675,120.555,0.683,0.60,0.7,-2.32,-,5.75,-,14.74,,Abacus Prop stpld,,0.39,,0.385,0.39,0.395,0.365,-1.47,0.48,0.226
ALR,128.249,0.976,0.389,0.079,1.41,0.9,7.67,17.4,9,0.85,6.74,f,Aberdeen Leaders,,1.335,1.5,1.335,1.38,1.38,1.31,-0.33,1.45,0.90
ACR,1701.44,7.141,9.694,0.322,0.09,22.3,-4.84,-,-,-,-,,Acrux Ltd,,2.01,22,1.97,2.01,2.05,1.795,10.82,2.54,0.42
ACW,5.78,0.22,0.037,0.003,0.05,1.4,-2.32,-,-,-,-,,Actinogen Ltd,,0.07,,0.051,0.069,0.07,0.07,-1.47,0.10,0.017
ACWO,-,0.006,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-1.47,0.004,0.001
ACU,3945.33,6.397,3.846,0.009,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.014,,0.014,0.015,0.016,0.012,-1.47,0.05,0.012
ADA,43.455,0.659,0.276,0.033,0.22,1.8,8.2,4.9,-,-,-,,Adacel Tech,,0.405,-1.5,0.405,0.445,0.445,0.395,-5.04,0.84,0.325
AAU,175.2,0.815,0.393,0.014,0.08,2.8,0.45,50.0,1,0.45,4.44,,Adcorp Aust,,0.225,2.5,0.20,0.23,0.225,0.19,11.03,0.31,0.165
ABC,29845.6,69.603,31.943,1.604,1.21,2.1,20.4,12.4,13.5,1.51,5.34,f,Adelaide Brighton,,2.53,6,2.50,2.54,2.73,2.46,0.96,3.01,1.445
AYT,387.762,1.453,4.358,0.131,1.78,0.7,12.59,10.5,13.82,0.91,10.47,,Adelaide Managed unt,,1.32,0.5,1.31,1.32,1.32,1.305,-1.09,1.575,1.10
ADQ,612.691,0.903,0.071,0.007,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.06,,0.062,0.065,0.064,0.06,-1.47,0.123,0.058
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,-,,0.001,0.023,-,-,-,-,-
ADL,2300,6.76,0.853,0.003,0.01,0.7,-2.68,-,-,-,-,,Admerex Ltd,,0.007,,0.006,0.008,0.008,0.007,-1.47,0.016,0.004
ADG,361.772,0.551,0.053,0.089,2.37,1.5,27.9,12.8,16,1.74,4.49,f,Adtrans Grp,,3.56,6,3.50,3.70,3.56,3.47,0.24,3.56,1.65
ASC,3870.67,35.025,17.911,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,,0.01,0.011,0.011,0.01,-1.47,0.014,0.004
ASCO,-,1.863,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.001,0.003,0.003,0.003,-1.47,0.005,0.002
ABV,542.5,7.336,5.961,0.016,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.021,-0.1,0.021,0.023,0.023,0.021,-6.02,0.038,0.005
AMT,24.666,0.052,0.041,0.01,0.20,2.6,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.52,2,0.52,0.55,0.53,0.50,2.53,0.64,0.28
AES,-,0.096,0.17,0.022,0.01,5.0,-0.06,-,-,-,-,,Advanced Energy,,0.05,,0.025,0.05,0.05,0.05,-1.47,0.085,0.02
ACE,762.534,3.714,1.734,0.008,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.055,0.5,0.053,0.059,0.06,0.05,8.53,0.093,0.031
ANM,174.403,1.794,0.817,0.012,0.01,5.5,-3.07,-,-,-,-,,Advanced Magnesium,,0.055,-0.5,0.055,0.059,0.062,0.053,-9.80,0.124,0.014
ASW,284.944,1.7,0.323,0.017,0.09,4.7,2.1,20.0,2.75,0.76,6.55,f,Advanced Share,,0.42,3.5,0.40,0.42,0.42,0.385,7.62,0.435,0.15
AEI,53.15,0.434,0.045,0.009,0.01,9.5,-2.31,-,-,-,-,,Aeris Environmental,,0.095,0.5,0.09,0.095,0.095,0.095,4.09,0.185,0.05
AVE,10618.8,11.996,1.235,0.214,2.07,0.6,4.2,28.8,4,1.05,3.31,,Aevum Ltd,,1.21,-2,1.20,1.22,1.23,1.12,-3.10,1.67,0.545
AFT,65168,455.07,8.5,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.002,0.001,-1.47,0.002,0.001
AGK,3898.73,39.617,35.262,6.221,6.00,2.3,358,3.9,54,6.63,3.90,f,AGL Energy Ltd,,13.86,12,13.80,13.86,13.90,13.68,-0.60,15.46,12.83
