ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4437.0 at 16:39 16/7/2010  Report at 19:06 Friday 16/7/2010. Processed 12:51 Sunday 18/7/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,62.34,1.431,0.183,0.068,0.08,40.1,19.23,16.7,12.5,1.54,3.89,f,1300 Smiles Ltd,,3.21,6,3.11,3.21,3.22,3.19,1.40,3.22,2.50,
TQH,-,0.893,0.611,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.035,0.095,0.11,0.11,-0.51,0.18,0.095,
FCS,-,3.238,1.565,0.003,0.01,2.3,-2.77,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.034,0.023,0.023,-0.51,0.05,0.015,
AAY,-,3.715,-,0.006,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.11,,0.12,0.15,0.11,0.11,-0.51,0.275,0.07,
ABP,18319.8,669.71,649.171,0.716,0.60,0.7,-2.32,-,3.9,-,9.87,,Abacus Prop stp,,0.395,,0.395,0.40,0.40,0.38,-0.51,0.48,0.33,
ALR,131.141,2.857,1.656,0.074,1.21,1.0,7.67,16.0,9.5,0.81,7.72,f,Aberdeen Leaders,,1.23,,1.22,1.23,1.23,1.215,-0.51,1.47,1.20,
ACR,213.387,41.574,27.62,0.286,0.06,29.7,-2.84,-,-,-,-,,Acrux Ltd,,1.78,-2,1.78,1.79,1.80,1.755,-1.62,2.60,1.10,
ACW,-,0.965,1.135,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.027,,0.023,0.027,0.027,0.027,-0.51,0.095,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.001,0.001,0.001,-0.51,0.003,0.001,
ACU,350,38.862,8.104,0.003,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.004,0.1,0.003,0.004,0.004,0.004,32.82,0.035,0.003,
ADA,25.8,3.773,1.58,0.026,0.21,1.5,2.7,11.5,-,-,-,,Adacel Tech,,0.31,1,0.31,0.33,0.33,0.31,2.82,0.84,0.30,
AAU,66.134,4.798,3.102,0.01,0.07,2.4,-2.18,-,-,-,-,,Adcorp Aust,,0.17,-3,0.17,0.19,0.205,0.17,-15.51,0.305,0.145,
ABC,11116.3,315.389,459.439,1.988,1.21,2.6,20.4,15.3,13.5,1.51,4.31,f,Adelaide Brighton,,3.13,3,3.13,3.14,3.18,3.02,0.46,3.18,2.24,
AYT,39.133,7.485,12.102,0.14,1.79,0.8,6.83,20.6,16.02,0.43,11.36,,Adelaide Managed unt,,1.41,1,1.41,1.445,1.45,1.40,0.20,1.45,1.019,
ADQ,1695,7.346,0.807,0.009,0.02,4.1,-11.08,-,-,-,-,,ADG Global Supply,,0.082,2.7,0.065,0.082,0.082,0.07,48.58,0.118,0.052,
