ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 5007.3 at 16:34 16/4/2010  Report at 19:07 Friday 16/4/2010. Processed 20:06 Friday 16/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,16.8,0.407,0.042,0.06,0.08,35.5,19.23,14.8,12.5,1.54,4.40,f,1300 Smiles Ltd,,2.84,-1,2.81,2.88,2.85,2.83,-1.04,3.00,2.50
TQH,-,0.814,0.293,0.015,-0.08,-,3.28,2.9,-,-,-,,3Q Hldgs Ltd,,0.095,,0.052,0.14,0.095,0.095,-0.69,0.18,0.095
FCS,25.734,2.194,0.372,0.001,0.01,1.7,-2.77,-,-,-,-,,4C Sec Solution,,0.017,0.1,0.017,0.019,0.017,0.016,5.56,0.06,0.015
AAY,824,1.354,-,0.013,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.25,-1,0.20,0.25,0.26,0.25,-4.54,0.275,0.25
ABP,23129.7,339.929,333.091,0.753,0.60,0.7,-2.32,-,5.75,-,13.86,,Abacus Prop stp,,0.415,0.5,0.41,0.415,0.425,0.41,0.53,0.48,0.28
ALR,22.993,1.374,0.942,0.087,1.38,1.1,7.67,18.9,9,0.85,6.21,f,Aberdeen Leaders,,1.45,,1.425,1.45,1.45,1.42,-0.69,1.47,1.07
ACR,857.007,27.715,11.654,0.369,0.06,38.3,-2.84,-,-,-,-,,Acrux Ltd,,2.30,-3,2.28,2.30,2.33,2.22,-1.98,2.60,0.58
ACW,104.998,0.457,0.17,0.002,0.04,1.0,-1.88,-,-,-,-,,Actinogen Ltd,,0.04,-0.5,0.036,0.05,0.045,0.04,-11.80,0.10,0.017
ACWO,-,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-0.69,0.004,0.001
ACU,549.189,10.156,6.237,0.008,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.012,,0.012,0.013,0.013,0.012,-0.69,0.05,0.011
ADA,505.261,1.677,0.692,0.046,0.21,2.6,2.7,20.6,-,-,-,,Adacel Tech,,0.555,11,0.55,0.56,0.62,0.445,24.03,0.84,0.32
AAU,51.377,2.342,1.03,0.013,0.07,2.9,-2.18,-,1,-,5.00,,Adcorp Aust,,0.20,,0.195,0.20,0.20,0.20,-0.69,0.31,0.18
ABC,13852.2,160.253,95.002,1.833,1.21,2.4,20.4,14.2,13.5,1.51,4.67,f,Adelaide Brighton,,2.89,13,2.87,2.90,2.94,2.76,4.02,3.01,1.88
AYT,833.871,4.807,7.95,0.154,1.79,0.9,6.83,22.7,16.02,0.43,10.34,,Adelaide Managed unt,,1.55,7.5,1.52,1.55,1.55,1.47,4.39,1.55,1.10
ADQ,-,2.728,0.116,0.008,0.02,3.6,-11.08,-,-,-,-,,ADG Global Supply,,0.072,,0.065,0.068,0.072,0.072,-0.69,0.123,0.058
ADQO,-,0.951,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.012,,0.008,0.02,0.012,0.012,-0.69,0.013,0.01
ADL,4604.99,28.734,2.598,0.003,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.007,0.3,0.004,0.006,0.007,0.004,74.31,0.016,0.004
ADG,7.27,0.72,0.318,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,-5,3.50,3.70,3.50,3.50,-2.10,3.70,2.00
ASC,1660,76.683,21.323,0.006,0.02,0.4,-0.19,-,-,-,-,,Adultshop Com,,0.009,-0.1,0.009,0.01,0.01,0.009,-10.69,0.015,0.004
ASCO,1744.67,8.324,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.002,-0.2,0.002,0.004,0.004,0.002,-50.69,0.005,0.002
ABV,972.522,17.176,44.962,0.018,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.024,-0.1,0.023,0.024,0.026,0.024,-4.69,0.038,0.009
AMT,20.08,0.208,0.072,0.018,0.22,2.3,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.51,1,0.32,0.51,0.54,0.51,1.31,0.64,0.28
AES,1055.81,2.828,0.207,0.045,0.01,10.0,-0.09,-,-,-,-,,Advanced Energy,,0.10,1,0.095,0.105,0.12,0.095,10.42,0.125,0.02
ACE,177.461,7.203,6.186,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.049,0.3,0.049,0.052,0.049,0.046,5.83,0.093,0.031
