ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4439.4 at 16:38 25/6/2010  Report at 19:06 Friday 25/6/2010. Processed 21:02 Sunday 27/6/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,15,1.345,0.088,0.067,0.08,39.4,19.23,16.4,12.5,1.54,3.97,f,1300 Smiles Ltd,,3.15,-5,-,-,3.20,3.15,1.38,3.20,2.50,
TQH,-,0.893,0.459,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,-,-,0.11,0.11,2.94,0.18,0.095,
FCS,74.704,3.004,1.402,0.004,0.01,2.6,-2.77,-,-,-,-,,4C Sec Solution,,0.026,,-,-,0.026,0.02,2.94,0.05,0.015,
AAY,831,3.598,-,0.004,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.075,-7.5,0.075,0.09,0.14,0.07,-47.06,0.275,0.07,
ABP,29349.9,583.984,603.146,0.753,0.60,0.7,-2.32,-,5.75,-,13.86,,Abacus Prop stp,,0.415,1,0.415,0.42,0.42,0.40,5.41,0.48,0.33,
ALR,73.57,2.36,1.416,0.078,1.21,1.1,7.67,16.9,9.5,0.81,7.31,f,Aberdeen Leaders,,1.30,2,-,-,1.30,1.28,4.51,1.47,1.17,
ACR,499.839,39.84,26.003,0.294,0.06,30.5,-2.84,-,-,-,-,,Acrux Ltd,,1.83,-7,1.82,1.86,1.905,1.81,-0.74,2.60,1.05,
ACW,8,0.953,0.966,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.027,-1.3,-,-,0.04,0.027,-29.56,0.10,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,2.94,0.003,0.001,
ACU,1850.66,30.509,7.808,0.004,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.005,0.1,0.004,0.005,0.005,0.004,27.94,0.035,0.004,
ADA,19.581,3.598,1.426,0.03,0.21,1.8,2.7,13.7,-,-,-,,Adacel Tech,,0.37,-4,-,-,0.41,0.37,-6.81,0.84,0.32,
AAU,313.517,4.499,2.884,0.01,0.07,2.2,-2.18,-,1,-,6.45,,Adcorp Aust,,0.155,-0.5,0.155,0.165,0.17,0.15,-0.18,0.305,0.15,
ABC,12362.1,271.764,431.677,1.74,1.21,2.3,20.4,13.4,13.5,1.51,4.93,f,Adelaide Brighton,,2.74,-9,2.73,2.75,2.86,2.70,-0.24,3.01,2.03,
AYT,274.208,7.153,11.078,0.152,1.79,0.9,6.83,22.3,16.02,0.43,10.50,,Adelaide Managed unt,,1.525,6.5,1.525,1.54,1.54,1.47,7.40,1.565,1.10,
ADQ,335.682,5.551,0.673,0.007,0.02,3.0,-11.08,-,-,-,-,,ADG Global Supply,,0.06,-1,-,-,0.071,0.06,-11.34,0.118,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,-,-,0.008,0.008,2.94,0.013,0.008,
ADL,240,46.714,5.854,0.001,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.003,,-,-,0.003,0.003,2.94,0.016,0.003,
ADG,97.337,1.032,0.492,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,-,-,3.50,3.20,2.94,3.70,2.16,
ASC,683.545,96.885,28.846,0.006,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.01,-0.1,-,-,0.011,0.01,-6.15,0.015,0.004,
ASCO,-,18.175,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,-,-,0.003,0.003,2.94,0.005,0.002,
ABV,681.898,23.668,62.935,0.014,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.018,,-,-,0.018,0.018,2.94,0.038,0.009,
AMT,15.885,0.605,0.114,0.016,0.22,2.0,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.44,9,0.43,0.46,0.44,0.40,28.66,0.64,0.28,
AES,15.384,3.912,0.363,0.029,0.01,6.5,-0.09,-,-,-,-,,Advanced Energy,,0.065,,-,-,0.065,0.065,2.94,0.125,0.02,
ACE,461.943,9.131,10.771,0.007,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.034,0.1,-,-,0.037,0.033,5.97,0.093,0.031,
ANM,1292.92,7.044,14.985,0.011,0.02,2.5,-2.64,-,-,-,-,,Advanced Magnesium,,0.05,,0.05,0.051,0.053,0.05,2.94,0.07,0.03,
ASW,334.15,3.867,0.79,0.02,0.11,4.5,3.16,15.5,2.75,1.15,5.61,f,Advanced Share,,0.49,7.5,0.48,0.49,0.49,0.45,21.02,0.49,0.22,
AEI,370.287,3.47,1.977,0.006,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.065,0.5,0.06,0.065,0.065,0.06,11.28,0.17,0.06,
AVE,401.431,21.571,11.414,0.2,2.07,0.5,4.2,26.8,4,1.05,3.56,,Aevum Ltd,,1.125,-2.5,1.08,1.115,1.165,1.06,0.77,1.67,0.795,
AFT,2900,913.562,234.744,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,-,-,0.001,0.001,2.94,0.002,0.001,
AGK,5104.04,170.963,177.464,6.666,6.21,2.4,27,54.9,57,0.47,3.85,f,AGL Energy Ltd,,14.81,-2,14.78,14.83,14.99,14.60,2.81,15.69,13.11,
AGJ,45.344,0.324,0.407,0.012,0.38,0.3,-2.28,-,2.12,-,16.31,,Agricultural Land unt,,0.13,-2,-,-,0.15,0.13,-10.39,0.175,0.13,
AHC,-,0.093,0.01,0.012,4.89,0.4,14.09,14.9,-,-,-,,AHC Ltd,,2.10,,-,-,2.10,2.10,2.94,2.45,2.00,
ENY,0.807,0.007,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,14.92,-26,14.38,14.47,15.28,14.92,1.23,16.50,14.36,
FIN,0.8,0.041,-,-,-,-,-,-,-,-,-,,Aii200financials etf unt,,4.38,3,4.35,4.37,4.38,4.35,3.63,5.09,4.32,
FIX,1.188,0.013,-,0.001,-,-,-,-,-,-,-,,Aii200finxareit etf unt,,5.30,3,5.00,5.03,5.32,5.27,3.51,5.98,5.08,
IDD,11.5,0.026,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.35,-1,3.35,3.37,3.38,3.35,2.65,3.97,3.35,
RSR,44.105,0.227,-,0.001,-,-,-,-,-,-,-,,Aii200res etf unt,,5.12,,4.99,5.02,5.21,5.11,2.94,5.65,4.60,
MAM,9,0.098,-,-,-,-,-,-,-,-,-,,Aii300metals&Min etf unt,,4.33,10,4.22,4.24,4.45,4.23,5.31,4.83,3.90,
AGI,72.005,3.604,4.155,0.025,0.01,9.0,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.09,,0.09,0.095,0.095,0.09,2.94,0.22,0.067,
AIZ,1562.95,12.299,8.916,0.991,1.12,0.8,3.9,23.6,5.17,0.75,5.62,,Air New Zealand,,0.92,-3,0.905,0.94,0.93,0.92,-0.21,1.145,0.67,
AIG,-,-,0.18,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,2.94,0.11,0.10,
AJL,219.162,18.757,34.641,0.148,1.32,1.7,16,14.2,5.5,2.91,2.42,,AJ Lucas Grp,,2.27,-29,2.24,2.28,2.57,2.20,-8.38,5.60,2.00,
