ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4882.7 at 14:54 31/12/2009  Report at 16:46 Thursday 31/12/2009. Processed 17:04 Thursday 31/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,4.048,0.837,0.552,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.67,2.70,2.70,2.68,-1.65,3.00,2.50
TQH,-,3.099,3.223,0.025,-0.10,-,1.07,15.0,-,-,-,,3Q Hldgs Ltd,,0.16,,0.16,0.18,0.16,0.16,-1.65,0.195,0.105
FCS,63.678,3.587,0.152,0.001,0.03,0.6,-4.2,-,-,-,-,,4C Sec Solution,,0.018,-0.1,0.016,0.018,0.019,0.018,-6.92,0.09,0.015
ABP,7511.05,1277.54,618.25,0.678,0.62,0.7,-11.81,-,7.75,-,17.42,,Abacus Prop stpld,,0.445,,0.445,0.45,0.46,0.44,-1.65,0.48,0.186
ABPNA,75,0.225,-,0.099,-,-,-,-,-,-,-,,  new,,0.435,0.5,0.435,0.44,0.435,0.43,-0.49,0.435,0.43
ALR,114.152,4.319,2.716,0.083,1.45,1.0,-21.34,-,9,-,6.36,f,Aberdeen Leaders,,1.415,2.5,1.395,1.415,1.415,1.365,0.15,1.44,0.90
ACR,415.276,74.666,44.685,0.35,0.09,24.2,-4.84,-,-,-,-,,Acrux Ltd,,2.18,,2.11,2.19,2.23,2.11,-1.65,2.54,0.42
ACW,-,1.722,1.813,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,,0.05,0.085,0.05,0.05,-1.65,0.10,0.017
ACWO,-,0.008,0.079,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,-1.65,0.004,0.001
ACU,70,43.483,24.139,0.011,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.017,,0.016,0.018,0.017,0.017,-1.65,0.05,0.012
ADA,15,6.996,4.384,0.044,0.22,2.4,8.2,6.5,-,-,-,,Adacel Tech,,0.535,1.5,0.535,0.54,0.535,0.52,1.23,0.84,0.325
AAU,2.5,5.211,11.721,0.015,0.08,3.0,0.45,53.3,1,0.45,4.17,,Adcorp Aust,,0.24,-1,0.24,0.25,0.25,0.24,-5.65,0.34,0.165
ABC,2330.16,714.221,299.123,1.744,1.15,2.4,20.8,13.2,14,1.49,5.09,f,Adelaide Brighton,,2.75,3,2.73,2.76,2.76,2.71,-0.55,3.01,1.445
AYT,20,23.305,20.197,0.133,1.81,0.7,12.59,10.6,15.47,0.81,11.59,,Adelaide Managed unt,,1.335,-1.5,1.335,1.45,1.36,1.335,-2.76,1.76,1.10
ADQ,-,4.212,1.467,0.007,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.07,,0.06,0.069,0.07,0.07,-1.65,0.142,0.058
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,-,,0.002,-,-,-,-,-,-
ADL,-,13.182,12.966,0.004,0.01,0.9,-2.68,-,-,-,-,,Admerex Ltd,,0.009,,0.008,0.01,0.009,0.009,-1.65,0.016,0.004
ADG,8.5,0.987,1.945,0.088,2.37,1.5,27.9,12.5,16,1.74,4.57,f,Adtrans Grp,,3.50,5,3.40,3.50,3.50,3.50,-0.20,3.53,1.65
ASC,45,115.552,68.692,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,,0.01,0.011,0.01,0.01,-1.65,0.012,0.003
ASCO,-,3.925,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.002,0.004,0.003,0.003,-1.65,0.004,0.002
ABV,38.585,111.434,58.276,0.023,0.01,3.0,-0.36,-,-,-,-,,Adv Braking Tech,,0.03,0.2,0.03,0.032,0.03,0.03,5.49,0.038,0.005
AMT,1.666,0.744,1.762,0.011,0.20,3.0,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.60,4,0.57,0.60,0.60,0.60,5.49,0.64,0.28
AES,-,1.472,8.407,0.028,0.01,6.3,-0.06,-,-,-,-,,Advanced Energy,,0.063,,0.045,0.07,0.063,0.063,-1.65,0.085,0.02
ACE,219,24.181,19.643,0.008,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.052,-0.6,0.055,0.059,0.058,0.052,-12.00,0.093,0.031
ANM,9.28,27.4,34.359,0.013,0.01,6.0,-3.07,-,-,-,-,,Advanced Magnesium,,0.06,,0.06,0.062,0.062,0.06,-1.65,0.124,0.014
ASW,93.337,2.911,3.286,0.016,0.09,4.4,2.1,19.0,2,1.05,5.00,f,Advanced Share,,0.40,-2,0.405,0.435,0.435,0.40,-6.41,0.435,0.15
AEI,360,8.449,6.537,0.012,0.01,12.0,-2.31,-,-,-,-,,Aeris Environmental,,0.12,,0.11,0.12,0.12,0.105,-1.65,0.185,0.05
AVE,149.322,20.189,42.011,0.18,2.07,0.7,-9.7,-,4,-,2.86,,Aevum Ltd,,1.40,,1.40,1.44,1.46,1.40,-1.65,1.67,0.545
AFT,4500,432.265,1800.65,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,-1.65,0.001,0.001
AGK,1341.17,377.055,407.772,6.311,6.00,2.3,358,3.9,54,6.63,3.84,f,AGL Energy Ltd,,14.06,-8,14.02,14.06,14.30,13.99,-2.22,15.46,12.83
AGJ,6.3,1.372,0.285,0.015,0.38,0.5,-3.63,-,2.42,-,13.83,,Agricultural Land unt,,0.175,0.5,0.17,0.19,0.175,0.17,1.29,0.28,0.13
AHC,1,0.206,0.041,0.013,3.31,0.7,17.79,12.6,5,3.56,2.22,,AHC Ltd,,2.25,,2.25,2.45,2.25,2.25,-1.65,2.45,1.295
AGI,148.703,11.581,40.973,0.05,0.02,9.0,-4.45,-,-,-,-,,Ainsworth Game Tech,,0.18,-1,0.18,0.195,0.195,0.18,-6.92,0.22,0.05
AIZ,-,15.348,52.137,1.041,1.18,0.8,1.61,60.2,5.22,0.31,5.38,,Air New Zealand fpo nz,,0.97,,0.945,0.98,0.97,0.97,-1.65,1.12,0.55
AIG,-,0.187,0.051,0.001,-0.07,-,-5.34,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,-1.65,0.12,0.098
AJL,218.341,67.637,52.137,0.27,2.11,2.0,249.7,1.7,10.5,23.78,2.53,f,AJ Lucas Grp,,4.15,,4.05,4.18,4.15,4.05,-1.65,5.60,2.03
ACL,278.651,72.945,53.853,0.116,0.03,24.0,-5.2,-,-,-,-,,Alchemia Ltd,,0.72,7,0.70,0.72,0.72,0.67,9.12,0.76,0.106
ACLN,-,-,-,-,-,-,-,-,-,-,-,,  def,,-,,-,-,-,-,-,-,-
AAI,-,0.002,-,38.876,-,-,-251.67,-,31.58,-,0.70,,Alcoa Inc cdi,,44.89,,-,44.89,44.89,44.89,-1.65,47.10,44.00
