ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 18:53 Saturday 31/7/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,9.044,1.453,0.28,0.068,0.08,40.0,19.23,16.6,12.5,1.54,3.91,f,1300 Smiles Ltd,,3.20,-8,3.20,3.25,3.26,3.11,-3.16,3.30,2.55,
TQH,-,0.893,0.622,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.04,0.09,0.11,0.11,-0.72,0.18,0.095,
FCS,2.858,3.245,1.631,0.003,0.01,2.3,-2.77,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.034,0.023,0.023,-0.72,0.05,0.015,
AAY,282.025,4.143,-,0.004,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.08,,0.072,0.08,0.09,0.07,-0.72,0.275,0.07,
ABP,17911.2,702.949,674.421,0.753,0.60,0.7,-2.32,-,3.9,-,9.40,,Abacus Prop stp,,0.415,0.5,0.41,0.415,0.425,0.405,0.50,0.48,0.33,
ALR,34.256,2.941,1.726,0.074,1.21,1.0,7.67,16.1,9.5,0.81,7.69,f,Aberdeen Leaders,,1.235,-3.5,1.235,1.245,1.285,1.23,-3.48,1.47,1.20,
ACR,495.505,42.563,30.861,0.313,0.06,32.5,-2.84,-,-,-,-,,Acrux Ltd,,1.95,5,1.93,1.95,1.98,1.85,1.91,2.60,1.17,
ACW,2,0.975,1.135,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.027,,0.031,0.048,0.027,0.027,-0.72,0.095,0.027,
ACWO,5,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-0.72,0.003,0.001,
ACU,2848.86,41.877,8.23,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,,0.002,0.003,0.003,0.003,-0.72,0.035,0.003,
ADA,15.946,3.795,1.602,0.029,0.21,1.7,2.7,13.0,-,-,-,,Adacel Tech,,0.35,5,0.32,0.34,0.35,0.30,15.95,0.84,0.30,
AAU,490.45,5.484,3.349,0.012,0.07,2.7,-2.18,-,-,-,-,,Adcorp Aust,,0.19,2.5,0.19,0.195,0.19,0.16,14.43,0.305,0.145,
ABC,8763.2,333.782,487.889,2.013,1.21,2.6,20.4,15.5,13.5,1.51,4.26,f,Adelaide Brighton,,3.17,2,3.15,3.17,3.20,3.14,-0.09,3.20,2.31,
AYT,161.666,7.699,17.398,0.134,1.79,0.8,6.83,20.8,16.02,0.43,11.28,,Adelaide Managed unt,,1.42,-0.5,1.41,1.43,1.43,1.42,-1.07,1.45,1.095,
ADQ,120.547,7.466,0.817,0.008,0.02,3.3,-11.08,-,-,-,-,,ADG Global Supply,,0.065,-1.7,0.062,0.08,0.082,0.065,-21.45,0.118,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,-,0.008,0.008,0.008,-0.72,0.013,0.008,
ADL,698.249,61.306,7.015,0.001,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.003,-0.1,0.003,0.005,0.004,0.003,-25.72,0.016,0.002,
ADG,31.893,1.157,0.577,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,10,3.50,3.70,3.50,3.30,2.22,3.70,2.35,
ASC,5735.53,107.167,35.379,0.007,0.02,0.6,-0.19,-,-,-,-,,Adultshop Com,,0.012,0.1,0.011,0.013,0.014,0.011,8.37,0.015,0.005,
ASCO,1685,20.135,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.004,0.003,0.003,-0.72,0.005,0.002,
ABV,1308,26.767,71.275,0.015,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.019,0.1,0.019,0.02,0.021,0.018,4.83,0.038,0.015,
AMT,-,0.652,0.15,0.018,0.22,2.3,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.50,,0.50,0.54,0.50,0.50,-0.72,0.64,0.31,
AES,89.077,4.101,0.454,0.019,0.01,4.3,-0.09,-,-,-,-,,Advanced Energy,,0.043,-0.7,0.043,0.045,0.045,0.043,-14.72,0.125,0.032,
ACE,326.648,10.531,12.363,0.009,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.044,-0.6,0.031,0.047,0.048,0.044,-12.72,0.093,0.031,
ANM,304.639,9.002,17.868,0.014,0.02,2.6,-2.64,-,-,-,-,,Advanced Magnesium,,0.052,0.1,0.052,0.053,0.054,0.051,1.24,0.07,0.03,
ASW,184.974,5.539,0.871,0.026,0.11,5.6,3.16,19.6,2.75,1.15,4.44,f,Advanced Share,,0.62,1,0.62,0.65,0.62,0.55,0.92,0.695,0.235,
AEI,259.776,4.01,2.563,0.005,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.055,-0.5,0.065,0.075,0.06,0.055,-9.05,0.16,0.055,
AVE,240.773,23.019,13.576,0.193,2.07,0.5,4.2,26.0,4,1.05,3.67,,Aevum Ltd,,1.09,1.5,1.09,1.125,1.115,1.085,0.67,1.67,1.01,
AFT,3102.05,955.529,279.556,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,-0.72,0.002,0.001,
AGK,5135.19,197.84,216.225,6.648,6.21,2.4,27,54.7,57,0.47,3.86,f,AGL Energy Ltd,,14.77,-14,14.71,14.80,14.92,14.57,-1.66,15.69,13.37,
AGJ,-,0.394,0.447,0.012,0.38,0.3,-2.28,-,2.12,-,16.31,,Agricultural Land unt,,0.13,,0.13,0.16,0.13,0.13,-0.72,0.175,0.13,
AHC,-,0.096,0.015,0.012,4.89,0.4,14.09,14.5,-,-,-,,AHC Ltd,,2.05,,-,2.04,2.05,2.05,-0.72,2.45,2.00,
ENY,2.22,0.021,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,14.83,29,14.59,14.67,14.89,14.83,1.27,16.50,13.95,
FIN,22.102,0.087,-,-,-,-,-,-,-,-,-,,Aii200financials etf unt,,4.47,14,4.46,4.48,4.49,4.42,2.51,5.09,4.18,
FIX,1.1,0.036,-,0.001,-,-,-,-,-,-,-,,Aii200finxareit etf unt,,5.18,16,5.18,5.21,5.18,5.13,2.47,5.98,4.83,
IDD,0.1,0.039,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.45,7,3.42,3.45,3.45,3.38,1.35,3.97,3.21,
RSR,21.823,0.448,-,0.001,-,-,-,-,-,-,-,,Aii200res etf unt,,5.06,15,5.03,5.07,5.10,5.04,2.33,5.65,4.60,
MAM,38.32,0.147,-,-,-,-,-,-,-,-,-,,Aii300metals&Min etf unt,,4.30,11,4.26,4.29,4.30,4.28,1.90,4.83,3.90,
AGI,46.524,3.889,5.443,0.023,0.01,8.4,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.084,0.4,0.09,0.105,0.086,0.084,4.28,0.22,0.075,
AIZ,287.712,17.019,9.214,0.958,1.12,0.8,3.9,22.8,5.17,0.75,5.81,,Air New Zealand,,0.89,-2,0.87,0.92,0.94,0.89,-2.92,1.145,0.83,
AIG,-,-,0.181,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,0.02,0.08,0.11,0.11,-0.72,0.11,0.10,
AJL,297.621,20.111,41.039,0.135,1.32,1.6,16,12.9,5.5,2.91,2.66,,AJ Lucas Grp,,2.07,-9,2.07,2.09,2.19,2.04,-4.89,5.60,2.00,
ACL,1380.95,30.754,47.501,0.103,0.09,6.0,-4.6,-,-,-,-,,Alchemia Ltd,,0.54,14,0.50,0.54,0.54,0.40,34.28,0.81,0.345,
AAI,10.001,0.06,-,11.042,-,-,-14.02,-,11.4,-,0.89,,Alcoa Inc cdi,,12.75,,12.75,13.84,12.75,12.75,-0.72,47.10,12.50,
LEP,159.391,21.176,10.579,0.316,2.39,0.9,95.98,2.1,27,3.55,13.11,,ALE Prop Grp stp,,2.06,-2,2.06,2.07,2.08,2.03,-1.68,2.43,1.90,
ALS,2403.79,61.347,71.029,0.246,0.60,4.3,-132.84,-,7,-,2.68,,Alesco Corp,,2.61,14,2.58,2.64,2.66,2.41,4.95,5.91,2.25,
AJX,1357.02,28.348,-,0.012,-,-,-0.13,-,-,-,-,,Alexium Int Grp,,0.16,2.5,0.16,0.17,0.165,0.13,17.80,0.205,0.01,
AEJ,2652.74,410.455,738.187,0.047,-1.53,-,-58.71,-,-,-,-,,Alinta Energy Grp stp,,0.058,,0.058,0.06,0.06,0.057,-0.72,0.105,0.041,
ABQ,25842.4,159.754,11.433,0.009,0.06,0.7,2.3,1.9,0.5,4.60,11.36,,Allied Brands Ltd,,0.044,0.5,0.041,0.043,0.05,0.038,12.10,0.245,0.024,
ABQO,500,5.151,0.043,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,-0.72,0.005,0.001,
AEA,162.413,9.168,1.117,0.012,-,-,-3,-,-,-,-,,Altera Res Ltd,,0.27,4.5,0.21,0.27,0.27,0.23,19.28,0.36,0.048,
AEAO,-,0.969,-,0.002,-,-,-,-,-,-,-,,  opt feb12,,0.15,,-,0.15,0.15,0.15,-0.72,0.16,0.06,
AIQ,54.653,20.473,3.434,0.14,1.45,0.7,-44.5,-,47,-,43.72,,Alternative Invest unt,,1.075,-0.5,1.08,1.135,1.10,1.075,-1.18,1.45,0.91,
ALU,703.229,4.493,2.02,0.021,0.09,2.6,-6.97,-,-,-,-,,Altium Ltd,,0.23,-2,0.225,0.29,0.25,0.215,-8.72,0.39,0.20,
AMA,1581.66,24.956,18.066,0.01,-0.09,-,7.75,0.5,-,-,-,,AMA Grp Ltd,,0.038,,0.037,0.041,0.043,0.036,-0.72,0.078,0.019,
AHD,2094.61,27.004,5.733,0.914,4.65,1.2,68.5,8.5,35,1.96,6.02,f,Amalgamated Hldgs,,5.81,10,5.71,5.81,5.81,5.62,1.03,6.24,4.42,
AMO,8,2.136,0.349,0.012,0.61,0.6,9.3,4.2,5.5,1.69,13.92,f,Ambertech Ltd,,0.395,5.5,0.39,0.40,0.395,0.34,15.46,0.63,0.34,
AMB,-,1.332,1.572,0.019,0.14,2.1,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.29,,0.18,0.28,0.29,0.29,-0.72,0.42,0.20,
AKS,0.03,-,-,0.055,-,-,-,-,-,-,-,,Amcbf One,,102.00,-200,100.05,102.00,104.00,102.00,-2.64,104.17,102.00,
AKU,-,-,-,0.043,-,-,-,-,-,-,-,,Amcbf Thr,,103.19,,102.20,103.19,103.19,103.19,-0.72,104.00,103.19,
AKT,-,-,-,0.036,-,-,-,-,-,-,-,,Amcbf Two,,102.69,,100.05,101.95,102.69,102.69,-0.72,102.69,101.00,
AMH,180.75,9.486,4.963,0.126,0.70,0.9,3.73,17.3,2,1.87,3.10,f,Amcil Ltd,,0.645,,0.645,0.65,0.65,0.635,-0.72,0.72,0.58,
AMM,2019.97,160.581,110.728,0.226,0.18,1.8,2.78,11.3,0.9,3.09,2.86,f,Amcom Telecomm,,0.315,,0.315,0.32,0.325,0.305,-0.72,0.355,0.17,
AMC,30700.8,860.575,482.157,8.014,2.25,2.9,20.9,31.4,29.5,0.71,4.50,,Amcor Ltd,,6.56,-28,6.55,6.61,6.88,6.52,-4.81,7.04,4.473,
AEC,504.897,7.962,3.276,0.132,1.05,3.4,19.39,18.6,16.5,1.18,4.58,f,Ammtec Ltd,,3.60,11,3.60,3.61,3.61,3.45,2.43,3.61,2.01,
AGF,3548.61,41.485,35.208,0.292,0.99,0.9,10.02,8.6,8.47,1.18,9.79,,AMP Capital China unt,,0.865,4,0.865,0.885,0.885,0.82,4.13,1.26,0.675,
AMP,25038.9,1053.56,994.995,10.981,0.80,6.6,37.1,14.3,30,1.24,5.66,p,AMP Ltd,,5.30,-5,5.29,5.31,5.45,5.29,-1.66,6.97,5.06,
ANQ,10,6.322,11.786,0.032,-,-,-5.5,-,-,-,-,,Anaeco Ltd,,0.18,1,0.17,0.19,0.18,0.17,5.16,0.305,0.15,
ANQOA,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,-,-,0.004,0.004,-75.72,0.004,0.001,
ALT,1544.77,237.067,25.469,0.011,-,-,-0.24,-,-,-,-,,Analytica Ltd,,0.026,-0.3,0.025,0.026,0.029,0.025,-11.07,0.115,0.019,
ANN,3306,115.586,120.557,1.691,1.92,6.7,81.7,15.7,29,2.82,2.26,,Ansell Ltd,,12.85,-74,12.85,13.25,13.73,12.85,-6.17,13.73,8.89,
ANO,-,13.572,9.182,0.01,0.04,1.1,1.46,3.1,-,-,-,,Antaria Ltd,,0.045,,0.037,0.044,0.045,0.045,-0.72,0.065,0.032,
ADO,9416.16,3199.29,47.888,0.028,-,-,-0.8,-,-,-,-,,Anteo Diagnostics,,0.053,-0.3,0.053,0.054,0.057,0.053,-6.08,0.105,0.006,
ADOO,1350,421.669,-,0.006,-,-,-,-,-,-,-,,  opt sep10,,0.04,-0.4,0.04,0.041,0.042,0.04,-9.81,0.07,0.001,
ADOOA,60.6,1.58,-,0.001,-,-,-,-,-,-,-,,  opt feb11,,0.015,0.5,0.015,0.025,0.015,0.013,49.28,0.025,0.005,
ANP,640,384.441,11.803,0.01,-,-,-0.55,-,-,-,-,,Antisense Therapeutic,,0.017,,0.017,0.018,0.018,0.017,-0.72,0.20,0.013,
ANZ,39370.3,1254.43,1399.52,58.989,9.99,2.3,144.8,15.9,108,1.34,4.69,f,ANZ Banking Grp,,23.05,64,22.98,23.05,23.30,22.59,2.13,26.23,18.72,
APE,4.075,0.327,0.372,0.375,8.81,1.4,121.6,10.3,62,1.96,4.96,f,AP Eagers Ltd,,12.51,,12.55,12.69,12.51,12.50,-0.72,13.55,8.65,
APP,-,3.159,1.147,0.001,-,-,0.1,17.0,-,-,-,,APA Financial,,0.017,,0.017,0.021,0.017,0.017,-0.72,0.022,0.009,
APA,4354.18,153.66,125.589,2.012,-,-,25,14.8,31.75,0.79,8.56,,APA Grp stp,,3.71,,3.69,3.71,3.79,3.68,-0.72,3.83,2.63,
AEZ,7607.95,95.85,200.569,0.015,0.24,0.1,-11.22,-,-,-,-,,APN European Retail stp,,0.028,0.4,0.026,0.027,0.028,0.024,15.95,0.115,0.024,
APN,4736.19,223.061,291.542,1.264,-0.78,-,16.7,12.6,4,4.17,1.90,f,APN News & Media,,2.11,11,2.06,2.11,2.11,2.00,4.78,2.61,1.63,
APD,1532.02,9.034,13.387,0.033,0.21,1.0,-17.88,-,1.25,-,6.10,f,APN Prop Grp,,0.205,,0.205,0.23,0.21,0.20,-0.72,0.41,0.165,
AOP,6735,192.001,-,0.005,-,-,0.18,6.1,-,-,-,,Apollo Cons,,0.011,,0.01,0.011,0.011,0.01,-0.72,0.04,0.007,
AQL,-,9.426,2.89,0.003,-,-,-0.27,-,-,-,-,,Aquacarotene Ltd,,0.20,,0.10,0.24,0.20,0.20,-0.72,0.352,0.15,
APB,117.64,24.798,11.334,0.009,0.12,0.1,-7.66,-,-,-,-,,Arafura Pearls,,0.017,-0.2,0.015,0.018,0.019,0.017,-11.25,0.056,0.008,
ARP,241.812,15.021,6.712,0.411,1.22,4.6,40.44,14.0,17.5,2.31,3.09,f,ARB Corp,,5.67,-8,5.67,5.69,5.83,5.63,-2.11,6.40,3.677,
AAD,3350.04,136.343,76.375,0.315,1.10,0.9,2.73,37.4,14.3,0.19,14.02,,Ardent Leisure stp,,1.02,-0.5,1.00,1.05,1.065,1.00,-1.21,1.845,0.94,
ARG,526.665,21.905,22.394,3.583,5.99,1.0,-11.1,-,25,-,4.22,f,Argo Invest,,5.92,4,5.90,5.97,6.00,5.89,-0.04,7.05,5.61,
ASV,74.009,4.182,7.628,0.004,-,-,-0.44,-,-,-,-,,Argus Solutions,,0.055,,0.056,0.07,0.058,0.055,-0.72,0.878,0.006,
ARA,3.847,7.385,2.79,0.051,0.32,0.8,-2.46,-,1,-,4.00,,Ariadne Aust,,0.25,0.5,0.25,0.265,0.25,0.25,1.32,0.37,0.23,
ALL,7654.42,312.258,270.485,1.808,0.07,48.4,-31.3,-,4.5,-,1.33,,Aristocrat Leisure,,3.39,-19,3.37,3.45,3.62,3.34,-6.03,5.75,3.34,
