ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4507.4 at 16:37 7/5/2010  Report at 19:07 Friday 7/5/2010. Processed 15:00 Sunday 9/5/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,321.46,0.751,0.052,0.06,0.08,35.6,19.23,14.8,12.5,1.54,4.39,f,1300 Smiles Ltd,,2.85,-3,2.80,2.90,2.90,2.80,5.71,3.00,2.50,
TQH,-,0.818,0.417,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,,0.065,0.13,0.10,0.10,6.75,0.18,0.095,
FCS,4.844,2.482,0.562,0.003,0.01,3.0,-2.77,-,-,-,-,,4C Sec Solution,,0.03,0.9,0.02,0.029,0.03,0.021,49.61,0.06,0.015,
AAY,8,2.423,-,0.012,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.24,,0.18,0.24,0.24,0.24,6.75,0.275,0.22,
ABP,28649,416.059,396.018,0.762,0.60,0.7,-2.32,-,5.75,-,13.69,,Abacus Prop stp,,0.42,1,0.415,0.42,0.425,0.40,9.19,0.48,0.285,
ALR,94.287,1.625,1.005,0.081,1.38,1.0,7.67,17.6,9,0.85,6.67,f,Aberdeen Leaders,,1.35,-3,1.335,1.35,1.40,1.26,4.58,1.47,1.155,
ACR,1552.09,32.165,12.109,0.307,0.06,31.8,-2.84,-,-,-,-,,Acrux Ltd,,1.91,-6,1.91,1.96,2.00,1.83,3.71,2.60,0.75,
ACW,141.75,0.753,0.608,0.001,0.04,0.9,-1.88,-,-,-,-,,Actinogen Ltd,,0.035,-1.3,0.031,0.035,0.048,0.031,-20.33,0.10,0.031,
ACWO,-,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,6.75,0.004,0.001,
ACU,3636.18,14.346,6.592,0.005,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.007,-0.2,0.008,0.009,0.009,0.006,-15.47,0.035,0.006,
ADA,542.105,3.223,0.734,0.034,0.21,2.0,2.7,15.2,-,-,-,,Adacel Tech,,0.41,-25,0.41,0.435,0.67,0.38,-31.12,0.84,0.32,
AAU,57,2.676,1.857,0.011,0.07,2.6,-2.18,-,1,-,5.56,,Adcorp Aust,,0.18,,0.19,0.22,0.19,0.18,6.75,0.305,0.18,
ABC,18591.9,195.563,327.571,1.734,1.21,2.3,20.4,13.4,13.5,1.51,4.95,f,Adelaide Brighton,,2.73,-20,2.72,2.75,2.95,2.70,-0.07,3.01,2.03,
AYT,217.942,5.477,8.577,0.149,1.79,0.8,6.83,22.0,16.02,0.43,10.68,,Adelaide Managed unt,,1.50,-4,1.49,1.51,1.54,1.47,4.16,1.565,1.10,
ADQ,127.5,3.289,0.145,0.008,0.02,3.3,-11.08,-,-,-,-,,ADG Global Supply,,0.065,-0.7,0.058,0.065,0.065,0.065,-2.97,0.123,0.058,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.004,0.01,0.008,0.008,6.75,0.013,0.008,
ADL,591.047,33.512,3.903,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.005,-0.1,0.004,0.005,0.005,0.004,-9.91,0.016,0.004,
ADG,22.34,0.782,0.371,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,3.50,3.65,3.50,3.50,6.75,3.70,2.00,
ASC,942.494,82.351,23.368,0.006,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.01,,0.009,0.01,0.011,0.01,6.75,0.015,0.004,
ASCO,3707.06,15.748,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.005,0.003,0.003,6.75,0.005,0.002,
ABV,1506.07,19.335,50.267,0.015,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.019,-0.3,0.019,0.023,0.023,0.019,-6.88,0.038,0.009,
AMT,5.334,0.239,0.094,0.014,0.22,1.8,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.40,-9.5,0.40,0.495,0.495,0.40,-12.44,0.64,0.28,
AES,259.224,3.508,0.239,0.036,0.01,8.0,-0.09,-,-,-,-,,Advanced Energy,,0.08,-1,0.075,0.095,0.085,0.08,-4.36,0.125,0.02,
ACE,177.556,7.486,6.735,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.045,,0.044,0.045,0.045,0.04,6.75,0.093,0.031,
