ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, September 12, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5532.3 at 2014-09-12T16:39:35. Report at Friday, September 12, 2014. Processed Saturday at 2014-09-13T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,19.952,1.364,2.095,.142,.35,17.14,21.00,28.6,14.50,1.45,2.42,f,1300 Smiles,,6.00,-18,6.00,6.15,6.20,6.00,-1.72,7.25,5.35,,
TIX,728.498,21.850,76.947,.287,2.21,1.09,45.00,5.3,18.60,2.42,7.75,,360 Capital Indust,,2.40,+3,2.37,2.40,2.42,2.35,+2.46,2.42,1.952,,
TGP,373.642,32.664,35.653,.241,.61,1.59,12.05,8.0,5.00,2.41,5.15,,360 Capital Grp,†,.97,-1,.955,.97,1.04,.955,+.17,1.04,.60,,
TOF,426.895,23.707,-,.161,-,-,-,-,-,-,-,,360 Capital Office,,2.07,-,2.04,2.07,2.07,2.03,+1.19,2.09,1.92,,
3PL,1211.05,21.916,-,.337,-,-,-,-,-,-,-,,3P Learning,,2.50,-,2.41,2.50,2.53,2.43,+1.19,2.60,2.13,,
8CO,227.289,1.561,-,.004,-,-,-,-,-,-,-,,8common,,.26,-1,.255,.26,.27,.26,-2.51,.295,.26,,
NNW,2116.64,59.032,-,.080,.02,26.50,.10,530.0,-,-,-,,99 Wuxian,,.53,+5.5,.50,.53,.535,.48,+12.77,.73,.30,,
AYI,800.000,138.529,34.265,-,-,-,-.20,-,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,+1.19,.003,.001,,
ABP,3728.68,122.796,100.802,1.430,2.38,1.17,22.27,12.5,16.75,1.33,6.03,,Abacus Prop,,2.78,+4,2.75,2.78,2.78,2.70,+2.65,2.81,2.18,,
ALR,207.785,5.564,6.992,.076,1.22,1.01,3.02,40.7,7.00,.43,5.69,f,Aberdeen Leaders,,1.23,+1,1.23,1.25,1.25,1.215,+2.01,1.385,1.18,,
AKG,887.902,5.905,3.956,.078,.05,25.10,9.80,12.8,5.50,1.78,4.38,f,Academies A'asia,,1.255,-2.5,1.22,1.255,1.30,1.255,-.76,1.40,.835,,
ACQ,134.211,7.283,-,.046,-,-,-,-,-,-,-,,Acorn Capital Invest,,.90,-1.5,.90,.91,.925,.895,-.45,.96,.85,,
ACQO,290.000,8.026,-,.002,-,-,-,-,-,-,-,,  opt oct15,,.03,-,.026,.03,.03,.027,+1.19,.04,.025,,
ACR,9951.08,317.161,121.443,.258,.12,12.92,16.80,9.2,16.00,1.05,10.32,f,Acrux,,1.55,-6,1.55,1.58,1.67,1.515,-2.54,3.219,.75,,
ACW,1647.75,22.447,2.709,.012,.01,4.70,-.29,-,-,-,-,,Actinogen,†,.047,-.3,.046,.048,.048,.047,-4.81,.05,.01,,
ACWOA,-,.260,.107,-,-,-,-,-,-,-,-,,  opt sep15,†,.001,-,.001,.005,.001,.001,+1.19,.001,.001,,
ACU,2913.00,23.713,79.931,.002,-,-,-.04,-,-,-,-,,Acuvax,,.001,-,-,.001,.001,.001,+1.19,.001,.001,,
ADA,32.417,.692,.996,.028,.09,3.89,-2.90,-,-,-,-,,Adacel Tech,,.35,-,.23,.35,.35,.35,+1.19,.57,.215,,
AAU,-,2.988,7.433,.003,-.02,-,-4.30,-,-,-,-,,Adcorp Aust,,.05,-,.05,.073,.05,.05,+1.19,.095,.04,,
ABC,4623.16,340.384,353.877,2.255,1.33,2.65,22.10,15.9,16.50,1.34,4.69,f,Adelaide Brighton,,3.52,-6,3.50,3.54,3.59,3.45,-.49,4.375,3.15,,
ADQ,310.000,62.636,39.307,.002,.01,.60,-6.10,-,-,-,-,,ADG Global Supply,,.006,-,.006,.007,.007,.006,+1.19,.02,.004,,
AHZ,9737.85,692.567,1417.77,.209,.02,7.25,-.55,-,-,-,-,,ADMEDUS,,.145,-1,.145,.15,.16,.145,-5.26,.185,.061,,
ADJ,7069.24,388.447,147.600,.147,-,-,-1.20,-,-,-,-,,Adslot,,.14,-.5,.135,.14,.15,.132,-2.26,.17,.062,,
ABV,4599.81,86.578,88.677,.012,-,-,-.67,-,-,-,-,,Adv Braking Tech,,.008,+.1,.008,.009,.009,.007,+15.48,.017,.005,,
ABVO,-,4.178,-,-,-,-,-,-,-,-,-,,  opt aug16,,.003,-,.002,.004,.003,.003,+1.19,.003,.002,,
AMT,-,.393,.125,.003,.09,.67,-.15,-,-,-,-,,Adv Surg Dsgn & Mnft,,.06,-,.055,.06,.06,.06,+1.19,.062,.045,,
