ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 11, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4358.6 at 2011-11-11T16:39:15. Report at Friday, November 11, 2011. Processed Saturday at 2011-11-12T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,192.070,.935,1.639,.088,.24,15.4,24.20,15.3,15.50,1.56,4.19,f,1300 Smiles,,3.70,+5,3.70,3.75,3.70,3.65,+1.00,4.25,3.00,,
TQH,150.000,1.764,2.101,.013,-.05,-,1.84,4.3,-,-,-,,3Q Hldgs,,.08,-,.06,.08,.08,.08,-.37,.08,.041,,
FCS,15.000,1.149,5.843,.007,.09,.4,.03,133.3,-,-,-,,4C Sec Solution,,.04,-1.5,.02,.044,.055,.04,-27.64,.055,.01,,
AYI,10.000,8.053,13.374,.011,.01,5.0,-.94,-,-,-,-,,A1 Invest & Res,,.05,-,-,-,.05,.05,-.37,.09,.028,,
AAY,-,4.655,8.154,.005,-,-,.22,18.2,-,-,-,,AACL Hldgs,,.04,-,.02,.045,.04,.04,-.37,.066,.029,,
AAQ,72375.3,246.417,-,.007,-,-,-.30,-,-,-,-,,AAQ Hldgs,†,.016,+.6,.014,.016,.017,.01,+59.63,.725,.007,,
ABP,1865.59,140.692,954.374,.739,2.76,.7,4.66,41.0,16.50,.28,8.64,,Abacus Prop,†,1.91,+4,1.895,1.91,1.925,1.83,+1.77,2.45,.42,,
ALR,28.367,6.898,4.456,.061,1.10,.9,3.24,31.3,9.50,.34,9.36,f,Aberdeen Leaders,,1.015,-1,1.015,1.075,1.03,1.015,-1.35,1.345,.98,,
AKG,27.488,.409,.221,.026,.09,6.1,5.40,10.2,4.00,1.35,7.27,f,Academies A'asia,,.55,+4,-,-,.55,.55,+7.47,.55,.48,,
ACR,2030.31,125.708,67.120,.533,-,-,34.73,9.2,-,-,-,,Acrux,,3.20,-12,3.19,3.25,3.39,3.13,-3.99,4.30,2.49,,
ACW,1079.50,3.184,2.519,.003,.02,2.5,-1.66,-,-,-,-,,Actinogen,,.05,+2.5,.051,.067,.051,.018,+99.63,.10,.018,,
ACWO,5.000,.015,.120,-,-,-,-,-,-,-,-,,  opt aug12,,.001,-,-,-,.001,.001,-.37,.014,.001,,
ACWOA,10.000,.244,-,-,-,-,-,-,-,-,-,,  opt sep15,,.002,+.1,-,-,.002,.001,+99.63,.015,.001,,
ACU,3645.99,850.938,80.147,.002,-,-,-.05,-,-,-,-,,Acuvax,,.001,-,-,-,.002,.001,-.37,.005,.001,,
ADA,100.740,2.353,4.718,.020,.09,2.7,-3.60,-,-,-,-,,Adacel Tech,,.245,+1,.25,.27,.245,.24,+3.88,.43,.18,,
AAU,20.000,15.543,7.323,.011,.09,1.9,2.29,7.6,2.00,1.15,11.43,f,Adcorp Aust,,.175,+.5,.175,.18,.175,.17,+2.57,.25,.125,,
ABN,500.000,371.102,707.163,.005,-,-,-.02,-,-,-,-,,AdEffective,,.001,-,-,-,.001,.001,-.37,.002,.001,,
ABC,6347.28,445.498,504.518,1.877,1.17,2.5,22.80,12.9,16.50,1.38,5.59,f,Adelaide Brighton,,2.95,+4,2.92,2.99,3.11,2.89,+1.00,3.514,2.22,,
AYT,3518.39,28.741,29.779,.003,.29,.1,10.03,.3,2.33,4.30,66.57,,Adelaide Mgd,†,.035,+.4,.035,.039,.038,.029,+12.14,.038,.022,,
ADQ,1600.00,15.250,10.259,.011,.04,1.3,.47,10.6,-,-,-,,ADG Global Supply,,.05,-.9,.05,.06,.055,.05,-15.63,.09,.05,,
ABV,652.824,73.996,86.401,.020,.01,2.1,.06,35.0,-,-,-,,Adv Braking Tech,,.021,-.2,.021,.024,.023,.021,-9.07,.038,.016,,
AMT,-,.413,1.187,.006,.11,1.5,-9.25,-,-,-,-,,Adv Surg Dsgn & Mnft,,.17,-,-,-,.17,.17,-.37,.40,.15,,
ANM,347.285,21.267,14.320,.019,.02,2.8,-.68,-,-,-,-,,Advanced Magnesium,,.055,-,.055,.056,.057,.055,-.37,.087,.036,,
ASW,108.000,2.664,7.410,.026,.13,4.7,4.17,14.7,3.85,1.08,6.26,f,Advanced Share Reg,,.615,-3.5,.615,.675,.65,.605,-5.76,1.20,.605,,
AEI,253.188,7.351,9.007,.021,.02,10.0,-2.16,-,-,-,-,,Aeris Environmental,,.20,+2.5,.19,.265,.20,.175,+13.91,.28,.155,,
AFT,500.001,433.377,1226.64,.007,-,-,.03,3.3,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,-.37,.002,.001,,
AGX,52.192,46.009,26.897,.011,-,-,-.40,-,-,-,-,,Agenix,,.014,-.2,.014,.016,.016,.014,-12.87,.032,.011,,
AGK,5063.46,301.535,302.033,6.918,6.95,2.1,122.40,12.2,60.00,2.04,4.03,f,AGL Energy,,14.89,+16,14.65,14.90,15.04,14.41,+.71,16.24,12.50,,
AGJ,21.500,1.505,1.484,.016,.36,.4,2.68,5.8,2.45,1.09,15.81,,Agricultural Land,,.155,-1.5,.165,.185,.18,.155,-9.20,.20,.13,,
AHC,-,.123,.216,.012,4.95,.4,3.45,63.8,10.00,.35,4.55,,AHC,,2.20,-,2.12,2.30,2.20,2.20,-.37,2.30,1.80,,
ENY,1.504,.789,.116,.003,-,-,-,-,-,-,-,p,All 200 Energy,,14.04,+40,14.15,14.23,14.05,13.64,+2.56,18.26,11.87,,
FIN,.458,1.279,.296,.002,-,-,-,-,-,-,-,p,All 200 Financials,,4.23,-5,4.27,4.29,4.28,4.23,-1.54,4.87,3.55,,
FIX,.710,1.064,.461,.002,-,-,-,-,-,-,-,p,All 200 Fin-x-A-REIT,,4.88,+3,4.95,4.97,4.88,4.85,+.25,5.54,4.34,,
IDD,102.507,1.134,.123,.002,-,-,-,-,-,-,-,p,All 200 Industrials,,3.38,-,3.43,3.46,3.38,3.38,-.37,3.90,3.00,,
RSR,22.642,1.730,1.711,.007,-,-,-,-,-,-,-,p,All 200 Resources,,4.92,-,4.93,4.95,4.92,4.87,-.37,6.42,4.33,,
MAM,32.888,2.093,.871,.004,-,-,-,-,-,-,-,p,All 300 Metals & Mining,,4.21,+13,4.25,4.27,4.27,4.21,+2.81,5.58,3.80,,
AGI,488.370,27.706,6.618,.107,.09,4.3,8.00,4.8,-,-,-,,Ainsworth Game Tech,,.385,+1.5,.375,.385,.39,.37,+3.68,.48,.14,,
AIZ,79.506,10.138,20.563,.877,1.03,.8,5.87,13.6,3.90,1.51,4.88,,Air New Zealand,,.80,-1,.795,.815,.815,.80,-1.61,1.175,.765,,
AIG,-,.174,-,-,-.16,-,-5.00,-,-,-,-,,Aircruising Aust,,.08,-,-,-,.08,.08,-.37,.08,.035,,
