ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4588.8 at 16:39 12/2/2010  Report at 19:07 Friday 12/2/2010. Processed 17:53 Sunday 14/2/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,11.6,0.075,0.025,0.056,0.13,21.2,18.7,14.7,11.4,1.64,4.15,f,1300 Smiles Ltd,,2.75,,2.72,2.75,2.75,2.73,-1.24,3.00,2.50
TQH,488.314,0.547,0.126,0.015,-0.10,-,1.07,9.3,-,-,-,,3Q Hldgs Ltd,,0.10,-4.5,0.11,0.16,0.145,0.10,-32.28,0.18,0.10
FCS,8.976,1.518,0.061,0.001,0.03,0.5,-4.2,-,-,-,-,,4C Sec Solution,,0.016,-0.2,0.019,0.023,0.018,0.016,-12.35,0.083,0.015
ABP,9752.97,93.584,111.337,0.683,0.62,0.6,-11.81,-,5.75,-,14.74,,Abacus Prop stpld,,0.39,0.5,0.39,0.395,0.40,0.38,0.06,0.48,0.226
ALR,149.705,0.848,0.367,0.078,1.41,0.9,7.67,17.2,9,0.85,6.82,f,Aberdeen Leaders,,1.32,-4,1.31,1.32,1.36,1.30,-4.18,1.45,0.90
ACR,1130.34,5.44,9.328,0.287,0.09,19.9,-4.84,-,-,-,-,,Acrux Ltd,,1.79,-6,1.785,1.80,1.85,1.70,-4.49,2.54,0.42
ACW,51.966,0.214,0.016,0.003,0.05,1.4,-2.32,-,-,-,-,,Actinogen Ltd,,0.07,1,0.07,0.074,0.07,0.05,15.42,0.10,0.017
ACWO,6,0.006,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,-0.2,0.001,-,0.003,0.001,-67.91,0.004,0.001
ACU,398.452,2.452,3.378,0.009,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.014,-0.3,0.014,0.016,0.014,0.013,-18.89,0.05,0.012
ADA,41.301,0.616,0.246,0.035,0.22,1.9,8.2,5.1,-,-,-,,Adacel Tech,,0.42,-1,0.385,0.395,0.425,0.39,-3.57,0.84,0.325
AAU,166.705,0.64,0.324,0.013,0.08,2.5,0.45,44.4,1,0.45,5.00,,Adcorp Aust,,0.20,-1,0.20,0.21,0.22,0.20,-6.00,0.31,0.165
ABC,6359.32,39.758,26.296,1.566,1.15,2.1,20.8,11.9,14,1.49,5.67,f,Adelaide Brighton,,2.47,-3,2.46,2.50,2.56,2.44,-2.44,3.01,1.445
AYT,197.5,1.066,1.734,0.131,1.78,0.7,12.59,10.4,15.47,0.81,11.76,,Adelaide Managed unt,,1.315,1.5,1.315,1.33,1.33,1.305,-0.09,1.76,1.10
ADQ,-,0.29,0.059,0.007,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.06,,0.056,0.063,0.06,0.06,-1.24,0.123,0.058
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,-,,-,0.02,-,-,-,-,-
ADL,822.75,4.46,0.777,0.003,0.01,0.7,-2.68,-,-,-,-,,Admerex Ltd,,0.007,-0.1,0.006,0.007,0.008,0.007,-13.74,0.016,0.004
ADG,89.583,0.189,0.052,0.088,2.37,1.5,27.9,12.5,16,1.74,4.57,f,Adtrans Grp,,3.50,,3.50,3.53,3.50,3.50,-1.24,3.53,1.65
ASC,8682.62,31.155,17.911,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,,0.01,0.011,0.01,0.008,-1.24,0.014,0.003
ASCO,-,1.863,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.001,0.004,0.003,0.003,-1.24,0.005,0.002
ABV,1025.97,6.794,5.861,0.017,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.022,-0.2,0.022,0.025,0.024,0.021,-9.58,0.038,0.005
AMT,18.902,0.027,0.04,0.009,0.20,2.5,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.50,,0.50,0.55,0.50,0.50,-1.24,0.64,0.28
AES,-,0.096,0.17,0.022,0.01,5.0,-0.06,-,-,-,-,,Advanced Energy,,0.05,,0.025,0.065,0.05,0.05,-1.24,0.085,0.02
ACE,563.608,2.951,1.505,0.007,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.05,,0.05,0.053,0.05,0.05,-1.24,0.093,0.031
ANM,337.666,1.62,0.793,0.013,0.01,6.0,-3.07,-,-,-,-,,Advanced Magnesium,,0.06,,0.06,0.067,0.066,0.053,-1.24,0.124,0.014
ASW,127.175,1.415,0.288,0.016,0.09,4.3,2.1,18.3,2.75,0.76,7.14,f,Advanced Share,,0.385,0.5,0.385,0.40,0.40,0.38,0.07,0.435,0.15
AEI,155,0.381,0.045,0.009,0.01,9.0,-2.31,-,-,-,-,,Aeris Environmental,,0.09,-1.5,0.09,0.10,0.10,0.09,-15.53,0.185,0.05
AVE,268.299,1.377,1.036,0.217,2.07,0.6,4.2,29.3,4,1.05,3.25,,Aevum Ltd,,1.23,-7.5,1.23,1.26,1.315,1.20,-6.99,1.67,0.545
AFT,36214.6,389.902,8.5,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.002,0.001,-1.24,0.002,0.001
AGK,5682.59,35.718,31.563,6.167,6.00,2.3,358,3.8,54,6.63,3.93,f,AGL Energy Ltd,,13.74,-8,13.73,13.74,14.07,13.65,-1.82,15.46,12.83
AGJ,2.518,0.048,-,0.015,0.38,0.4,-3.63,-,2.42,-,14.24,,Agricultural Land unt,,0.17,,0.17,-,0.17,0.17,-1.24,0.28,0.13
AHC,-,-,-,0.013,3.31,0.7,17.79,12.6,-,-,-,,AHC Ltd,,2.25,,-,2.40,2.25,2.25,-1.24,2.45,1.295
