ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4532.5 at 16:45 5/2/2010  Report at 19:07 Friday 5/2/2010. Processed 18:03 Sunday 7/2/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,4.8,0.063,0.022,0.056,0.13,21.2,18.7,14.7,11.4,1.64,4.15,f,1300 Smiles Ltd,,2.75,,2.72,2.74,2.75,2.75,1.40,3.00,2.50
TQH,-,0.059,0.126,0.022,-0.10,-,1.07,13.6,-,-,-,,3Q Hldgs Ltd,,0.145,,0.11,0.15,0.145,0.145,1.40,0.19,0.105
FCS,1.024,1.509,0.054,0.002,0.03,0.6,-4.2,-,-,-,-,,4C Sec Solution,,0.018,,0.011,0.018,0.018,0.018,1.40,0.083,0.015
ABP,24165.8,83.831,105.733,0.674,0.62,0.6,-11.81,-,5.75,-,14.94,,Abacus Prop stpld,,0.385,-0.5,0.385,0.39,0.405,0.375,0.12,0.48,0.226
ALR,93.66,0.698,0.31,0.08,1.52,0.9,-21.34,-,9,-,6.62,f,Aberdeen Leaders,,1.36,-3.5,1.35,1.36,1.40,1.35,-1.11,1.45,0.90
ACR,813.095,4.309,9.098,0.297,0.09,20.6,-4.84,-,-,-,-,,Acrux Ltd,,1.85,-15,1.845,1.85,2.00,1.73,-6.10,2.54,0.42
ACW,-,0.162,0.016,0.002,0.05,1.2,-2.32,-,-,-,-,,Actinogen Ltd,,0.06,,0.05,0.07,0.06,0.06,1.40,0.10,0.017
ACWO,-,-,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,0.001,0.003,0.003,1.40,0.004,0.001
ACU,390,2.053,2.644,0.011,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.017,,0.014,0.017,0.017,0.014,1.40,0.05,0.012
ADA,193.974,0.575,0.241,0.035,0.22,2.0,8.2,5.2,-,-,-,,Adacel Tech,,0.43,-4,0.415,0.435,0.475,0.43,-7.11,0.84,0.325
