ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 29, 2010,,,,,,,,,,,,,,,,,,,,
"XAO 4733.4 at 2010-10-29T16:44:45. Report at Friday, October 29, 2010. Processed Saturday at 2010-10-30T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,3.086,1.627,.657,.077,.15,24.1,21.00,17.2,13.70,1.53,3.78,f,1300 Smiles,,3.62,+7,3.44,3.61,3.62,3.55,+1.68,3.62,2.65,,
TQH,-,2.088,2.991,.011,-.07,-,.84,8.3,-,-,-,,3Q Hldgs,,.07,-,.067,.075,.07,.07,-.29,.18,.061,,
FCS,.143,5.018,3.240,.005,.10,.3,-.58,-,-,-,-,,4C Sec Solution,,.032,-,.032,.038,.032,.032,-.29,.048,.015,,
AAY,753.527,7.780,-,.004,-,-,-,-,-,-,-,,AACL Hldgs,,.08,+2,.08,.10,.095,.06,+33.04,.275,.03,,
ABP,11231.4,925.372,1095.95,.796,.58,.7,1.53,28.1,3.90,.39,9.07,,Abacus Prop stp,,.43,-1.5,.43,.435,.45,.425,-3.66,.47,.365,,
ALR,88.684,4.049,3.391,.079,1.29,1.0,10.29,12.6,9.50,1.08,7.31,f,Aberdeen Leaders,,1.30,+.5,1.29,1.30,1.30,1.27,+.09,1.47,1.21,,
ACR,5033.44,59.525,55.890,.490,-,-,29.08,10.3,-,-,-,,Acrux,,3.00,+34,2.96,3.00,3.00,2.70,+12.49,3.00,1.70,,
ACW,40.000,2.370,1.533,.004,.03,3.5,-1.85,-,-,-,-,,Actinogen,,.105,+1,.08,.10,.105,.105,+10.23,.105,.023,,
ACWO,-,.065,.008,-,-,-,-,-,-,-,-,,  opt aug12,,.002,-,.002,.02,.002,.002,-.29,.003,.001,,
ACU,423.948,80.017,27.440,.002,-,-,-.34,-,-,-,-,,Acuvax,,.002,-,.002,.003,.003,.002,-.29,.012,.002,,
ADA,36.554,4.607,6.351,.030,.19,1.9,-3.50,-,-,-,-,,Adacel Tech,,.36,+1,.36,.385,.36,.34,+2.56,.69,.28,,
AAU,.605,7.159,4.670,.012,.08,2.6,-11.03,-,-,-,-,,Adcorp Aust,,.205,-,.20,.21,.205,.205,-.29,.305,.145,,
ABC,6564.66,468.351,642.528,2.274,1.16,3.1,23.60,15.2,15.50,1.52,4.33,f,Adelaide Brighton,,3.58,-2,3.57,3.59,3.65,3.49,-.85,3.65,2.293,,
AYT,3307.17,28.064,22.097,.023,1.64,.1,2.11,11.4,15.00,.14,62.50,,Adelaide Mgd unt,,.24,-1,.24,.245,.255,.24,-4.29,.32,.158,,
ADQ,94.090,9.902,3.298,.008,.01,6.5,-1.09,-,-,-,-,,ADG Global Supply,,.065,+.4,.057,.065,.065,.061,+6.27,.11,.05,,
ADQO,-,.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,.008,-,-,.008,.008,.008,-.29,.013,.008,,
ADL,-,74.828,10.380,.001,-,-,-.56,-,-,-,-,,Admerex,,.003,-,.003,.004,.003,.003,-.29,.013,.002,,
ADG,75.442,2.097,.852,.088,2.54,1.4,36.70,9.5,23.00,1.60,6.57,f,Adtrans Grp,,3.50,+2.0,3.35,3.50,3.665,3.50,+.27,3.683,2.593,,
ASC,1346.17,172.188,85.345,.010,.02,.8,-.43,-,-,-,-,,AdultShop.com,,.016,-,.015,.016,.016,.015,-.29,.019,.008,,
ASCO,-,29.127,.250,.001,-,-,-,-,-,-,-,,  opt dec11,,.008,-,.005,.008,.008,.008,-.29,.008,.002,,
ABV,5149.27,76.025,96.059,.022,-,-,-.16,-,-,-,-,,Adv Braking Tech,,.025,-.3,.026,.028,.03,.025,-11.01,.033,.014,,
AMT,10.000,1.173,.477,.014,.16,2.5,-1.31,-,-,-,-,,Adv Surg Dsgn & Mnft,,.40,-2,.40,.41,.41,.40,-5.05,.64,.33,,
