ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4414.5 at 16:35 9/7/2010  Report at 19:06 Friday 9/7/2010. Processed 15:32 Sunday 11/7/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,11.9,1.369,0.093,0.067,0.08,39.4,19.23,16.4,12.5,1.54,3.97,f,1300 Smiles Ltd,,3.15,10,3.11,3.15,3.15,3.15,-0.23,3.20,2.50,
TQH,-,0.893,0.611,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.035,0.095,0.11,0.11,-3.51,0.18,0.095,
FCS,3.068,3.238,1.56,0.003,0.01,2.3,-2.77,-,-,-,-,,4C Sec Solution,,0.023,-0.1,0.023,0.026,0.024,0.023,-7.68,0.05,0.015,
AAY,30.025,3.715,-,0.006,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.11,-1,0.12,0.16,0.14,0.11,-11.84,0.275,0.07,
ABP,14292.9,651.39,635.389,0.716,0.60,0.7,-2.32,-,3.9,-,9.87,,Abacus Prop stp,,0.395,-0.5,0.39,0.395,0.405,0.385,-4.76,0.48,0.33,
ALR,296.354,2.726,1.558,0.074,1.21,1.0,7.67,16.0,9.5,0.81,7.72,f,Aberdeen Leaders,,1.23,1,1.21,1.23,1.24,1.21,-2.69,1.47,1.19,
ACR,326.446,41.361,27.28,0.289,0.06,30.0,-2.84,-,-,-,-,,Acrux Ltd,,1.80,-1,1.79,1.80,1.89,1.76,-4.06,2.60,1.065,
ACW,-,0.965,1.135,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.027,,0.02,0.048,0.027,0.027,-3.51,0.095,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-3.51,0.003,0.001,
ACU,150,38.512,8.079,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,,0.003,0.004,0.003,0.003,-3.51,0.035,0.003,
ADA,65.001,3.747,1.541,0.025,0.21,1.4,2.7,11.1,-,-,-,,Adacel Tech,,0.30,-2.5,0.30,0.35,0.33,0.30,-11.20,0.84,0.30,
AAU,15.773,4.732,3.085,0.013,0.07,2.9,-2.18,-,-,-,-,,Adcorp Aust,,0.20,5,0.20,0.22,0.20,0.15,29.82,0.305,0.145,
ABC,21142.3,304.272,453.443,1.969,1.21,2.6,20.4,15.2,13.5,1.51,4.35,f,Adelaide Brighton,,3.10,43,3.09,3.11,3.11,2.62,12.60,3.11,2.11,
AYT,79.269,7.446,11.373,0.139,1.79,0.8,6.83,20.5,16.02,0.43,11.44,,Adelaide Managed unt,,1.40,4,1.40,1.44,1.40,1.36,-0.57,1.565,1.10,
ADQ,-,5.651,0.807,0.006,0.02,2.8,-11.08,-,-,-,-,,ADG Global Supply,,0.055,,0.062,0.07,0.055,0.055,-3.51,0.118,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.002,0.01,0.008,0.008,-3.51,0.013,0.008,
ADL,-,47.733,6.515,-,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.002,,0.005,0.004,0.002,0.002,-3.51,0.016,0.002,
ADG,40.519,1.098,0.513,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,-10,3.20,3.70,3.50,3.50,-6.29,3.70,2.18,
ASC,47.85,98.322,33.623,0.006,0.02,0.4,-0.19,-,-,-,-,,Adultshop Com,,0.009,,0.009,0.01,0.009,0.009,-3.51,0.015,0.004,
ASCO,-,18.175,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.004,0.003,0.003,-3.51,0.005,0.002,
ABV,495,25.203,66.883,0.014,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.018,0.1,0.018,0.022,0.018,0.017,2.37,0.038,0.009,
AMT,17.548,0.633,0.137,0.016,0.22,2.1,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.46,4,0.46,0.50,0.46,0.42,6.02,0.64,0.28,
AES,16,4.012,0.447,0.022,0.01,5.0,-0.09,-,-,-,-,,Advanced Energy,,0.05,,0.04,0.05,0.05,0.05,-3.51,0.125,0.021,
ACE,-,9.434,11.347,0.007,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.035,,0.03,0.035,0.035,0.035,-3.51,0.093,0.032,
ANM,16.915,8.056,16.685,0.011,0.02,2.5,-2.64,-,-,-,-,,Advanced Magnesium,,0.05,,0.05,0.053,0.05,0.05,-3.51,0.07,0.03,
ASW,536.114,4.835,0.81,0.022,0.11,4.9,3.16,17.1,2.75,1.15,5.09,f,Advanced Share,,0.54,3,0.60,0.645,0.54,0.465,2.37,0.54,0.235,
AEI,13,3.53,2.262,0.006,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.06,,0.06,0.065,0.061,0.06,-3.51,0.16,0.06,
AVE,220.588,22.255,12.116,0.19,2.07,0.5,4.2,25.5,4,1.05,3.74,,Aevum Ltd,,1.07,,1.05,1.09,1.10,1.025,-3.51,1.67,0.795,
AFT,7345.16,929.527,254.086,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,-3.51,0.002,0.001,
AGK,5531.79,184.424,197.135,6.697,6.21,2.4,27,55.1,57,0.47,3.83,f,AGL Energy Ltd,,14.88,10,14.80,14.89,15.00,14.54,-2.83,15.69,13.37,
AGJ,14.243,0.338,0.41,0.012,0.38,0.3,-2.28,-,2.12,-,16.31,,Agricultural Land unt,,0.13,,0.13,0.175,0.13,0.13,-3.51,0.175,0.13,
AHC,3,0.096,0.01,0.012,4.89,0.4,14.09,14.5,-,-,-,,AHC Ltd,,2.05,-5,-,2.05,2.10,2.05,-5.89,2.45,2.00,
ENY,2.27,0.011,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,14.58,63,14.65,14.74,14.58,13.95,1.01,16.50,13.95,
FIN,2,0.05,-,-,-,-,-,-,-,-,-,,Aii200financials etf unt,,4.18,-6,4.33,4.35,4.24,4.18,-4.92,5.09,4.18,
FIX,0.5,0.031,-,-,-,-,-,-,-,-,-,,Aii200finxareit etf unt,,4.85,-2,4.99,5.02,4.87,4.85,-3.92,5.98,4.83,
IDD,1.5,0.029,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.31,10,3.29,3.31,3.31,3.21,-0.39,3.97,3.21,
RSR,43.678,0.313,-,-,-,-,-,-,-,-,-,,Aii200res etf unt,,4.97,19,4.94,4.97,4.97,4.77,0.47,5.65,4.60,
MAM,0.65,0.105,-,-,-,-,-,-,-,-,-,,Aii300metals&Min etf unt,,4.05,-15,4.14,4.16,4.20,4.00,-7.08,4.83,3.90,
AGI,91.667,3.753,4.41,0.024,0.01,8.5,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.085,-0.5,0.085,0.09,0.09,0.085,-9.06,0.22,0.075,
AIZ,54.184,13.923,9.005,0.904,1.12,0.7,3.9,21.5,5.17,0.75,6.15,,Air New Zealand,,0.84,-2,0.83,0.84,0.86,0.83,-5.83,1.145,0.67,
AIG,-,-,0.18,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,-,0.10,0.11,0.11,-3.51,0.11,0.10,
AJL,310.283,19.454,37.669,0.142,1.32,1.6,16,13.6,5.5,2.91,2.53,,AJ Lucas Grp,,2.17,3,2.16,2.18,2.22,2.02,-2.11,5.60,2.00,
ACL,4623.57,27.42,43.046,0.075,0.09,4.4,-4.6,-,-,-,-,,Alchemia Ltd,,0.395,-8.5,0.375,0.40,0.505,0.345,-21.22,0.81,0.299,
AAI,1.4,0.04,-,11.709,-,-,-137.14,-,11.61,-,0.86,,Alcoa Inc cdi,,13.52,-48,12.53,14.00,13.52,13.50,-6.94,47.10,13.50,
LEP,331.734,20.638,8.424,0.314,2.39,0.9,95.98,2.1,27,3.55,13.17,,ALE Prop Grp stp,,2.05,-2,2.05,2.07,2.13,2.00,-4.47,2.43,1.90,
ALS,1631.9,55.444,66.392,0.234,0.65,3.8,-17.36,-,7,-,2.82,,Alesco Corp,,2.48,13,2.43,2.51,2.54,2.25,2.02,5.91,2.25,
AJX,314.88,26.216,-,0.009,-,-,-0.13,-,-,-,-,,Alexium Int Grp,,0.13,1.5,0.115,0.13,0.15,0.115,9.53,0.205,0.01,
AEJ,2357.8,399.972,717.874,0.044,-1.53,-,-58.71,-,-,-,-,,Alinta Energy Grp stp,,0.054,0.3,0.051,0.054,0.055,0.048,2.37,0.105,0.041,
ABQ,5987.98,81.272,9.116,0.006,0.06,0.5,2.3,1.2,0.5,4.60,18.52,,Allied Brands Ltd,,0.027,0.2,0.026,0.027,0.028,0.025,4.49,0.245,0.024,
ABQO,-,4.651,0.043,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,-3.51,0.005,0.001,
AEA,100,8.422,0.997,0.009,-,-,-3,-,-,-,-,,Altera Res Ltd,,0.20,,0.20,0.21,0.20,0.20,-3.51,0.36,0.039,
AEAO,-,0.942,-,0.002,-,-,-,-,-,-,-,,  opt feb12,,0.16,,-,0.15,0.16,0.16,-3.51,0.16,0.06,
AIQ,12.6,20.068,3.225,0.137,1.45,0.7,-44.5,-,47,-,44.76,,Alternative Invest unt,,1.05,1,1.05,1.07,1.05,1.04,-2.55,1.45,0.91,
ALU,104.5,3.578,1,0.022,0.09,2.8,-6.97,-,-,-,-,,Altium Ltd,,0.25,2.5,0.23,0.26,0.25,0.24,7.60,0.39,0.20,
AMA,411.553,15.942,18.066,0.011,-0.09,-,7.75,0.5,-,-,-,,AMA Grp Ltd,,0.04,-0.3,0.039,0.043,0.045,0.04,-10.49,0.078,0.019,
AHD,196.116,24.536,5.294,0.909,4.65,1.2,68.5,8.4,35,1.96,6.06,f,Amalgamated Hldgs,,5.78,5,5.70,5.78,5.90,5.64,-2.64,6.24,3.995,
AMO,20.5,2.004,0.332,0.012,0.61,0.6,9.3,4.2,5.5,1.69,14.10,f,Ambertech Ltd,,0.39,1,0.38,0.45,0.39,0.38,-0.88,0.63,0.38,
AMB,-,1.329,1.436,0.02,0.14,2.1,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.30,,0.18,0.30,0.30,0.30,-3.51,0.42,0.165,
AKS,-,-,-,0.057,-,-,-,-,-,-,-,,Amcbf One,,104.17,,104.17,106.00,104.17,104.17,-3.51,104.17,104.17,
AKU,-,-,-,0.043,-,-,-,-,-,-,-,,Amcbf Thr,,104.00,,102.78,-,104.00,104.00,-3.51,104.00,104.00,
AKT,-,-,-,0.036,-,-,-,-,-,-,-,,Amcbf Two,,101.94,,100.00,101.00,101.94,101.94,-3.51,101.94,101.94,
AMH,249.916,8.997,3.722,0.123,0.71,0.9,-1.14,-,2,-,3.17,,Amcil Ltd,,0.63,1,0.625,0.63,0.63,0.61,-1.90,0.72,0.54,
AMM,2281.66,154.461,104.402,0.219,0.18,1.7,2.78,11.0,0.9,3.09,2.95,f,Amcom Telecomm,,0.305,0.5,0.30,0.305,0.31,0.285,-1.84,0.355,0.15,
AMC,16911.2,786.959,415.562,8.161,2.25,3.0,20.9,32.0,29.5,0.71,4.42,,Amcor Ltd,,6.68,29,6.65,6.68,6.72,6.29,1.03,6.76,4.473,
AEC,595.011,7.091,2.923,0.128,1.05,3.3,19.39,18.1,16.5,1.18,4.71,f,Ammtec Ltd,,3.50,3,3.46,3.51,3.53,3.45,-2.64,3.55,1.83,
AGF,1127.62,32.979,30.693,0.254,0.99,0.8,10.02,7.5,8.47,1.18,11.22,,AMP Capital China unt,,0.755,5.5,0.745,0.755,0.77,0.70,4.35,1.265,0.675,
AMP,28518.6,977.621,903.66,11.002,0.80,6.6,37.1,14.3,30,1.24,5.65,p,AMP Ltd,,5.31,18,5.31,5.32,5.34,5.06,0.00,6.97,4.61,
ANQ,41.222,6.24,10.797,0.027,-,-,-5.5,-,-,-,-,,Anaeco Ltd,,0.15,-1,0.16,0.19,0.16,0.15,-9.76,0.305,0.15,
ANQOA,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,-,-,0.004,0.004,-78.51,0.004,0.001,
ALT,1093.24,233.297,21.396,0.011,-,-,-0.24,-,-,-,-,,Analytica Ltd,,0.027,0.4,0.027,0.03,0.028,0.023,13.88,0.115,0.019,
ANN,3453.88,106.42,107.103,1.675,1.92,6.6,81.7,15.6,29,2.82,2.28,,Ansell Ltd,,12.73,5,12.51,12.78,13.19,12.38,-3.11,13.50,8.23,
